train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.7,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,0.625,1,1,0.4,0.769230769230769,0.571428571428572
0.575,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485
0.775,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.703703703703704,0.923076923076923,0.95,0.6,0.808510638297872,0.727272727272727
0.75,0.45,0.25,0.472222222222222,0.05,0.85,0.0833333333333333,0.607142857142857,0.8125,0.708333333333333,0.65,0.85,0.722222222222222,0.772727272727273
0.625,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.571428571428571,1,1,0.25,0.727272727272727,0.4
0.925,0.5,0.5,0,1,0,0.666666666666667,0,0.869565217391304,1,1,0.85,0.930232558139535,0.918918918918919
0.625,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.571428571428571,1,1,0.25,0.727272727272727,0.4
0.775,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.689655172413793,1,1,0.55,0.816326530612245,0.709677419354839
0.725,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.714285714285714,0.736842105263158,0.75,0.7,0.731707317073171,0.717948717948718
0.725,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.666666666666667,0.846153846153846,0.9,0.55,0.765957446808511,0.666666666666667
0.65,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.59375,0.875,0.95,0.35,0.730769230769231,0.5
0.65,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667
0.825,0.525,1,0.512820512820513,0.05,1,0.0952380952380952,0.677966101694915,0.882352941176471,0.782608695652174,0.75,0.9,0.810810810810811,0.837209302325581
0.8,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.730769230769231,0.928571428571429,0.95,0.65,0.826086956521739,0.764705882352941
0.65,0.475,0.485714285714286,0.4,0.85,0.1,0.618181818181818,0.16,0.607142857142857,0.75,0.85,0.45,0.708333333333333,0.5625
0.825,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.76,0.933333333333333,0.95,0.7,0.844444444444444,0.8
1,0.475,0.481481481481481,0.461538461538462,0.65,0.3,0.553191489361702,0.363636363636364,1,1,1,1,1,1
0.85,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.818181818181818,0.888888888888889,0.9,0.8,0.857142857142857,0.842105263157895
0.825,0.55,0.526315789473684,1,1,0.1,0.689655172413793,0.181818181818182,0.76,0.933333333333333,0.95,0.7,0.844444444444444,0.8
0.675,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.612903225806452,0.888888888888889,0.95,0.4,0.745098039215686,0.551724137931035
0.6,0.6,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882,0.555555555555556,1,1,0.2,0.714285714285714,0.333333333333333
0.725,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.645161290322581,1,1,0.45,0.784313725490196,0.620689655172414
0.9,0.55,0.526315789473684,1,1,0.1,0.689655172413793,0.181818181818182,0.863636363636364,0.944444444444444,0.95,0.85,0.904761904761905,0.894736842105263
