train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.8,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.714285714285714,1,1,0.6,0.833333333333333,0.75
0.675,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.666666666666667,0.684210526315789,0.7,0.65,0.682926829268293,0.666666666666667
0.65,0.525,0.6,0.514285714285714,0.15,0.9,0.24,0.654545454545455,0.6,0.8,0.9,0.4,0.72,0.533333333333333
0.55,0.475,0.428571428571429,0.484848484848485,0.15,0.8,0.222222222222222,0.60377358490566,0.666666666666667,0.529411764705882,0.2,0.9,0.307692307692308,0.666666666666667
0.725,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,1,0.645161290322581,0.45,1,0.620689655172414,0.784313725490196
0.775,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.689655172413793,1,1,0.55,0.816326530612245,0.709677419354839
0.55,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118
0.7,0.575,0.545454545454545,0.714285714285714,0.9,0.25,0.679245283018868,0.37037037037037,0.722222222222222,0.681818181818182,0.65,0.75,0.684210526315789,0.714285714285714
0.675,0.425,0.444444444444444,0.384615384615385,0.6,0.25,0.51063829787234,0.303030303030303,0.64,0.733333333333333,0.8,0.55,0.711111111111111,0.628571428571429
0.6,0.375,0.407407407407407,0.307692307692308,0.55,0.2,0.468085106382979,0.242424242424242,0.555555555555556,1,1,0.2,0.714285714285714,0.333333333333333
0.9,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,0.9,0.9,0.9,0.9,0.9,0.9
0.8,0.575,0.542857142857143,0.8,0.95,0.2,0.690909090909091,0.32,0.772727272727273,0.833333333333333,0.85,0.75,0.80952380952381,0.789473684210526
0.8,0.5,0.5,0,1,0,0.666666666666667,0,1,0.714285714285714,0.6,1,0.75,0.833333333333333
0.725,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.8,0.68,0.6,0.85,0.685714285714286,0.755555555555556
0.75,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158
0.725,0.55,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375,0.68,0.8,0.85,0.6,0.755555555555556,0.685714285714286
1,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,1,1,1,1,1,1
0.675,0.625,0.575757575757576,0.857142857142857,0.95,0.3,0.716981132075472,0.444444444444444,0.64,0.733333333333333,0.8,0.55,0.711111111111111,0.628571428571429
0.775,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.689655172413793,1,1,0.55,0.816326530612245,0.709677419354839
0.6,0.525,0.513513513513513,0.666666666666667,0.95,0.1,0.666666666666667,0.173913043478261,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636
0.7,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.633333333333333,0.9,0.95,0.45,0.76,0.6
0.75,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.8125,0.708333333333333,0.65,0.85,0.722222222222222,0.772727272727273
0.525,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721
