train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.625,1,0.625,1,0.625,1
0.575,0.475,0.473684210526316,0.476190476190476,0.473684210526316,0.476190476190476,0.473684210526316,0.476190476190476,0.555555555555556,0.615384615384615,0.555555555555556,0.615384615384615,0.555555555555556,0.615384615384615
0.775,0.425,0.434782608695652,0.411764705882353,0.434782608695652,0.411764705882353,0.434782608695652,0.411764705882353,0.703703703703704,0.923076923076923,0.703703703703704,0.923076923076923,0.703703703703704,0.923076923076923
0.75,0.45,0.25,0.472222222222222,0.25,0.472222222222222,0.25,0.472222222222222,0.8125,0.708333333333333,0.8125,0.708333333333333,0.8125,0.708333333333333
0.625,0.55,0.533333333333333,0.6,0.533333333333333,0.6,0.533333333333333,0.6,0.571428571428571,1,0.571428571428571,1,0.571428571428571,1
0.925,0.5,0.5,0,0.5,0,0.5,0,0.869565217391304,1,0.869565217391304,1,0.869565217391304,1
0.625,0.525,0.526315789473684,0.523809523809524,0.526315789473684,0.523809523809524,0.526315789473684,0.523809523809524,0.571428571428571,1,0.571428571428571,1,0.571428571428571,1
0.775,0.525,0.512820512820513,1,0.512820512820513,1,0.512820512820513,1,0.689655172413793,1,0.689655172413793,1,0.689655172413793,1
0.725,0.475,0.473684210526316,0.476190476190476,0.473684210526316,0.476190476190476,0.473684210526316,0.476190476190476,0.714285714285714,0.736842105263158,0.714285714285714,0.736842105263158,0.714285714285714,0.736842105263158
0.725,0.55,0.53125,0.625,0.53125,0.625,0.53125,0.625,0.666666666666667,0.846153846153846,0.666666666666667,0.846153846153846,0.666666666666667,0.846153846153846
0.65,0.55,0.53125,0.625,0.53125,0.625,0.53125,0.625,0.59375,0.875,0.59375,0.875,0.59375,0.875
0.65,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.636363636363636,0.666666666666667,0.636363636363636,0.666666666666667,0.636363636363636
0.825,0.525,1,0.512820512820513,1,0.512820512820513,1,0.512820512820513,0.882352941176471,0.782608695652174,0.882352941176471,0.782608695652174,0.882352941176471,0.782608695652174
0.8,0.525,0.521739130434783,0.529411764705882,0.521739130434783,0.529411764705882,0.521739130434783,0.529411764705882,0.730769230769231,0.928571428571429,0.730769230769231,0.928571428571429,0.730769230769231,0.928571428571429
0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.444444444444444,0.454545454545455,0.444444444444444,0.454545454545455,0.444444444444444,0.454545454545455
0.825,0.475,0.473684210526316,0.476190476190476,0.473684210526316,0.476190476190476,0.473684210526316,0.476190476190476,0.76,0.933333333333333,0.76,0.933333333333333,0.76,0.933333333333333
1,0.475,0.481481481481481,0.461538461538462,0.481481481481481,0.461538461538462,0.481481481481481,0.461538461538462,1,1,1,1,1,1
0.85,0.45,0.466666666666667,0.4,0.466666666666667,0.4,0.466666666666667,0.4,0.818181818181818,0.888888888888889,0.818181818181818,0.888888888888889,0.818181818181818,0.888888888888889
0.825,0.55,0.526315789473684,1,0.526315789473684,1,0.526315789473684,1,0.76,0.933333333333333,0.76,0.933333333333333,0.76,0.933333333333333
0.675,0.575,0.548387096774194,0.666666666666667,0.548387096774194,0.666666666666667,0.548387096774194,0.666666666666667,0.612903225806452,0.888888888888889,0.612903225806452,0.888888888888889,0.612903225806452,0.888888888888889
0.6,0.6,0.576923076923077,0.642857142857143,0.576923076923077,0.642857142857143,0.576923076923077,0.642857142857143,0.555555555555556,1,0.555555555555556,1,0.555555555555556,1
0.725,0.525,0.512820512820513,1,0.512820512820513,1,0.512820512820513,1,0.645161290322581,1,0.645161290322581,1,0.645161290322581,1
0.9,0.55,0.526315789473684,1,0.526315789473684,1,0.526315789473684,1,0.863636363636364,0.944444444444444,0.863636363636364,0.944444444444444,0.863636363636364,0.944444444444444
0.675,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.612903225806452,0.888888888888889,0.612903225806452,0.888888888888889,0.612903225806452,0.888888888888889
0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.928571428571429,0.730769230769231,0.928571428571429,0.730769230769231,0.928571428571429,0.730769230769231
0.775,0.6,0.558823529411765,0.833333333333333,0.558823529411765,0.833333333333333,0.558823529411765,0.833333333333333,0.703703703703704,0.923076923076923,0.703703703703704,0.923076923076923,0.703703703703704,0.923076923076923
0.775,0.55,0.625,0.53125,0.625,0.53125,0.625,0.53125,1,0.689655172413793,1,0.689655172413793,1,0.689655172413793
