train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.975,0.475,0.486486486486487,0.333333333333333,0.9,0.05,0.631578947368421,0.0869565217391304,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
0.625,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.586206896551724,0.727272727272727,0.85,0.4,0.693877551020408,0.516129032258065
0.7,0.475,0.4,0.485714285714286,0.1,0.85,0.16,0.618181818181818,0.642857142857143,0.833333333333333,0.9,0.5,0.75,0.625
0.65,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.8,0.6,0.4,0.9,0.533333333333333,0.72
0.925,0.5,0.5,0,1,0,0.666666666666667,0,0.869565217391304,1,1,0.85,0.930232558139535,0.918918918918919
0.975,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
0.8,0.425,0.444444444444444,0.384615384615385,0.6,0.25,0.51063829787234,0.303030303030303,0.730769230769231,0.928571428571429,0.95,0.65,0.826086956521739,0.764705882352941
0.75,0.5,0.5,0,1,0,0.666666666666667,0,0.777777777777778,0.727272727272727,0.7,0.8,0.736842105263158,0.761904761904762
0.975,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.952380952380952,1,1,0.95,0.975609756097561,0.974358974358974
0.825,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,1,0.740740740740741,0.65,1,0.787878787878788,0.851063829787234
0.825,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.76,0.933333333333333,0.95,0.7,0.844444444444444,0.8
0.85,0.675,0.666666666666667,0.684210526315789,0.7,0.65,0.682926829268293,0.666666666666667,0.791666666666667,0.9375,0.95,0.75,0.863636363636364,0.833333333333333
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.675,0.45,0.470588235294118,0.333333333333333,0.8,0.1,0.592592592592593,0.153846153846154,0.705882352941177,0.652173913043478,0.6,0.75,0.648648648648649,0.697674418604651
0.825,0.6,0.590909090909091,0.611111111111111,0.65,0.55,0.619047619047619,0.578947368421053,0.933333333333333,0.76,0.7,0.95,0.8,0.844444444444444
0.8,0.375,0.4,0.333333333333333,0.5,0.25,0.444444444444444,0.285714285714286,0.75,0.875,0.9,0.7,0.818181818181818,0.777777777777778
1,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,1,1,1,1,1,1
0.75,0.45,0.25,0.472222222222222,0.05,0.85,0.0833333333333333,0.607142857142857,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158
0.85,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,1,0.769230769230769,0.7,1,0.823529411764706,0.869565217391304
