train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.975,0.6,0.566666666666667,0.7,0.85,0.35,0.68,0.466666666666667,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
0.55,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.533333333333333,0.6,0.8,0.3,0.64,0.4
0.675,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.652173913043478,0.705882352941177,0.75,0.6,0.697674418604651,0.648648648648649
0.65,0.5,0.5,0.5,0.25,0.75,0.333333333333333,0.6,0.615384615384615,0.714285714285714,0.8,0.5,0.695652173913043,0.588235294117647
0.775,0.45,0.472222222222222,0.25,0.85,0.05,0.607142857142857,0.0833333333333333,0.689655172413793,1,1,0.55,0.816326530612245,0.709677419354839
0.975,0.35,0.411764705882353,0,0.7,0,0.518518518518518,0,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
0.75,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.777777777777778,0.727272727272727,0.7,0.8,0.736842105263158,0.761904761904762
0.7,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.642857142857143,0.833333333333333,0.9,0.5,0.75,0.625
0.75,0.425,0.444444444444444,0.384615384615385,0.6,0.25,0.51063829787234,0.303030303030303,0.692307692307692,0.857142857142857,0.9,0.6,0.782608695652174,0.705882352941176
0.675,0.4,0.428571428571429,0.333333333333333,0.6,0.2,0.5,0.25,0.652173913043478,0.705882352941177,0.75,0.6,0.697674418604651,0.648648648648649
0.925,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,0.869565217391304,1,1,0.85,0.930232558139535,0.918918918918919
0.875,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.894736842105263,0.857142857142857,0.85,0.9,0.871794871794872,0.878048780487805
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.675,0.4,0.4375,0.25,0.7,0.1,0.538461538461538,0.142857142857143,0.818181818181818,0.620689655172414,0.45,0.9,0.580645161290323,0.73469387755102
0.7,0.55,0.527777777777778,0.75,0.95,0.15,0.678571428571428,0.25,0.633333333333333,0.9,0.95,0.45,0.76,0.6
0.575,0.45,0.46875,0.375,0.75,0.15,0.576923076923077,0.214285714285714,0.551724137931034,0.636363636363636,0.8,0.35,0.653061224489796,0.451612903225806
1,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,1,1,1,1,1,1
0.6,0.5,0.5,0,1,0,0.666666666666667,0,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882
0.7,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.681818181818182,0.722222222222222,0.75,0.65,0.714285714285714,0.684210526315789
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.65,0.425,0.448275862068966,0.363636363636364,0.65,0.2,0.530612244897959,0.258064516129032,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043
0.8,0.525,0.517241379310345,0.545454545454545,0.75,0.3,0.612244897959184,0.387096774193548,0.772727272727273,0.833333333333333,0.85,0.75,0.80952380952381,0.789473684210526
0.75,0.45,0.333333333333333,0.470588235294118,0.1,0.8,0.153846153846154,0.592592592592593,0.8125,0.708333333333333,0.65,0.85,0.722222222222222,0.772727272727273
0.5,0.525,0.515151515151515,0.571428571428571,0.85,0.2,0.641509433962264,0.296296296296296,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524
0.95,0.5,0.5,0,1,0,0.666666666666667,0,0.95,0.95,0.95,0.95,0.95,0.95
0.825,0.55,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375,0.842105263157895,0.80952380952381,0.8,0.85,0.82051282051282,0.829268292682927
0.725,0.525,0.571428571428571,0.515151515151515,0.2,0.85,0.296296296296296,0.641509433962264,0.909090909090909,0.655172413793103,0.5,0.95,0.645161290322581,0.775510204081633
1,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,1,1,1,1,1,1
0.675,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.769230769230769,0.62962962962963,0.5,0.85,0.606060606060606,0.723404255319149
0.825,0.45,0.472222222222222,0.25,0.85,0.05,0.607142857142857,0.0833333333333333,0.80952380952381,0.842105263157895,0.85,0.8,0.829268292682927,0.82051282051282
0.85,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.888888888888889,0.818181818181818,0.8,0.9,0.842105263157895,0.857142857142857
0.875,0.55,0.526315789473684,1,1,0.1,0.689655172413793,0.181818181818182,0.826086956521739,0.941176470588235,0.95,0.8,0.883720930232558,0.864864864864865
0.875,0.55,0.527777777777778,0.75,0.95,0.15,0.678571428571428,0.25,0.8,1,1,0.75,0.888888888888889,0.857142857142857
0.55,0.575,0.542857142857143,0.8,0.95,0.2,0.690909090909091,0.32,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308
0.825,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.842105263157895,0.80952380952381,0.8,0.85,0.82051282051282,0.829268292682927
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.875,0.525,0.571428571428571,0.515151515151515,0.2,0.85,0.296296296296296,0.641509433962264,0.8,1,1,0.75,0.888888888888889,0.857142857142857
0.85,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.888888888888889,0.818181818181818,0.8,0.9,0.842105263157895,0.857142857142857
0.775,0.55,0.527777777777778,0.75,0.95,0.15,0.678571428571428,0.25,0.923076923076923,0.703703703703704,0.6,0.95,0.727272727272727,0.808510638297872
0.75,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158
0.9,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.863636363636364,0.944444444444444,0.95,0.85,0.904761904761905,0.894736842105263
1,0.5,0,0.5,0,1,0,0.666666666666667,1,1,1,1,1,1
0.8,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.875,0.75,0.7,0.9,0.777777777777778,0.818181818181818
0.65,0.525,0.515151515151515,0.571428571428571,0.85,0.2,0.641509433962264,0.296296296296296,0.65,0.65,0.65,0.65,0.65,0.65
