train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.505,0.5,0,0.5,0,1,0,0.666666666666667,1,0.50251256281407,0.01,1,0.0198019801980198,0.668896321070234
0.505,0.525,0.517241379310345,0.545454545454545,0.75,0.3,0.612244897959184,0.387096774193548,0.538461538461538,0.502673796791444,0.07,0.94,0.123893805309735,0.655052264808362
0.55,0.6,0.5625,0.75,0.9,0.3,0.692307692307692,0.428571428571428,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375
0.515,0.45,0.473684210526316,0,0.9,0,0.620689655172414,0,0.507853403141361,0.666666666666667,0.97,0.06,0.666666666666667,0.110091743119266
0.925,0.5,0.5,0,1,0,0.666666666666667,0,0.904761904761905,0.947368421052632,0.95,0.9,0.926829268292683,0.923076923076923
0.78,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.729508196721312,0.858974358974359,0.89,0.67,0.801801801801802,0.752808988764045
0.545833333333333,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.532934131736527,0.575342465753425,0.741666666666667,0.35,0.620209059233449,0.435233160621762
0.565,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,0.675675675675676,0.539877300613497,0.25,0.88,0.364963503649635,0.669201520912548
0.575,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.584905660377358,0.567164179104478,0.516666666666667,0.633333333333333,0.548672566371681,0.598425196850394
0.52,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,0.75,0.510416666666667,0.06,0.98,0.111111111111111,0.671232876712329
0.515,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.521739130434783,0.511450381679389,0.36,0.67,0.42603550295858,0.58008658008658
0.55,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.560975609756098,0.542372881355932,0.46,0.64,0.505494505494506,0.587155963302752
0.685,0.5,0.5,0,1,0,0.666666666666667,0,0.76056338028169,0.643410852713178,0.54,0.83,0.631578947368421,0.724890829694323
0.535,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.536082474226804,0.533980582524272,0.52,0.55,0.527918781725888,0.541871921182266
0.51,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,0.75,0.505102040816326,0.03,0.99,0.0576923076923077,0.668918918918919
0.545,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.567164179104478,0.533834586466165,0.38,0.71,0.455089820359281,0.609442060085837
0.525,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.528735632183908,0.52212389380531,0.46,0.59,0.491978609625669,0.553990610328638
0.54,0.575,0.8,0.542857142857143,0.2,0.95,0.32,0.690909090909091,0.528985507246377,0.564516129032258,0.73,0.35,0.61344537815126,0.432098765432099
0.57,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.576086956521739,0.564814814814815,0.53,0.61,0.552083333333333,0.586538461538461
0.51,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.506849315068493,0.518518518518518,0.74,0.28,0.601626016260163,0.363636363636364
0.51,0.425,0.457142857142857,0.2,0.8,0.05,0.581818181818182,0.08,0.505050505050505,1,1,0.02,0.671140939597315,0.0392156862745098
