train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.975,0.475,0.486486486486487,0.333333333333333,0.9,0.05,0.631578947368421,0.0869565217391304,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
0.85,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.818181818181818,0.888888888888889,0.9,0.8,0.857142857142857,0.842105263157895
0.7,0.5,0.5,0.5,0.05,0.95,0.0909090909090909,0.655172413793103,0.722222222222222,0.681818181818182,0.65,0.75,0.684210526315789,0.714285714285714
0.75,0.6,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158
0.9,0.5,0.5,0,1,0,0.666666666666667,0,0.9,0.9,0.9,0.9,0.9,0.9
0.975,0.35,0.40625,0.125,0.65,0.05,0.5,0.0714285714285714,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
0.675,0.5,0.5,0.5,0.1,0.9,0.166666666666667,0.642857142857143,0.612903225806452,0.888888888888889,0.95,0.4,0.745098039215686,0.551724137931035
0.575,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.540540540540541,1,1,0.15,0.701754385964912,0.260869565217391
0.55,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684
0.85,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.85,0.85,0.85,0.85,0.85,0.85
0.725,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.655172413793103,0.909090909090909,0.95,0.5,0.775510204081633,0.645161290322581
0.85,0.575,0.8,0.542857142857143,0.2,0.95,0.32,0.690909090909091,0.888888888888889,0.818181818181818,0.8,0.9,0.842105263157895,0.857142857142857
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.7,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.75,0.666666666666667,0.6,0.8,0.666666666666667,0.727272727272727
0.625,0.45,0.470588235294118,0.333333333333333,0.8,0.1,0.592592592592593,0.153846153846154,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787
0.65,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182
1,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,1,1,1,1,1,1
0.7,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.7,0.7,0.7,0.7,0.7,0.7
0.925,0.625,0.580645161290323,0.777777777777778,0.9,0.35,0.705882352941176,0.482758620689655,1,0.869565217391304,0.85,1,0.918918918918919,0.930232558139535
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.75,0.425,0.451612903225806,0.333333333333333,0.7,0.15,0.549019607843137,0.206896551724138,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158
0.75,0.575,0.714285714285714,0.545454545454545,0.25,0.9,0.37037037037037,0.679245283018868,0.8125,0.708333333333333,0.65,0.85,0.722222222222222,0.772727272727273
0.8,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.875,0.75,0.7,0.9,0.777777777777778,0.818181818181818
0.75,0.475,0.485714285714286,0.4,0.85,0.1,0.618181818181818,0.16,0.708333333333333,0.8125,0.85,0.65,0.772727272727273,0.722222222222222
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.75,0.6,0.558823529411765,0.833333333333333,0.95,0.25,0.703703703703704,0.384615384615385,0.75,0.75,0.75,0.75,0.75,0.75
0.6,0.425,0,0.459459459459459,0,0.85,0,0.596491228070175,1,0.555555555555556,0.2,1,0.333333333333333,0.714285714285714
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.675,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.620689655172414,0.818181818181818,0.9,0.45,0.73469387755102,0.580645161290323
