train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.9,0.475,0.481481481481481,0.461538461538462,0.65,0.3,0.553191489361702,0.363636363636364,0.944444444444444,0.863636363636364,0.85,0.95,0.894736842105263,0.904761904761905
0.85,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.888888888888889,0.818181818181818,0.8,0.9,0.842105263157895,0.857142857142857
0.75,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158
0.675,0.55,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118,0.733333333333333,0.64,0.55,0.8,0.628571428571429,0.711111111111111
0.875,0.625,0.619047619047619,0.631578947368421,0.65,0.6,0.634146341463415,0.615384615384615,0.857142857142857,0.894736842105263,0.9,0.85,0.878048780487805,0.871794871794872
0.925,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.904761904761905,0.947368421052632,0.95,0.9,0.926829268292683,0.923076923076923
0.775,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.761904761904762,0.789473684210526,0.8,0.75,0.780487804878049,0.769230769230769
0.8,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.714285714285714,1,1,0.6,0.833333333333333,0.75
0.725,0.45,0.45,0.45,0.45,0.45,0.45,0.45,1,0.645161290322581,0.45,1,0.620689655172414,0.784313725490196
0.825,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.76,0.933333333333333,0.95,0.7,0.844444444444444,0.8
0.95,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.95,0.95,0.95,0.95,0.95,0.95
0.85,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.818181818181818,0.888888888888889,0.9,0.8,0.857142857142857,0.842105263157895
0.85,0.375,0.4,0.333333333333333,0.5,0.25,0.444444444444444,0.285714285714286,0.9375,0.791666666666667,0.75,0.95,0.833333333333333,0.863636363636364
0.775,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.72,0.866666666666667,0.9,0.65,0.8,0.742857142857143
0.675,0.4,0.4375,0.25,0.7,0.1,0.538461538461538,0.142857142857143,0.666666666666667,0.684210526315789,0.7,0.65,0.682926829268293,0.666666666666667
0.8,0.525,0.514285714285714,0.6,0.9,0.15,0.654545454545455,0.24,0.730769230769231,0.928571428571429,0.95,0.65,0.826086956521739,0.764705882352941
1,0.45,0.45,0.45,0.45,0.45,0.45,0.45,1,1,1,1,1,1
0.825,0.35,0.375,0.3125,0.45,0.25,0.409090909090909,0.277777777777778,0.76,0.933333333333333,0.95,0.7,0.844444444444444,0.8
