train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.95,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.909090909090909,1,1,0.9,0.952380952380952,0.947368421052632
0.825,0.5,0,0.5,0,1,0,0.666666666666667,0.740740740740741,1,1,0.65,0.851063829787234,0.787878787878788
0.775,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.739130434782609,0.823529411764706,0.85,0.7,0.790697674418605,0.756756756756757
0.95,0.5,0.5,0,1,0,0.666666666666667,0,0.95,0.95,0.95,0.95,0.95,0.95
0.975,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
0.9,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.944444444444444,0.863636363636364,0.85,0.95,0.894736842105263,0.904761904761905
0.825,0.575,0.540540540540541,1,1,0.15,0.701754385964912,0.260869565217391,0.782608695652174,0.882352941176471,0.9,0.75,0.837209302325581,0.810810810810811
0.925,0.5,0.5,0.5,0.75,0.25,0.6,0.333333333333333,0.947368421052632,0.904761904761905,0.9,0.95,0.923076923076923,0.926829268292683
1,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,1,1,1,1,1,1
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.95,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,0.95,0.95,0.95,0.95,0.95,0.95
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.925,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.904761904761905,0.947368421052632,0.95,0.9,0.926829268292683,0.923076923076923
0.775,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.923076923076923,0.703703703703704,0.6,0.95,0.727272727272727,0.808510638297872
0.975,0.625,0.777777777777778,0.580645161290323,0.35,0.9,0.482758620689655,0.705882352941176,0.952380952380952,1,1,0.95,0.975609756097561,0.974358974358974
1,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,1,1,1,1,1,1
0.775,0.5,0.5,0,1,0,0.666666666666667,0,0.72,0.866666666666667,0.9,0.65,0.8,0.742857142857143
0.925,0.4,0.388888888888889,0.409090909090909,0.35,0.45,0.368421052631579,0.428571428571429,0.947368421052632,0.904761904761905,0.9,0.95,0.923076923076923,0.926829268292683
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.875,0.425,0.2,0.457142857142857,0.05,0.8,0.08,0.581818181818182,0.941176470588235,0.826086956521739,0.8,0.95,0.864864864864865,0.883720930232558
0.85,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.888888888888889,0.818181818181818,0.8,0.9,0.842105263157895,0.857142857142857
0.975,0.5,0.5,0.5,0.2,0.8,0.285714285714286,0.615384615384615,0.952380952380952,1,1,0.95,0.975609756097561,0.974358974358974
0.725,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.736842105263158,0.714285714285714,0.7,0.75,0.717948717948718,0.731707317073171
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.875,0.525,0.513513513513513,0.666666666666667,0.95,0.1,0.666666666666667,0.173913043478261,1,0.8,0.75,1,0.857142857142857,0.888888888888889
0.85,0.475,0.454545454545455,0.482758620689655,0.25,0.7,0.32258064516129,0.571428571428571,1,0.769230769230769,0.7,1,0.823529411764706,0.869565217391304
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.775,0.5,0.5,0.5,0.15,0.85,0.230769230769231,0.62962962962963,0.72,0.866666666666667,0.9,0.65,0.8,0.742857142857143
0.8,0.5,0.5,0,1,0,0.666666666666667,0,0.714285714285714,1,1,0.6,0.833333333333333,0.75
0.975,0.5,0.5,0,1,0,0.666666666666667,0,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
0.95,0.45,0.461538461538462,0.428571428571429,0.6,0.3,0.521739130434783,0.352941176470588,0.95,0.95,0.95,0.95,0.95,0.95
0.9,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,0.833333333333333,1,1,0.8,0.909090909090909,0.888888888888889
0.975,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.952380952380952,1,1,0.95,0.975609756097561,0.974358974358974
0.975,0.525,0.6,0.514285714285714,0.15,0.9,0.24,0.654545454545455,1,0.952380952380952,0.95,1,0.974358974358974,0.975609756097561
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.975,0.5,0.5,0,1,0,0.666666666666667,0,0.952380952380952,1,1,0.95,0.975609756097561,0.974358974358974
0.95,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.909090909090909,1,1,0.9,0.952380952380952,0.947368421052632
