train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.52,0.525,0.513513513513513,0.666666666666667,0.95,0.1,0.666666666666667,0.173913043478261,0.52,0.52,0.52,0.52,0.52,0.52
0.54,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.554054054054054,0.531746031746032,0.41,0.67,0.471264367816092,0.592920353982301
0.53,0.55,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118,0.517441860465116,0.607142857142857,0.89,0.17,0.654411764705882,0.265625
0.53,0.525,0.516129032258065,0.555555555555556,0.8,0.25,0.627450980392157,0.344827586206897,0.518292682926829,0.583333333333333,0.85,0.21,0.643939393939394,0.308823529411765
0.985,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,0.98019801980198,0.98989898989899,0.99,0.98,0.985074626865672,0.984924623115578
0.63,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.576470588235294,0.933333333333333,0.98,0.28,0.725925925925926,0.430769230769231
0.508333333333333,0.5,0,0.5,0,1,0,0.666666666666667,1,0.504201680672269,0.0166666666666667,1,0.0327868852459016,0.670391061452514
0.52,0.55,0.526315789473684,1,1,0.1,0.689655172413793,0.181818181818182,0.510309278350515,0.833333333333333,0.99,0.05,0.673469387755102,0.0943396226415094
0.545833333333333,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.536912751677852,0.56043956043956,0.666666666666667,0.425,0.594795539033457,0.483412322274881
0.51,0.5,0.5,0.5,0.05,0.95,0.0909090909090909,0.655172413793103,0.514285714285714,0.507692307692308,0.36,0.66,0.423529411764706,0.573913043478261
0.52,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.510204081632653,1,1,0.04,0.675675675675676,0.0769230769230769
0.51,0.475,0.333333333333333,0.486486486486487,0.05,0.9,0.0869565217391304,0.631578947368421,0.75,0.505102040816326,0.03,0.99,0.0576923076923077,0.668918918918919
0.645,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.635514018691589,0.655913978494624,0.68,0.61,0.657004830917874,0.632124352331606
