train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.675,0.5,0.5,0,1,0,0.666666666666667,0,0.705882352941177,0.652173913043478,0.6,0.75,0.648648648648649,0.697674418604651
0.625,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.6,0.666666666666667,0.75,0.5,0.666666666666667,0.571428571428572
0.8,0.475,0.454545454545455,0.482758620689655,0.25,0.7,0.32258064516129,0.571428571428571,0.928571428571429,0.730769230769231,0.65,0.95,0.764705882352941,0.826086956521739
0.65,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.75,0.607142857142857,0.45,0.85,0.5625,0.708333333333333
0.75,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.666666666666667,1,1,0.5,0.8,0.666666666666667
0.9,0.45,0.472222222222222,0.25,0.85,0.05,0.607142857142857,0.0833333333333333,0.833333333333333,1,1,0.8,0.909090909090909,0.888888888888889
0.7,0.45,0.416666666666667,0.464285714285714,0.25,0.65,0.3125,0.541666666666667,0.666666666666667,0.75,0.8,0.6,0.727272727272727,0.666666666666667
0.75,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.666666666666667,1,1,0.5,0.8,0.666666666666667
0.725,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.736842105263158,0.714285714285714,0.7,0.75,0.717948717948718,0.731707317073171
0.75,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.708333333333333,0.8125,0.85,0.65,0.772727272727273,0.722222222222222
0.875,0.45,0.46875,0.375,0.75,0.15,0.576923076923077,0.214285714285714,1,0.8,0.75,1,0.857142857142857,0.888888888888889
0.55,0.5,0.5,0.5,0.75,0.25,0.6,0.333333333333333,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375
1,0.425,0.4,0.44,0.3,0.55,0.342857142857143,0.488888888888889,1,1,1,1,1,1
0.8,0.65,0.59375,0.875,0.95,0.35,0.730769230769231,0.5,0.714285714285714,1,1,0.6,0.833333333333333,0.75
0.875,0.4,0.388888888888889,0.409090909090909,0.35,0.45,0.368421052631579,0.428571428571429,0.857142857142857,0.894736842105263,0.9,0.85,0.878048780487805,0.871794871794872
0.775,0.5,0.5,0,1,0,0.666666666666667,0,0.72,0.866666666666667,0.9,0.65,0.8,0.742857142857143
0.925,0.5,0.5,0,1,0,0.666666666666667,0,0.869565217391304,1,1,0.85,0.930232558139535,0.918918918918919
0.7,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.9,0.633333333333333,0.45,0.95,0.6,0.76
0.9,0.55,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118,1,0.833333333333333,0.8,1,0.888888888888889,0.909090909090909
1,0.5,0.5,0,1,0,0.666666666666667,0,1,1,1,1,1,1
0.725,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.68,0.8,0.85,0.6,0.755555555555556,0.685714285714286
0.75,0.6,0.7,0.566666666666667,0.35,0.85,0.466666666666667,0.68,0.8125,0.708333333333333,0.65,0.85,0.722222222222222,0.772727272727273
0.85,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.888888888888889,0.818181818181818,0.8,0.9,0.842105263157895,0.857142857142857
0.775,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.689655172413793,1,1,0.55,0.816326530612245,0.709677419354839
0.675,0.45,0.416666666666667,0.464285714285714,0.25,0.65,0.3125,0.541666666666667,0.652173913043478,0.705882352941177,0.75,0.6,0.697674418604651,0.648648648648649
0.475,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462
0.725,0.55,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375,0.695652173913043,0.764705882352941,0.8,0.65,0.744186046511628,0.702702702702703
0.975,0.5,0.5,0,1,0,0.666666666666667,0,0.952380952380952,1,1,0.95,0.975609756097561,0.974358974358974
0.575,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222
