,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.894444444444444,0.6,0.857142857142857,0.461538461538462,0.461538461538462,0.857142857142857,0.6,0.6,0.886363636363636,0.902173913043478,0.896551724137931,0.89247311827957,0.891428571428571,0.897297297297297
1,0.872222222222222,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.838383838383838,0.91358024691358,0.922222222222222,0.822222222222222,0.878306878306878,0.865497076023392
2,0.838888888888889,0.35,0.363636363636364,0.333333333333333,0.4,0.3,0.380952380952381,0.315789473684211,0.835164835164835,0.842696629213483,0.844444444444444,0.833333333333333,0.839779005524862,0.837988826815642
3,0.85,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.831578947368421,0.870588235294118,0.877777777777778,0.822222222222222,0.854054054054054,0.845714285714286
4,0.844444444444444,0.35,0.3,0.4,0.333333333333333,0.363636363636364,0.315789473684211,0.380952380952381,0.831578947368421,0.858823529411765,0.868131868131868,0.820224719101124,0.849462365591398,0.839080459770115
5,0.888888888888889,0.4,0.2,0.6,0.333333333333333,0.428571428571429,0.25,0.5,0.893617021276596,0.883720930232558,0.893617021276596,0.883720930232558,0.893617021276596,0.883720930232558
6,0.866666666666667,0.45,0.333333333333333,0.625,0.571428571428571,0.384615384615385,0.421052631578947,0.476190476190476,0.848484848484849,0.888888888888889,0.903225806451613,0.827586206896552,0.875,0.857142857142857
7,0.833333333333333,0.4,0.461538461538462,0.285714285714286,0.545454545454545,0.222222222222222,0.5,0.25,0.831460674157303,0.835164835164835,0.831460674157303,0.835164835164835,0.831460674157303,0.835164835164835
8,0.85,0.55,0.666666666666667,0.454545454545455,0.5,0.625,0.571428571428572,0.526315789473684,0.842696629213483,0.857142857142857,0.852272727272727,0.847826086956522,0.847457627118644,0.852459016393443
9,0.861111111111111,0.55,0.615384615384615,0.428571428571429,0.666666666666667,0.375,0.64,0.4,0.862068965517241,0.860215053763441,0.852272727272727,0.869565217391304,0.857142857142857,0.864864864864865
mean,0.86,0.475,0.4897702297702298,0.4688702963702965,0.48117549117549113,0.4756188256188256,0.47236675020885543,0.4594702665755297,0.8501398343298623,0.8712995119069002,0.874197699314521,0.8454338891800243,0.8617709054601164,0.8578930449419289
std,0.02058806238472192,0.09789450103725608,0.19873154273619636,0.11463856588989148,0.11471566708273288,0.19062114526503068,0.13207364789568976,0.11902604317916664,0.023101832984128448,0.025403059561554683,0.029341907569220338,0.026977587622412834,0.021555850160944464,0.020470245962965684
min,0.833333333333333,0.35,0.2,0.285714285714286,0.333333333333333,0.222222222222222,0.25,0.25,0.831460674157303,0.835164835164835,0.831460674157303,0.820224719101124,0.831460674157303,0.835164835164835
25%,0.845833333333333,0.4,0.3409090909090907,0.40714285714285725,0.4,0.366477272727273,0.3909774436090225,0.38571428571428573,0.8324754193175244,0.857563025210084,0.852272727272727,0.8235632183908045,0.8479588117368325,0.8407389162561578
50%,0.8555555555555555,0.475,0.480769230769231,0.45804195804195846,0.480769230769231,0.40659340659340704,0.472222222222222,0.488095238095238,0.8405402337986605,0.8654016445287795,0.872954822954823,0.834249084249084,0.8555984555984555,0.8548009367681499
75%,0.8708333333333332,0.55,0.6115384615384613,0.575,0.5649350649350644,0.6,0.592857142857143,0.5406698564593297,0.858672936259143,0.8875968992248062,0.8958180484225973,0.8641304347826084,0.8774801587301585,0.8653390232337602
max,0.894444444444444,0.6,0.857142857142857,0.625,0.666666666666667,0.857142857142857,0.64,0.6,0.893617021276596,0.91358024691358,0.922222222222222,0.89247311827957,0.893617021276596,0.897297297297297
