,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.905555555555556,0.7,1.0,0.538461538461538,0.538461538461538,1.0,0.7,0.7,0.9375,0.88,0.862068965517241,0.946236559139785,0.898203592814371,0.911917098445596
1,0.933333333333333,0.65,0.6,0.666666666666667,0.375,0.833333333333333,0.461538461538462,0.740740740740741,0.944444444444444,0.922222222222222,0.923913043478261,0.943181818181818,0.934065934065934,0.932584269662922
2,0.9,0.6,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.919540229885057,0.881720430107527,0.879120879120879,0.921348314606742,0.898876404494382,0.901098901098901
3,0.883333333333333,0.6,0.666666666666667,0.4,0.769230769230769,0.285714285714286,0.714285714285714,0.333333333333333,0.892857142857143,0.875,0.862068965517241,0.903225806451613,0.87719298245614,0.888888888888889
4,0.911111111111111,0.75,0.666666666666667,0.818181818181818,0.75,0.75,0.705882352941177,0.782608695652174,0.904255319148936,0.918604651162791,0.923913043478261,0.897727272727273,0.913978494623656,0.908045977011494
5,0.911111111111111,0.65,0.555555555555556,0.727272727272727,0.625,0.666666666666667,0.588235294117647,0.695652173913043,0.922222222222222,0.9,0.902173913043478,0.920454545454545,0.912087912087912,0.910112359550562
6,0.922222222222222,0.65,0.571428571428571,0.833333333333333,0.888888888888889,0.454545454545455,0.695652173913043,0.588235294117647,0.913978494623656,0.931034482758621,0.934065934065934,0.910112359550562,0.923913043478261,0.920454545454545
7,0.916666666666667,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.931034482758621,0.903225806451613,0.9,0.933333333333333,0.915254237288136,0.918032786885246
8,0.894444444444444,0.65,0.5,1.0,1.0,0.461538461538462,0.666666666666667,0.631578947368421,0.893617021276596,0.895348837209302,0.903225806451613,0.885057471264368,0.898395721925134,0.890173410404624
9,0.927777777777778,0.45,0.7,0.2,0.466666666666667,0.4,0.56,0.266666666666667,0.909090909090909,0.945652173913043,0.941176470588235,0.91578947368421,0.92485549132948,0.93048128342246
mean,0.9105555555555558,0.6300000000000001,0.6415873015873017,0.6420279720279718,0.6568803418803418,0.6088161838161839,0.6247816219018265,0.5975179488155662,0.9168540266307582,0.9052808603825119,0.9031727021261144,0.917646695439425,0.9096823814563404,0.9111789520825239
std,0.01537148590329425,0.07888106377466154,0.13998444206026764,0.22855496147941654,0.19351490873427776,0.21629149174160367,0.08472839397592095,0.16895817987455916,0.017536238277954325,0.023569111760691357,0.02833841654518858,0.019618862457414846,0.0167134770755766,0.014962785088528338
min,0.883333333333333,0.45,0.5,0.2,0.375,0.285714285714286,0.461538461538462,0.266666666666667,0.892857142857143,0.875,0.862068965517241,0.885057471264368,0.87719298245614,0.888888888888889
25%,0.901388888888889,0.6,0.5595238095238098,0.5538461538461534,0.5427350427350425,0.45629370629370675,0.5670588235294118,0.5911764705882352,0.9054642166344292,0.8851275318829708,0.8843406593406593,0.9049474447263502,0.8985158925674459,0.9028356700770492
50%,0.911111111111111,0.65,0.6,0.6515151515151515,0.6125,0.6181818181818179,0.6333333333333335,0.6339712918660285,0.9167593622543565,0.9016129032258065,0.9026998597475455,0.9181220095693775,0.913033203355784,0.911014728998079
75%,0.9208333333333333,0.65,0.666666666666667,0.7954545454545452,0.7644230769230768,0.7291666666666667,0.6989130434782607,0.6989130434782607,0.9288314176245213,0.9213178294573643,0.923913043478261,0.9303370786516852,0.9217483419307297,0.9198491058122202
max,0.933333333333333,0.75,1.0,1.0,1.0,1.0,0.714285714285714,0.782608695652174,0.944444444444444,0.945652173913043,0.941176470588235,0.946236559139785,0.934065934065934,0.932584269662922
