,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.738888888888889,0.55,0.5,0.625,0.666666666666667,0.454545454545455,0.571428571428572,0.526315789473684,0.734042553191489,0.744186046511628,0.758241758241758,0.719101123595506,0.745945945945946,0.731428571428571
1,0.744444444444444,0.45,0.545454545454545,0.333333333333333,0.5,0.375,0.521739130434783,0.352941176470588,0.728260869565217,0.761363636363636,0.761363636363636,0.728260869565217,0.744444444444444,0.744444444444444
2,0.711111111111111,0.45,0.5,0.4,0.454545454545455,0.444444444444444,0.476190476190476,0.421052631578947,0.746666666666667,0.685714285714286,0.629213483146067,0.791208791208791,0.682926829268293,0.73469387755102
3,0.755555555555556,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.755555555555556,0.755555555555556,0.755555555555556,0.755555555555556,0.755555555555556,0.755555555555556
4,0.722222222222222,0.55,0.454545454545455,0.666666666666667,0.625,0.5,0.526315789473684,0.571428571428572,0.705882352941177,0.743589743589744,0.782608695652174,0.659090909090909,0.742268041237113,0.698795180722891
5,0.744444444444444,0.45,0.6,0.3,0.461538461538462,0.428571428571429,0.521739130434783,0.352941176470588,0.735632183908046,0.752688172043011,0.735632183908046,0.752688172043011,0.735632183908046,0.752688172043011
6,0.705555555555556,0.45,0.222222222222222,0.636363636363636,0.333333333333333,0.5,0.266666666666667,0.56,0.707070707070707,0.703703703703704,0.74468085106383,0.662790697674419,0.725388601036269,0.682634730538922
7,0.766666666666667,0.3,0.2,0.4,0.25,0.333333333333333,0.222222222222222,0.363636363636364,0.740384615384615,0.802631578947368,0.83695652173913,0.693181818181818,0.785714285714286,0.74390243902439
8,0.738888888888889,0.45,0.5,0.4,0.454545454545455,0.444444444444444,0.476190476190476,0.421052631578947,0.75,0.729166666666667,0.707865168539326,0.769230769230769,0.728323699421965,0.748663101604278
9,0.716666666666667,0.7,0.75,0.625,0.75,0.625,0.75,0.625,0.707865168539326,0.725274725274725,0.715909090909091,0.717391304347826,0.711864406779661,0.721311475409836
mean,0.7344444444444445,0.49000000000000005,0.48176767676767673,0.4941919191919191,0.5095629370629372,0.46053391053391046,0.49039210344702344,0.47206841301113733,0.7311360672822799,0.7403874114370326,0.7428026945118613,0.7248500010493822,0.7358063993311579,0.7314117548322919
std,0.01991063711957868,0.10488088481701516,0.16415936187813196,0.1406926036925989,0.1530713628956717,0.07943764264804241,0.15134852726602332,0.10122766271553527,0.018481974370696062,0.0323342744776428,0.05384785035767832,0.04393143818220553,0.02714984130808417,0.02407145257249858
min,0.705555555555556,0.3,0.2,0.3,0.25,0.333333333333333,0.222222222222222,0.352941176470588,0.705882352941177,0.685714285714286,0.629213483146067,0.659090909090909,0.682926829268293,0.682634730538922
25%,0.7180555555555558,0.45,0.4659090909090912,0.4,0.454545454545455,0.4325396825396827,0.476190476190476,0.37799043062200977,0.7129640937957987,0.7262477106227105,0.7208398641588298,0.6992341897233201,0.726122375632693,0.7238407494145197
50%,0.738888888888889,0.45,0.5,0.477777777777778,0.480769230769231,0.4494949494949495,0.521739130434783,0.4736842105263155,0.7348373685497676,0.743887895050686,0.7501182033096929,0.7236809965803614,0.7389501125725795,0.739298158287705
75%,0.744444444444444,0.55,0.545454545454545,0.625,0.61875,0.5,0.5601503759398492,0.5515789473684211,0.745096153846154,0.7548387096774197,0.7605831668331665,0.7548387096774197,0.7455705705705705,0.7476084373143195
max,0.766666666666667,0.7,0.75,0.666666666666667,0.75,0.625,0.75,0.625,0.755555555555556,0.802631578947368,0.83695652173913,0.791208791208791,0.785714285714286,0.755555555555556
