,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.983333333333333,0.95,1.0,0.916666666666667,0.888888888888889,1.0,0.941176470588235,0.956521739130435,0.988888888888889,0.977777777777778,0.978021978021978,0.98876404494382,0.983425414364641,0.983240223463687
1,0.988888888888889,0.95,1.0,0.9,0.909090909090909,1.0,0.952380952380952,0.947368421052632,0.98876404494382,0.989010989010989,0.98876404494382,0.989010989010989,0.98876404494382,0.989010989010989
2,0.972222222222222,0.8,1.0,0.692307692307692,0.636363636363636,1.0,0.777777777777778,0.818181818181818,0.988372093023256,0.957446808510638,0.955056179775281,0.989010989010989,0.971428571428571,0.972972972972973
3,0.983333333333333,0.9,0.923076923076923,0.857142857142857,0.923076923076923,0.857142857142857,0.923076923076923,0.857142857142857,0.988372093023256,0.978723404255319,0.977011494252874,0.989247311827957,0.982658959537572,0.983957219251337
4,0.977777777777778,0.95,1.0,0.9,0.909090909090909,1.0,0.952380952380952,0.947368421052632,0.97752808988764,0.978021978021978,0.97752808988764,0.978021978021978,0.97752808988764,0.978021978021978
5,0.994444444444444,0.9,1.0,0.818181818181818,0.818181818181818,1.0,0.9,0.9,0.988888888888889,1.0,1.0,0.989010989010989,0.994413407821229,0.994475138121547
6,0.988888888888889,0.95,0.857142857142857,1.0,1.0,0.928571428571429,0.923076923076923,0.962962962962963,0.98936170212766,0.988372093023256,0.98936170212766,0.988372093023256,0.98936170212766,0.988372093023256
7,0.977777777777778,0.85,0.75,0.916666666666667,0.857142857142857,0.846153846153846,0.8,0.88,0.978494623655914,0.977011494252874,0.978494623655914,0.977011494252874,0.978494623655914,0.977011494252874
8,0.988888888888889,0.8,0.857142857142857,0.769230769230769,0.666666666666667,0.909090909090909,0.75,0.833333333333333,0.989010989010989,0.98876404494382,0.989010989010989,0.98876404494382,0.989010989010989,0.98876404494382
9,0.977777777777778,0.95,0.923076923076923,1.0,1.0,0.875,0.96,0.933333333333333,0.977272727272727,0.978260869565217,0.977272727272727,0.978260869565217,0.977272727272727,0.978260869565217
mean,0.9833333333333332,0.9,0.9310439560439561,0.8770196470196471,0.8608502608502608,0.941595904095904,0.8879869999281762,0.9036212886190004,0.9854954140723038,0.9813389459361869,0.9810521828948883,0.9855474803611889,0.9832358530050762,0.9834087022627676
std,0.00692899516069244,0.06236095644623233,0.08666749107079748,0.09663345710293487,0.12381608041134323,0.06579253736899562,0.08016875862125206,0.053750394456731895,0.00535075491878077,0.011260813632507676,0.011950961858252394,0.005384529100365848,0.007124092012271853,0.006772833923116609
min,0.972222222222222,0.8,0.75,0.692307692307692,0.636363636363636,0.846153846153846,0.75,0.818181818181818,0.977272727272727,0.957446808510638,0.955056179775281,0.977011494252874,0.971428571428571,0.972972972972973
25%,0.977777777777778,0.8625,0.8736263736263735,0.8279220779220777,0.8279220779220777,0.8835227272727273,0.8250000000000001,0.8628571428571428,0.9809639909977494,0.9778388278388279,0.9773365679264552,0.9807886754297267,0.9777697233297085,0.9780817009077878
50%,0.983333333333333,0.925,0.9615384615384615,0.9,0.898989898989899,0.9642857142857145,0.923076923076923,0.9166666666666665,0.988568068983538,0.9784921369102679,0.978258300838946,0.98876404494382,0.9830421869511066,0.9835987213575119
75%,0.988888888888889,0.95,1.0,0.916666666666667,0.9195804195804195,1.0,0.9495798319327727,0.947368421052632,0.988888888888889,0.9886660569636789,0.9889492529941968,0.989010989010989,0.9889492529941968,0.9886660569636789
max,0.994444444444444,0.95,1.0,1.0,1.0,1.0,0.96,0.962962962962963,0.98936170212766,1.0,1.0,0.989247311827957,0.994413407821229,0.994475138121547
