,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.922222222222222,0.85,1.0,0.75,0.727272727272727,1.0,0.842105263157895,0.857142857142857,0.921348314606742,0.923076923076923,0.921348314606742,0.923076923076923,0.921348314606742,0.923076923076923
1,0.905555555555556,0.9,1.0,0.818181818181818,0.818181818181818,1.0,0.9,0.9,0.909090909090909,0.902173913043478,0.898876404494382,0.912087912087912,0.903954802259887,0.907103825136612
2,0.888888888888889,0.75,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158,0.880434782608696,0.897727272727273,0.9,0.877777777777778,0.89010989010989,0.887640449438202
3,0.883333333333333,0.8,0.727272727272727,0.888888888888889,0.888888888888889,0.727272727272727,0.8,0.8,0.888888888888889,0.877777777777778,0.879120879120879,0.887640449438202,0.883977900552486,0.88268156424581
4,0.9,0.95,0.928571428571429,1.0,1.0,0.857142857142857,0.962962962962963,0.923076923076923,0.91566265060241,0.88659793814433,0.873563218390805,0.924731182795699,0.894117647058823,0.905263157894737
5,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.882978723404255,0.918604651162791,0.922222222222222,0.877777777777778,0.902173913043478,0.897727272727273
6,0.922222222222222,0.7,0.5,0.785714285714286,0.5,0.785714285714286,0.5,0.785714285714286,0.934782608695652,0.909090909090909,0.914893617021277,0.930232558139535,0.924731182795699,0.919540229885057
7,0.888888888888889,0.95,1.0,0.916666666666667,0.888888888888889,1.0,0.941176470588235,0.956521739130435,0.908045977011494,0.870967741935484,0.868131868131868,0.910112359550562,0.887640449438202,0.89010989010989
8,0.95,0.75,0.666666666666667,0.818181818181818,0.75,0.75,0.705882352941177,0.782608695652174,0.946236559139785,0.954022988505747,0.956521739130435,0.943181818181818,0.951351351351351,0.948571428571429
9,0.911111111111111,0.85,0.916666666666667,0.75,0.846153846153846,0.857142857142857,0.88,0.8,0.908045977011494,0.913978494623656,0.908045977011494,0.913978494623656,0.908045977011494,0.913978494623656
mean,0.9072222222222223,0.8300000000000001,0.8266450216450216,0.8305411255411255,0.8019386169386168,0.8477272727272729,0.809403181155503,0.8341906605979835,0.9095515391060326,0.905401861008837,0.9042724240130104,0.9100597253449862,0.9067451428228053,0.9075693235709588
std,0.020124782202810592,0.08563488385776752,0.17042379911589178,0.08065275913429036,0.131662404574474,0.11630659886507991,0.13502500049414898,0.07127235398482566,0.021459258388195474,0.0242890195701513,0.02666664083771624,0.022348404346471916,0.0207534744697412,0.019804129163737978
min,0.883333333333333,0.7,0.5,0.75,0.5,0.7,0.5,0.736842105263158,0.880434782608696,0.870967741935484,0.868131868131868,0.877777777777778,0.883977900552486,0.88268156424581
25%,0.8916666666666667,0.7625,0.727272727272727,0.779761904761905,0.7625,0.7589285714285715,0.7714285714285715,0.7892857142857146,0.8936781609195402,0.8893802717900657,0.8840597604642547,0.893258426966292,0.8911118293471232,0.8920142357642358
50%,0.902777777777778,0.825,0.8583333333333335,0.8090909090909091,0.8090909090909091,0.8285714285714285,0.8210526315789475,0.8,0.9085684430512015,0.9056324110671935,0.904022988505747,0.913033203355784,0.9030643576516826,0.9061834915156746
75%,0.9194444444444443,0.8875,0.9821428571428572,0.8712121212121212,0.8782051282051282,0.9642857142857142,0.895,0.8892857142857142,0.919926898605659,0.9174481120280072,0.9197346402103758,0.924317617866005,0.91802273020793,0.9181497960697067
max,0.95,0.95,1.0,1.0,1.0,1.0,0.962962962962963,0.956521739130435,0.946236559139785,0.954022988505747,0.956521739130435,0.943181818181818,0.951351351351351,0.948571428571429
