,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.766666666666667,0.55,0.4,0.7,0.571428571428571,0.538461538461538,0.470588235294118,0.608695652173913,0.742857142857143,0.8,0.838709677419355,0.689655172413793,0.787878787878788,0.740740740740741
1,0.788888888888889,0.45,0.461538461538462,0.428571428571429,0.6,0.3,0.521739130434783,0.352941176470588,0.795454545454545,0.782608695652174,0.777777777777778,0.8,0.786516853932584,0.791208791208791
2,0.75,0.55,0.6,0.5,0.545454545454545,0.555555555555556,0.571428571428571,0.526315789473684,0.75,0.75,0.741573033707865,0.758241758241758,0.745762711864407,0.754098360655738
3,0.75,0.6,0.5,0.7,0.625,0.583333333333333,0.555555555555556,0.636363636363636,0.752688172043011,0.747126436781609,0.760869565217391,0.738636363636364,0.756756756756757,0.742857142857143
4,0.761111111111111,0.4,0.4,0.4,0.181818181818182,0.666666666666667,0.25,0.5,0.7875,0.74,0.707865168539326,0.813186813186813,0.745562130177515,0.774869109947644
5,0.761111111111111,0.7,0.666666666666667,0.75,0.8,0.6,0.727272727272727,0.666666666666667,0.758241758241758,0.764044943820225,0.766666666666667,0.755555555555556,0.762430939226519,0.759776536312849
6,0.772222222222222,0.45,0.5,0.4,0.454545454545455,0.444444444444444,0.476190476190476,0.421052631578947,0.766666666666667,0.777777777777778,0.775280898876405,0.769230769230769,0.770949720670391,0.773480662983426
7,0.75,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.764705882352941,0.736842105263158,0.722222222222222,0.777777777777778,0.742857142857143,0.756756756756757
8,0.755555555555556,0.5,0.6,0.4,0.5,0.5,0.545454545454545,0.444444444444444,0.755813953488372,0.75531914893617,0.738636363636364,0.771739130434783,0.747126436781609,0.763440860215054
9,0.727777777777778,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.725274725274725,0.730337078651685,0.733333333333333,0.722222222222222,0.729281767955801,0.726256983240223
mean,0.7583333333333334,0.53,0.5253205128205128,0.5361904761904762,0.5078246753246753,0.5588461538461538,0.5048784797186332,0.5376176966868847,0.7599202846379162,0.7584056186882797,0.7562934707396707,0.7596245562699836,0.7575123248101514,0.7583485944918366
std,0.016197088596792468,0.08881941729649481,0.09337545717494426,0.13802132669017195,0.17175133387915045,0.12371367185937927,0.12683560140877106,0.1060471926996403,0.020422211504143698,0.022415172299197737,0.03697575162027917,0.036241927690997905,0.01934820684179088,0.01888609476516097
min,0.727777777777778,0.4,0.4,0.4,0.181818181818182,0.3,0.25,0.352941176470588,0.725274725274725,0.730337078651685,0.707865168539326,0.689655172413793,0.729281767955801,0.726256983240223
25%,0.75,0.4625,0.4711538461538465,0.40714285714285725,0.4659090909090912,0.5096153846153845,0.4719887955182075,0.458333333333333,0.7506720430107527,0.7417816091954023,0.7346590909090907,0.742866161616162,0.745612275599238,0.7456674473067917
50%,0.7583333333333335,0.525,0.5,0.5,0.5227272727272725,0.5694444444444445,0.5335968379446641,0.5548245614035086,0.7570278558650649,0.7526595744680851,0.751221299462628,0.7637362637362635,0.7519415967691829,0.758266646534803
75%,0.7652777777777781,0.5875,0.6,0.6708333333333332,0.5928571428571427,0.6500000000000002,0.555555555555556,0.6294466403162052,0.7661764705882356,0.7743445692883898,0.7731273408239705,0.7762681159420293,0.7688200253094231,0.770970712291333
max,0.788888888888889,0.7,0.666666666666667,0.75,0.8,0.7,0.727272727272727,0.666666666666667,0.795454545454545,0.8,0.838709677419355,0.813186813186813,0.787878787878788,0.791208791208791
