,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.816666666666667,0.85,0.9,0.8,0.818181818181818,0.888888888888889,0.857142857142857,0.842105263157895,0.85,0.79,0.764044943820225,0.868131868131868,0.804733727810651,0.827225130890052
1,0.822222222222222,0.95,1.0,0.916666666666667,0.888888888888889,1.0,0.941176470588235,0.956521739130435,0.839080459770115,0.806451612903226,0.802197802197802,0.842696629213483,0.820224719101124,0.824175824175824
2,0.833333333333333,0.7,0.583333333333333,0.875,0.875,0.583333333333333,0.7,0.7,0.852272727272727,0.815217391304348,0.815217391304348,0.852272727272727,0.833333333333333,0.833333333333333
3,0.822222222222222,0.9,1.0,0.8,0.833333333333333,1.0,0.909090909090909,0.888888888888889,0.825581395348837,0.819148936170213,0.806818181818182,0.83695652173913,0.816091954022989,0.827956989247312
4,0.822222222222222,0.7,1.0,0.571428571428571,0.5,1.0,0.666666666666667,0.727272727272727,0.833333333333333,0.8125,0.795454545454545,0.847826086956522,0.813953488372093,0.829787234042553
5,0.788888888888889,0.7,0.846153846153846,0.428571428571429,0.733333333333333,0.6,0.785714285714286,0.5,0.790123456790123,0.787878787878788,0.752941176470588,0.821052631578947,0.771084337349398,0.804123711340206
6,0.844444444444444,0.8,0.833333333333333,0.785714285714286,0.625,0.916666666666667,0.714285714285714,0.846153846153846,0.880952380952381,0.8125,0.804347826086957,0.886363636363636,0.840909090909091,0.847826086956522
7,0.838888888888889,0.55,0.333333333333333,0.642857142857143,0.285714285714286,0.692307692307692,0.307692307692308,0.666666666666667,0.872093023255814,0.808510638297872,0.806451612903226,0.873563218390805,0.837988826815642,0.839779005524862
8,0.816666666666667,0.8,0.666666666666667,1.0,1.0,0.666666666666667,0.8,0.8,0.831460674157303,0.802197802197802,0.804347826086957,0.829545454545455,0.81767955801105,0.815642458100559
9,0.805555555555556,0.7,0.75,0.666666666666667,0.6,0.8,0.666666666666667,0.727272727272727,0.823529411764706,0.789473684210526,0.777777777777778,0.833333333333333,0.8,0.810810810810811
mean,0.821111111111111,0.7649999999999999,0.7912820512820511,0.7486904761904762,0.7159451659451658,0.8147863247863247,0.7348435877847642,0.7654881858543185,0.8398426862645341,0.8043878852962776,0.7929599083920608,0.8491742107525905,0.8155999035725371,0.8260660584422034
std,0.01610152971798809,0.11796892246124258,0.2153759664523145,0.17184917720994458,0.21444372825065414,0.16853810878995837,0.17892170471338928,0.1302770369067896,0.02591114751513694,0.011522090358214535,0.020785881384124353,0.020994612422284675,0.020623682341602605,0.013163657315927156
min,0.788888888888889,0.55,0.333333333333333,0.428571428571429,0.285714285714286,0.583333333333333,0.307692307692308,0.5,0.790123456790123,0.787878787878788,0.752941176470588,0.821052631578947,0.771084337349398,0.804123711340206
25%,0.816666666666667,0.7,0.6875000000000002,0.648809523809524,0.60625,0.6730769230769232,0.6750000000000003,0.7068181818181817,0.8270512150509535,0.7930494505494505,0.7821969696969697,0.8342391304347823,0.8070386679510115,0.8177757996193753
50%,0.822222222222222,0.75,0.8397435897435895,0.792857142857143,0.7757575757575754,0.8444444444444446,0.75,0.7636363636363634,0.836206896551724,0.807481125600549,0.8032728141423795,0.8452613580850025,0.8168857560170195,0.827591060068682
75%,0.8305555555555553,0.8375,0.975,0.85625,0.8645833333333333,0.9791666666666667,0.8428571428571427,0.8451417004048583,0.8517045454545452,0.8125,0.8059256661991587,0.8641670829170828,0.8300561797752808,0.832446808510638
max,0.844444444444444,0.95,1.0,1.0,1.0,1.0,0.941176470588235,0.956521739130435,0.880952380952381,0.819148936170213,0.815217391304348,0.886363636363636,0.840909090909091,0.847826086956522
