,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.866666666666667,0.55,0.6,0.5,0.545454545454545,0.555555555555556,0.571428571428571,0.526315789473684,0.849462365591398,0.885057471264368,0.887640449438202,0.846153846153846,0.868131868131868,0.865168539325843
1,0.888888888888889,0.7,0.545454545454545,0.888888888888889,0.857142857142857,0.615384615384615,0.666666666666667,0.727272727272727,0.89247311827957,0.885057471264368,0.89247311827957,0.885057471264368,0.89247311827957,0.885057471264368
2,0.861111111111111,0.6,0.545454545454545,0.666666666666667,0.666666666666667,0.545454545454545,0.6,0.6,0.823529411764706,0.91025641025641,0.923076923076923,0.797752808988764,0.870466321243523,0.850299401197605
3,0.861111111111111,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.873563218390805,0.849462365591398,0.844444444444444,0.877777777777778,0.858757062146893,0.863387978142076
4,0.866666666666667,0.75,0.666666666666667,1.0,1.0,0.5,0.8,0.666666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667
5,0.8,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.813953488372093,0.787234042553192,0.777777777777778,0.822222222222222,0.795454545454546,0.804347826086957
6,0.883333333333333,0.65,0.615384615384615,0.714285714285714,0.8,0.5,0.695652173913043,0.588235294117647,0.879120879120879,0.887640449438202,0.888888888888889,0.877777777777778,0.883977900552486,0.88268156424581
7,0.844444444444444,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.829787234042553,0.86046511627907,0.866666666666667,0.822222222222222,0.847826086956522,0.840909090909091
8,0.822222222222222,0.55,0.833333333333333,0.428571428571429,0.384615384615385,0.857142857142857,0.526315789473684,0.571428571428571,0.816091954022989,0.827956989247312,0.816091954022989,0.827956989247312,0.816091954022989,0.827956989247312
9,0.888888888888889,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.857142857142857,0.926829268292683,0.933333333333333,0.844444444444444,0.893617021276596,0.883720930232558
mean,0.8583333333333332,0.6,0.6032303807303807,0.6382756132756133,0.6253879453879454,0.5973537573537573,0.595780756238422,0.5959481591679732,0.8501791193394516,0.8686626250853671,0.8697060222595463,0.8468032226765401,0.8593462544731659,0.8570196457318288
std,0.028956473650207253,0.07817359599705714,0.09460276608563206,0.1828564347225009,0.20371198482982786,0.111175349297226,0.1011489446139865,0.06446870489647104,0.028075963561400137,0.040467458715407884,0.04724257449588325,0.02934914414482838,0.03200550347553615,0.026418233820489533
min,0.8,0.5,0.5,0.428571428571429,0.384615384615385,0.5,0.444444444444444,0.526315789473684,0.813953488372093,0.787234042553192,0.777777777777778,0.797752808988764,0.795454545454546,0.804347826086957
25%,0.8486111111111108,0.55,0.545454545454545,0.5113636363636362,0.5,0.5113636363636362,0.533625730994152,0.5519480519480515,0.8250938673341677,0.852213053263316,0.8499999999999998,0.8236559139784945,0.8505588307541148,0.8432566684812195
50%,0.863888888888889,0.575,0.577777777777778,0.5694444444444445,0.5727272727272725,0.577777777777778,0.571428571428571,0.579831932773109,0.8533026113671275,0.8758620689655174,0.8771535580524346,0.845299145299145,0.8673992673992675,0.8642782587339595
75%,0.8791666666666664,0.6375,0.6225961538461537,0.7023809523809522,0.7666666666666668,0.6115384615384613,0.6500000000000002,0.627272727272727,0.8718390804597704,0.8869947048947435,0.8915770609318997,0.8750000000000002,0.8806000057252452,0.8786778398510242
max,0.888888888888889,0.75,0.833333333333333,1.0,1.0,0.857142857142857,0.8,0.727272727272727,0.89247311827957,0.926829268292683,0.933333333333333,0.885057471264368,0.893617021276596,0.885057471264368
