,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.983333333333333,0.95,0.9,1.0,1.0,0.909090909090909,0.947368421052632,0.952380952380952,0.968085106382979,1.0,1.0,0.966292134831461,0.983783783783784,0.982857142857143
1,0.966666666666667,0.95,1.0,0.909090909090909,0.9,1.0,0.947368421052632,0.952380952380952,0.956521739130435,0.977272727272727,0.977777777777778,0.955555555555556,0.967032967032967,0.966292134831461
2,0.988888888888889,0.95,0.909090909090909,1.0,1.0,0.9,0.952380952380952,0.947368421052632,0.988888888888889,0.988888888888889,0.988888888888889,0.988888888888889,0.988888888888889,0.988888888888889
3,0.977777777777778,0.9,0.916666666666667,0.875,0.916666666666667,0.875,0.916666666666667,0.875,0.956521739130435,1.0,1.0,0.956521739130435,0.977777777777778,0.977777777777778
4,0.983333333333333,0.95,1.0,0.875,0.923076923076923,1.0,0.96,0.933333333333333,0.988372093023256,0.978723404255319,0.977011494252874,0.989247311827957,0.982658959537572,0.983957219251337
5,0.972222222222222,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.967032967032967,0.97752808988764,0.977777777777778,0.966666666666667,0.972375690607735,0.972067039106145
6,0.988888888888889,0.85,0.875,0.833333333333333,0.777777777777778,0.909090909090909,0.823529411764706,0.869565217391304,0.989010989010989,0.98876404494382,0.989010989010989,0.98876404494382,0.989010989010989,0.98876404494382
7,0.983333333333333,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.978021978021978,0.98876404494382,0.988888888888889,0.977777777777778,0.983425414364641,0.983240223463687
8,0.988888888888889,0.9,0.888888888888889,0.909090909090909,0.888888888888889,0.909090909090909,0.888888888888889,0.909090909090909,0.989010989010989,0.98876404494382,0.989010989010989,0.98876404494382,0.989010989010989,0.98876404494382
9,0.988888888888889,0.95,1.0,0.923076923076923,0.875,1.0,0.933333333333333,0.96,0.978723404255319,1.0,1.0,0.977272727272727,0.989247311827957,0.988505747126437
mean,0.9822222222222223,0.9199999999999999,0.9289646464646465,0.9124592074592075,0.9081410256410256,0.9302272727272728,0.9169536095139812,0.9199119785630081,0.9760189893888237,0.9888705245136034,0.9888366805608186,0.975575089183911,0.9823212771843302,0.9821114263190518
std,0.007768954430889996,0.03496029493900503,0.0502431551421914,0.05253565939671131,0.06309982177000652,0.049143840711627425,0.04125415344330413,0.033518582717323324,0.013212469054945466,0.00905387454429412,0.009179439669060808,0.01353662916772692,0.007727084748297181,0.007820865550534063
min,0.966666666666667,0.85,0.875,0.833333333333333,0.777777777777778,0.875,0.823529411764706,0.869565217391304,0.956521739130435,0.977272727272727,0.977011494252874,0.955555555555556,0.967032967032967,0.966292134831461
25%,0.9791666666666667,0.9,0.9,0.88125,0.8916666666666667,0.9,0.9,0.9,0.96729600187047,0.9812335644274442,0.9805555555555557,0.9663857677902625,0.9789980732177265,0.9790476190476192
50%,0.983333333333333,0.925,0.9045454545454545,0.9045454545454545,0.9,0.909090909090909,0.925,0.9212121212121209,0.9783726911386486,0.98876404494382,0.988949938949939,0.9775252525252525,0.9836045990742125,0.9835987213575119
75%,0.988888888888889,0.95,0.9791666666666667,0.9195804195804195,0.921474358974359,0.9772727272727273,0.947368421052632,0.9511278195488719,0.9887596899224808,0.9972222222222222,0.9972527472527473,0.98876404494382,0.988980463980464,0.9886994704894743
max,0.988888888888889,0.95,1.0,1.0,1.0,1.0,0.96,0.96,0.989010989010989,1.0,1.0,0.989247311827957,0.989247311827957,0.988888888888889
