,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.844444444444444,0.4,0.230769230769231,0.714285714285714,0.6,0.333333333333333,0.333333333333333,0.454545454545454,0.885057471264368,0.806451612903226,0.810526315789474,0.882352941176471,0.846153846153846,0.842696629213483
1,0.833333333333333,0.4,0.444444444444444,0.363636363636364,0.363636363636364,0.444444444444444,0.4,0.4,0.817204301075269,0.850574712643678,0.853932584269663,0.813186813186813,0.835164835164835,0.831460674157303
2,0.866666666666667,0.35,0.375,0.333333333333333,0.272727272727273,0.444444444444444,0.315789473684211,0.380952380952381,0.865168539325843,0.868131868131868,0.865168539325843,0.868131868131868,0.865168539325843,0.868131868131868
3,0.861111111111111,0.5,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.863636363636364,0.858695652173913,0.853932584269663,0.868131868131868,0.858757062146893,0.863387978142077
4,0.844444444444444,0.6,0.615384615384615,0.571428571428571,0.727272727272727,0.444444444444444,0.666666666666667,0.5,0.842696629213483,0.846153846153846,0.842696629213483,0.846153846153846,0.842696629213483,0.846153846153846
5,0.883333333333333,0.45,0.5,0.416666666666667,0.363636363636364,0.555555555555556,0.421052631578947,0.476190476190476,0.895348837209302,0.872340425531915,0.865168539325843,0.901098901098901,0.88,0.886486486486487
6,0.844444444444444,0.35,0.375,0.333333333333333,0.272727272727273,0.444444444444444,0.315789473684211,0.380952380952381,0.858823529411765,0.831578947368421,0.820224719101124,0.868131868131868,0.839080459770115,0.849462365591398
7,0.855555555555556,0.5,0.384615384615385,0.714285714285714,0.714285714285714,0.384615384615385,0.5,0.5,0.860215053763441,0.850574712643678,0.860215053763441,0.850574712643678,0.860215053763441,0.850574712643678
8,0.861111111111111,0.45,0.5,0.375,0.545454545454545,0.333333333333333,0.521739130434783,0.352941176470588,0.855555555555556,0.866666666666667,0.865168539325843,0.857142857142857,0.860335195530726,0.861878453038674
9,0.883333333333333,0.45,0.5,0.4,0.454545454545455,0.444444444444444,0.476190476190476,0.421052631578947,0.861702127659574,0.906976744186046,0.910112359550562,0.857142857142857,0.885245901639344,0.88135593220339
mean,0.8577777777777775,0.445,0.44706682206682197,0.466641414141414,0.485974025974026,0.42735042735042705,0.4496015731027173,0.43110789451346704,0.8605408408114966,0.8558145188403257,0.854714586393494,0.8612048532941026,0.8572817522708526,0.8581588945762204
std,0.01681008254505223,0.07619419633774972,0.10928848075418135,0.1474288092156715,0.16743097924922226,0.06471690422564425,0.11419323930592089,0.05213429523431091,0.021263918716994443,0.026542973900707638,0.027314693567196163,0.023240271040718172,0.016790934500412857,0.017353644807759857
min,0.833333333333333,0.35,0.230769230769231,0.333333333333333,0.272727272727273,0.333333333333333,0.315789473684211,0.352941176470588,0.817204301075269,0.806451612903226,0.810526315789474,0.813186813186813,0.835164835164835,0.831460674157303
25%,0.844444444444444,0.4,0.37740384615384626,0.366477272727273,0.363636363636364,0.39957264957264976,0.34999999999999976,0.38571428571428573,0.8563725490196082,0.847259062776304,0.845505617977528,0.8522167487684728,0.8435609334485737,0.8469809760132341
50%,0.8583333333333335,0.45,0.472222222222222,0.40833333333333355,0.5,0.444444444444444,0.4486215538847115,0.4327485380116955,0.8609585907115075,0.8546351824087954,0.857073819016552,0.8626373626373625,0.859486057955167,0.856226582841176
75%,0.865277777777778,0.4875,0.5,0.5396825396825392,0.5863636363636362,0.444444444444444,0.5163043478260873,0.4707792207792205,0.8647854954034733,0.8677655677655678,0.865168539325843,0.868131868131868,0.8639602033770638,0.8669458956344203
max,0.883333333333333,0.6,0.615384615384615,0.714285714285714,0.727272727272727,0.555555555555556,0.666666666666667,0.5,0.895348837209302,0.906976744186046,0.910112359550562,0.901098901098901,0.885245901639344,0.886486486486487
