,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.838888888888889,0.5,0.461538461538462,0.571428571428571,0.666666666666667,0.363636363636364,0.545454545454546,0.444444444444444,0.822916666666667,0.857142857142857,0.868131868131868,0.808988764044944,0.844919786096257,0.832369942196532
1,0.822222222222222,0.6,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.827586206896552,0.817204301075269,0.808988764044944,0.835164835164835,0.818181818181818,0.826086956521739
2,0.85,0.45,0.363636363636364,0.555555555555556,0.5,0.416666666666667,0.421052631578947,0.476190476190476,0.857142857142857,0.842696629213483,0.847826086956522,0.852272727272727,0.852459016393443,0.847457627118644
3,0.838888888888889,0.55,0.428571428571429,0.615384615384615,0.375,0.666666666666667,0.4,0.64,0.846153846153846,0.831460674157303,0.83695652173913,0.840909090909091,0.841530054644809,0.836158192090395
4,0.883333333333333,0.45,0.666666666666667,0.357142857142857,0.307692307692308,0.714285714285714,0.421052631578947,0.476190476190476,0.9125,0.86,0.839080459770115,0.924731182795699,0.874251497005988,0.89119170984456
5,0.827777777777778,0.55,0.636363636363636,0.444444444444444,0.583333333333333,0.5,0.608695652173913,0.470588235294118,0.806451612903226,0.850574712643678,0.852272727272727,0.804347826086957,0.828729281767956,0.8268156424581
6,0.838888888888889,0.6,0.5,0.642857142857143,0.375,0.75,0.428571428571429,0.692307692307692,0.870588235294118,0.810526315789474,0.804347826086957,0.875,0.836158192090395,0.841530054644809
7,0.833333333333333,0.6,0.642857142857143,0.5,0.75,0.375,0.692307692307692,0.428571428571429,0.837209302325581,0.829787234042553,0.818181818181818,0.847826086956522,0.827586206896552,0.838709677419355
8,0.894444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.873684210526316,0.917647058823529,0.922222222222222,0.866666666666667,0.897297297297297,0.891428571428571
9,0.872222222222222,0.4,0.384615384615385,0.428571428571429,0.555555555555556,0.272727272727273,0.454545454545455,0.333333333333333,0.877777777777778,0.866666666666667,0.868131868131868,0.876404494382023,0.87292817679558,0.871508379888268
mean,0.85,0.5200000000000001,0.5220612720612723,0.517094017094017,0.52496114996115,0.5114538239538241,0.5108043672574565,0.5017181641887525,0.8532010715686941,0.8483706449554813,0.8466140162538173,0.8532311674279465,0.8494041327170094,0.8503256753610973
std,0.024706785303937516,0.07149203529842404,0.11498744278544389,0.08861353212804635,0.1417765619810515,0.16013468025206948,0.10430954857149426,0.1041389160317329,0.03148538628599064,0.030583285954074793,0.03469970994153239,0.03521202563271139,0.024966042218945966,0.02514860485877917
min,0.822222222222222,0.4,0.363636363636364,0.357142857142857,0.307692307692308,0.272727272727273,0.4,0.333333333333333,0.806451612903226,0.810526315789474,0.804347826086957,0.804347826086957,0.818181818181818,0.826086956521739
25%,0.834722222222222,0.4625,0.43681318681318726,0.458333333333333,0.40625,0.38541666666666674,0.4229323308270675,0.4509803921568625,0.8299919807538093,0.8302055940712405,0.822875494071146,0.836600899100899,0.8305865093485658,0.8333170046699978
50%,0.838888888888889,0.525,0.5,0.527777777777778,0.527777777777778,0.5,0.4772727272727275,0.476190476190476,0.8516483516483515,0.8466356709285805,0.8434532733633184,0.8500494071146245,0.843224920370533,0.840119866032082
75%,0.8666666666666665,0.5875,0.636363636363636,0.5674603174603172,0.6231060606060603,0.6388888888888893,0.5928853754940713,0.541666666666667,0.8729102167182665,0.8592857142857142,0.8641670829170828,0.8729166666666668,0.8678108866950458,0.865495691695862
max,0.894444444444444,0.6,0.666666666666667,0.642857142857143,0.75,0.75,0.692307692307692,0.692307692307692,0.9125,0.917647058823529,0.922222222222222,0.924731182795699,0.897297297297297,0.891428571428571
