,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.677777777777778,0.45,0.5,0.375,0.545454545454545,0.333333333333333,0.521739130434783,0.352941176470588,0.656565656565657,0.703703703703704,0.730337078651685,0.626373626373626,0.691489361702128,0.662790697674419
1,0.611111111111111,0.55,0.625,0.5,0.454545454545455,0.666666666666667,0.526315789473684,0.571428571428572,0.614457831325301,0.608247422680412,0.573033707865168,0.648351648351648,0.593023255813953,0.627659574468085
2,0.65,0.45,0.625,0.333333333333333,0.384615384615385,0.571428571428571,0.476190476190476,0.421052631578947,0.6875,0.629310344827586,0.505747126436782,0.78494623655914,0.582781456953642,0.698564593301435
3,0.633333333333333,0.65,0.428571428571429,0.769230769230769,0.5,0.714285714285714,0.461538461538462,0.740740740740741,0.655555555555556,0.611111111111111,0.627659574468085,0.63953488372093,0.641304347826087,0.625
4,0.616666666666667,0.3,0.333333333333333,0.25,0.4,0.2,0.363636363636364,0.222222222222222,0.612903225806452,0.620689655172414,0.633333333333333,0.6,0.622950819672131,0.610169491525424
5,0.622222222222222,0.45,0.416666666666667,0.5,0.555555555555556,0.363636363636364,0.476190476190476,0.421052631578947,0.641975308641975,0.606060606060606,0.571428571428571,0.674157303370786,0.604651162790698,0.638297872340426
6,0.655555555555556,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.662790697674419,0.648936170212766,0.633333333333333,0.677777777777778,0.647727272727273,0.66304347826087
7,0.638888888888889,0.45,0.555555555555556,0.363636363636364,0.416666666666667,0.5,0.476190476190476,0.421052631578947,0.635294117647059,0.642105263157895,0.613636363636364,0.66304347826087,0.624277456647399,0.6524064171123
8,0.633333333333333,0.4,0.444444444444444,0.363636363636364,0.363636363636364,0.444444444444444,0.4,0.4,0.626373626373626,0.640449438202247,0.640449438202247,0.626373626373626,0.633333333333333,0.633333333333333
9,0.65,0.45,0.25,0.583333333333333,0.285714285714286,0.538461538461538,0.266666666666667,0.56,0.653061224489796,0.646341463414634,0.688172043010753,0.609195402298851,0.670157068062827,0.627218934911243
mean,0.638888888888889,0.4700000000000001,0.4724025974025974,0.45937257187257197,0.4506188256188257,0.4832256632256631,0.45398964117499585,0.46368063950726485,0.644647724407984,0.6356955178543375,0.6217130570366322,0.6549753983087255,0.6311695535529471,0.6438484392927535
std,0.020116260168889396,0.09486832980505139,0.12210971930830156,0.15242595745622964,0.09866053466674855,0.15524995294071964,0.08901752397493265,0.1420659309871386,0.023202028487676146,0.028827869034876837,0.06261344206451802,0.05258000826744579,0.03359047676489898,0.025742067518299463
min,0.611111111111111,0.3,0.25,0.25,0.285714285714286,0.2,0.266666666666667,0.222222222222222,0.612903225806452,0.606060606060606,0.505747126436782,0.6,0.582781456953642,0.610169491525424
25%,0.6249999999999998,0.45,0.41964285714285754,0.363636363636364,0.38846153846153875,0.383838383838384,0.4153846153846155,0.40526315789473677,0.6286037491919843,0.6135057471264368,0.583184371807967,0.626373626373626,0.6092260770110562,0.6273290948004535
50%,0.636111111111111,0.45,0.472222222222222,0.4375,0.435606060606061,0.5,0.476190476190476,0.421052631578947,0.6475182665658855,0.6348798915149165,0.630496453900709,0.643943266036289,0.628805394990366,0.6358156028368795
75%,0.65,0.525,0.5530303030303032,0.541666666666667,0.5340909090909087,0.5631868131868127,0.5103519668737063,0.5515789473684211,0.6563131313131317,0.6452824133504493,0.6386704119850185,0.6713788470933071,0.6461215415019765,0.6601946275338892
max,0.677777777777778,0.65,0.625,0.769230769230769,0.6,0.714285714285714,0.571428571428571,0.740740740740741,0.6875,0.703703703703704,0.730337078651685,0.78494623655914,0.691489361702128,0.698564593301435
