,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.705555555555556,0.5,0.461538461538462,0.571428571428571,0.666666666666667,0.363636363636364,0.545454545454546,0.444444444444444,0.702127659574468,0.709302325581395,0.725274725274725,0.685393258426966,0.713513513513514,0.697142857142857
1,0.766666666666667,0.55,0.7,0.4,0.538461538461538,0.571428571428571,0.608695652173913,0.470588235294118,0.771084337349398,0.762886597938144,0.735632183908046,0.795698924731183,0.752941176470588,0.778947368421053
2,0.7,0.5,0.6,0.466666666666667,0.272727272727273,0.777777777777778,0.375,0.583333333333333,0.727272727272727,0.679611650485437,0.629213483146067,0.769230769230769,0.674698795180723,0.721649484536083
3,0.738888888888889,0.4,0.454545454545455,0.333333333333333,0.454545454545455,0.333333333333333,0.454545454545455,0.333333333333333,0.71875,0.761904761904762,0.775280898876405,0.703296703296703,0.745945945945946,0.731428571428571
4,0.677777777777778,0.65,0.6,0.7,0.666666666666667,0.636363636363636,0.631578947368421,0.666666666666667,0.67741935483871,0.67816091954023,0.692307692307692,0.662921348314607,0.684782608695652,0.670454545454545
5,0.711111111111111,0.6,0.428571428571429,0.692307692307692,0.428571428571429,0.692307692307692,0.428571428571429,0.692307692307692,0.725274725274725,0.696629213483146,0.709677419354839,0.71264367816092,0.717391304347826,0.704545454545454
6,0.722222222222222,0.65,0.833333333333333,0.571428571428571,0.454545454545455,0.888888888888889,0.588235294117647,0.695652173913043,0.76,0.695238095238095,0.640449438202247,0.802197802197802,0.695121951219512,0.744897959183674
7,0.777777777777778,0.35,0.111111111111111,0.545454545454545,0.166666666666667,0.428571428571429,0.133333333333333,0.48,0.754716981132076,0.810810810810811,0.851063829787234,0.697674418604651,0.8,0.75
8,0.722222222222222,0.6,0.875,0.416666666666667,0.5,0.833333333333333,0.636363636363636,0.555555555555556,0.725,0.72,0.674418604651163,0.765957446808511,0.698795180722892,0.742268041237113
9,0.733333333333333,0.7,0.714285714285714,0.692307692307692,0.555555555555556,0.818181818181818,0.625,0.75,0.736263736263736,0.730337078651685,0.736263736263736,0.730337078651685,0.736263736263736,0.730337078651685
mean,0.7255555555555556,0.55,0.5778385503385504,0.5389593739593737,0.47044067044067067,0.6343822843822843,0.502677829192838,0.5671881434848186,0.729790952170584,0.7244881453633704,0.7169582011772154,0.7325351428423797,0.721945421236039,0.7271671360601035
std,0.03022549001941213,0.1130388330520878,0.22532645295976136,0.1320310146715629,0.15754435054713942,0.20339180833465,0.15998794455149332,0.13439471171702946,0.027810009504746536,0.04269114750571636,0.06514892646789139,0.048126297730269815,0.03770481987713135,0.03061067377906445
min,0.677777777777778,0.35,0.111111111111111,0.333333333333333,0.166666666666667,0.333333333333333,0.133333333333333,0.333333333333333,0.67741935483871,0.67816091954023,0.629213483146067,0.662921348314607,0.674698795180723,0.670454545454545
25%,0.7069444444444448,0.5,0.45629370629370675,0.42916666666666703,0.4350649350649355,0.46428571428571447,0.4350649350649355,0.4729411764705885,0.7203125,0.6955858747993577,0.6788908765652952,0.699079989777664,0.696040258595357,0.7088214620431113
50%,0.722222222222222,0.575,0.6,0.558441558441558,0.4772727272727275,0.6643356643356639,0.5668449197860965,0.5694444444444445,0.726273726273726,0.7146511627906975,0.7174760723147819,0.7214903784063025,0.71545240893067,0.730882825040128
75%,0.7375,0.6375,0.7107142857142854,0.6620879120879117,0.5512820512820515,0.808080808080808,0.6209239130434783,0.6858974358974357,0.750103669914991,0.7540128410914927,0.7361058481748135,0.7684124386252045,0.7435253935253935,0.7442404796970337
max,0.777777777777778,0.7,0.875,0.7,0.666666666666667,0.888888888888889,0.636363636363636,0.75,0.771084337349398,0.810810810810811,0.851063829787234,0.802197802197802,0.8,0.778947368421053
