,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.822222222222222,0.5,0.461538461538462,0.571428571428571,0.666666666666667,0.363636363636364,0.545454545454546,0.444444444444444,0.839080459770115,0.806451612903226,0.802197802197802,0.842696629213483,0.820224719101124,0.824175824175824
1,0.844444444444444,0.4,0.357142857142857,0.5,0.625,0.25,0.454545454545455,0.333333333333333,0.847826086956522,0.840909090909091,0.847826086956522,0.840909090909091,0.847826086956522,0.840909090909091
2,0.827777777777778,0.55,0.666666666666667,0.454545454545455,0.5,0.625,0.571428571428572,0.526315789473684,0.827586206896552,0.827956989247312,0.818181818181818,0.83695652173913,0.822857142857143,0.832432432432432
3,0.827777777777778,0.55,0.6,0.5,0.545454545454545,0.555555555555556,0.571428571428571,0.526315789473684,0.815217391304348,0.840909090909091,0.842696629213483,0.813186813186813,0.828729281767956,0.8268156424581
4,0.761111111111111,0.6,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.772727272727273,0.75,0.747252747252747,0.775280898876405,0.759776536312849,0.762430939226519
5,0.794444444444444,0.45,0.5,0.416666666666667,0.363636363636364,0.555555555555556,0.421052631578947,0.476190476190476,0.802325581395349,0.787234042553192,0.775280898876405,0.813186813186813,0.788571428571429,0.8
6,0.861111111111111,0.65,0.75,0.583333333333333,0.545454545454545,0.777777777777778,0.631578947368421,0.666666666666667,0.872093023255814,0.851063829787234,0.842696629213483,0.879120879120879,0.857142857142857,0.864864864864865
7,0.822222222222222,0.5,0.571428571428571,0.461538461538462,0.363636363636364,0.666666666666667,0.444444444444444,0.545454545454546,0.813186813186813,0.831460674157303,0.831460674157303,0.813186813186813,0.822222222222222,0.822222222222222
8,0.827777777777778,0.6,0.545454545454545,0.666666666666667,0.666666666666667,0.545454545454545,0.6,0.6,0.8125,0.845238095238095,0.857142857142857,0.797752808988764,0.834224598930481,0.820809248554913
9,0.811111111111111,0.5,0.466666666666667,0.6,0.777777777777778,0.272727272727273,0.583333333333333,0.375,0.820224719101124,0.802197802197802,0.802197802197802,0.820224719101124,0.811111111111111,0.811111111111111
mean,0.82,0.53,0.5474453324453326,0.539054279054279,0.5609848484848486,0.5248737373737375,0.5378822055137845,0.513008468140047,0.8222767554593912,0.8183421227902347,0.8166933945390223,0.8232501987509314,0.8192685984973694,0.8205771375955078
std,0.027241741553234552,0.07527726527090811,0.11106570760812144,0.08410098911039415,0.1314695848806399,0.17447004642976058,0.07199435812272933,0.10810892905625438,0.02693704943240789,0.031828644167898754,0.0351745972552567,0.028408792993504045,0.028154056560223496,0.026799613240669286
min,0.761111111111111,0.4,0.357142857142857,0.416666666666667,0.363636363636364,0.25,0.421052631578947,0.333333333333333,0.772727272727273,0.75,0.747252747252747,0.775280898876405,0.759776536312849,0.762430939226519
25%,0.8138888888888888,0.5,0.47500000000000026,0.4711538461538465,0.5113636363636362,0.4090909090909092,0.47727272727272774,0.452380952380952,0.8126717032967032,0.803261254874158,0.802197802197802,0.813186813186813,0.8133895131086143,0.8135356454720615
50%,0.825,0.525,0.5505050505050505,0.5357142857142855,0.5505050505050505,0.555555555555556,0.5634920634920635,0.526315789473684,0.8177210552027361,0.8297088317023075,0.8248212461695605,0.8167057661439685,0.8225396825396825,0.8231990231990229
75%,0.827777777777778,0.5875,0.5928571428571427,0.5958333333333332,0.6562500000000002,0.6335227272727271,0.5803571428571428,0.5863636363636364,0.8362068965517243,0.840909090909091,0.842696629213483,0.8399209486166008,0.8328507696398497,0.831028234938849
max,0.861111111111111,0.65,0.75,0.666666666666667,0.777777777777778,0.777777777777778,0.631578947368421,0.666666666666667,0.872093023255814,0.851063829787234,0.857142857142857,0.879120879120879,0.857142857142857,0.864864864864865
