,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.816666666666667,0.5,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.822222222222222,0.811111111111111,0.813186813186813,0.820224719101124,0.81767955801105,0.815642458100559
1,0.838888888888889,0.45,0.4,0.5,0.444444444444444,0.454545454545455,0.421052631578947,0.476190476190476,0.844444444444444,0.833333333333333,0.835164835164835,0.842696629213483,0.839779005524862,0.837988826815642
2,0.788888888888889,0.35,0.333333333333333,0.375,0.444444444444444,0.272727272727273,0.380952380952381,0.315789473684211,0.804597701149425,0.774193548387097,0.769230769230769,0.808988764044944,0.786516853932584,0.791208791208791
3,0.8,0.55,0.6,0.5,0.545454545454545,0.555555555555556,0.571428571428571,0.526315789473684,0.797752808988764,0.802197802197802,0.797752808988764,0.802197802197802,0.797752808988764,0.802197802197802
4,0.866666666666667,0.4,0.363636363636364,0.444444444444444,0.444444444444444,0.363636363636364,0.4,0.4,0.894117647058824,0.842105263157895,0.835164835164835,0.898876404494382,0.863636363636364,0.869565217391304
5,0.838888888888889,0.55,0.666666666666667,0.375,0.615384615384615,0.428571428571429,0.64,0.4,0.8625,0.82,0.793103448275862,0.881720430107527,0.826347305389222,0.849740932642487
6,0.8,0.55,0.444444444444444,0.636363636363636,0.5,0.583333333333333,0.470588235294118,0.608695652173913,0.825581395348837,0.776595744680851,0.771739130434783,0.829545454545455,0.797752808988764,0.802197802197802
7,0.783333333333333,0.4,0.466666666666667,0.2,0.636363636363636,0.111111111111111,0.538461538461539,0.142857142857143,0.784090909090909,0.782608695652174,0.775280898876405,0.791208791208791,0.779661016949153,0.786885245901639
8,0.794444444444444,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.804597701149425,0.78494623655914,0.777777777777778,0.811111111111111,0.790960451977401,0.797814207650273
9,0.794444444444444,0.45,0.5,0.375,0.545454545454545,0.333333333333333,0.521739130434783,0.352941176470588,0.802325581395349,0.787234042553192,0.775280898876405,0.813186813186813,0.788571428571429,0.8
mean,0.8122222222222222,0.485,0.48858585858585857,0.45876262626262604,0.5220435120435116,0.4348268398268399,0.5020245879963204,0.4434910922971226,0.8242230410848199,0.8014325777632594,0.7943682215977248,0.8299756919211433,0.8088657601969592,0.8153241284106301
std,0.027317168762349506,0.0914391114956347,0.11921479169535942,0.1342520052292351,0.0771199620900592,0.17193345221417694,0.09326333363830361,0.15423514586330106,0.033872642133476606,0.02426131734293586,0.02548154825160213,0.03501521683831482,0.027224541949205348,0.027722330906317323
min,0.783333333333333,0.35,0.333333333333333,0.2,0.444444444444444,0.111111111111111,0.380952380952381,0.142857142857143,0.784090909090909,0.774193548387097,0.769230769230769,0.791208791208791,0.779661016949153,0.786885245901639
25%,0.794444444444444,0.41250000000000003,0.411111111111111,0.375,0.444444444444444,0.3409090909090907,0.4269005847953212,0.364705882352941,0.802893611333868,0.7831930808789155,0.775280898876405,0.8095193508114857,0.789168684422922,0.7983606557377048
50%,0.8,0.475,0.4555555555555555,0.472222222222222,0.5227272727272725,0.441558441558442,0.4961636828644505,0.438095238095238,0.8134099616858235,0.7947159223754969,0.78544061302682,0.8167057661439685,0.797752808988764,0.802197802197802
75%,0.8333333333333335,0.55,0.575,0.5340909090909087,0.5863636363636362,0.5530303030303032,0.563186813186813,0.5406698564593297,0.8397286821705423,0.8177777777777777,0.8093283121373007,0.8394088355464759,0.8241803685446789,0.8324022346368712
max,0.866666666666667,0.65,0.666666666666667,0.636363636363636,0.636363636363636,0.7,0.64,0.666666666666667,0.894117647058824,0.842105263157895,0.835164835164835,0.898876404494382,0.863636363636364,0.869565217391304
