,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.611111111111111,0.55,0.583333333333333,0.5,0.636363636363636,0.444444444444444,0.608695652173913,0.470588235294118,0.587155963302752,0.647887323943662,0.719101123595506,0.505494505494505,0.646464646464646,0.567901234567901
1,0.611111111111111,0.55,0.6,0.4,0.75,0.25,0.666666666666667,0.307692307692308,0.578947368421053,0.666666666666667,0.75,0.478260869565217,0.653465346534653,0.556962025316456
2,0.605555555555556,0.45,0.363636363636364,0.555555555555556,0.5,0.416666666666667,0.421052631578947,0.476190476190476,0.588235294117647,0.639344262295082,0.760869565217391,0.443181818181818,0.663507109004739,0.523489932885906
3,0.644444444444444,0.35,0.5,0.125,0.461538461538462,0.142857142857143,0.48,0.133333333333333,0.60952380952381,0.693333333333333,0.735632183908046,0.559139784946237,0.666666666666667,0.619047619047619
4,0.594444444444444,0.45,0.5,0.25,0.727272727272727,0.111111111111111,0.592592592592593,0.153846153846154,0.574074074074074,0.625,0.696629213483146,0.494505494505495,0.629441624365482,0.552147239263804
5,0.588888888888889,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.564516129032258,0.642857142857143,0.777777777777778,0.4,0.654205607476636,0.493150684931507
6,0.616666666666667,0.35,0.384615384615385,0.285714285714286,0.5,0.2,0.434782608695652,0.235294117647059,0.585365853658537,0.684210526315789,0.8,0.433333333333333,0.676056338028169,0.530612244897959
7,0.611111111111111,0.6,0.466666666666667,1.0,1.0,0.384615384615385,0.636363636363636,0.555555555555556,0.590551181102362,0.660377358490566,0.806451612903226,0.402298850574713,0.681818181818182,0.5
8,0.611111111111111,0.4,0.307692307692308,0.571428571428571,0.571428571428571,0.307692307692308,0.4,0.4,0.587786259541985,0.673469387755102,0.827956989247312,0.379310344827586,0.6875,0.485294117647059
9,0.605555555555556,0.45,0.5,0.416666666666667,0.363636363636364,0.555555555555556,0.421052631578947,0.476190476190476,0.595744680851064,0.616279069767442,0.629213483146067,0.582417582417582,0.612021857923497,0.598870056497175
mean,0.61,0.4700000000000001,0.47392773892773904,0.470436507936508,0.631023976023976,0.31129426129426135,0.5301206419650355,0.36086906557494797,0.5861900613625541,0.6549425071424786,0.7503631949278472,0.46779425838464866,0.6571147378282671,0.5427475155055386
std,0.014768445953612425,0.08881941729649487,0.09502042938403922,0.24162327696250957,0.19039476038321937,0.14087037857682255,0.10770696019525842,0.14637450889523693,0.012166119277338147,0.025102596852677996,0.058926987084825994,0.06850409622192435,0.023472879961617968,0.04472231605249849
min,0.588888888888889,0.35,0.307692307692308,0.125,0.363636363636364,0.111111111111111,0.4,0.133333333333333,0.564516129032258,0.616279069767442,0.629213483146067,0.379310344827586,0.612021857923497,0.485294117647059
25%,0.605555555555556,0.41250000000000003,0.4051282051282055,0.3142857142857145,0.5,0.21250000000000002,0.42448512585812326,0.25339366515837125,0.580551989730424,0.6402224824355973,0.723233888673641,0.410057471264368,0.6482148214821477,0.5058724832214765
50%,0.611111111111111,0.45,0.5,0.4583333333333335,0.6038961038961035,0.303846153846154,0.5362962962962965,0.4,0.5874711114223685,0.654132341217114,0.7554347826086956,0.4607213438735175,0.6588563582406874,0.5413797420808815
75%,0.611111111111111,0.55,0.5249999999999997,0.5674603174603172,0.7443181818181818,0.40865384615384653,0.6294466403162052,0.4747899159663865,0.5899722093561832,0.6717687074829932,0.7944444444444445,0.5027472527472525,0.6737089201877935,0.5651664322550397
max,0.644444444444444,0.6,0.6,1.0,1.0,0.555555555555556,0.666666666666667,0.555555555555556,0.60952380952381,0.693333333333333,0.827956989247312,0.582417582417582,0.6875,0.619047619047619
