,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.827777777777778,0.6,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.829545454545455,0.826086956521739,0.820224719101124,0.835164835164835,0.824858757062147,0.830601092896175
1,0.8,0.45,0.555555555555556,0.363636363636364,0.416666666666667,0.5,0.476190476190476,0.421052631578947,0.782608695652174,0.818181818181818,0.818181818181818,0.782608695652174,0.8,0.8
2,0.816666666666667,0.6,0.375,0.75,0.5,0.642857142857143,0.428571428571429,0.692307692307692,0.835164835164835,0.797752808988764,0.808510638297872,0.825581395348837,0.821621621621622,0.811428571428571
3,0.822222222222222,0.35,0.25,0.5,0.428571428571429,0.307692307692308,0.315789473684211,0.380952380952381,0.814432989690722,0.831325301204819,0.849462365591398,0.793103448275862,0.831578947368421,0.811764705882353
4,0.805555555555556,0.5,0.75,0.333333333333333,0.428571428571429,0.666666666666667,0.545454545454545,0.444444444444444,0.786516853932584,0.824175824175824,0.813953488372093,0.797872340425532,0.8,0.810810810810811
5,0.822222222222222,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.802083333333333,0.845238095238095,0.855555555555556,0.788888888888889,0.827956989247312,0.816091954022988
6,0.788888888888889,0.55,0.5,0.666666666666667,0.777777777777778,0.363636363636364,0.608695652173913,0.470588235294118,0.804597701149425,0.774193548387097,0.769230769230769,0.808988764044944,0.786516853932584,0.791208791208791
7,0.833333333333333,0.35,0.5,0.25,0.307692307692308,0.428571428571429,0.380952380952381,0.315789473684211,0.835294117647059,0.831578947368421,0.816091954022989,0.849462365591398,0.825581395348837,0.840425531914894
8,0.811111111111111,0.4,0.333333333333333,0.5,0.5,0.333333333333333,0.4,0.4,0.802083333333333,0.821428571428571,0.83695652173913,0.784090909090909,0.819148936170213,0.802325581395349
9,0.855555555555556,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.880952380952381,0.833333333333333,0.822222222222222,0.888888888888889,0.850574712643678,0.860215053763441
mean,0.8183333333333334,0.49000000000000005,0.5025252525252525,0.5002525252525253,0.47956432456432474,0.5198312798312801,0.47225731489461475,0.49003873835143175,0.81732796954013,0.8203295204828482,0.8210390052314971,0.815465053137227,0.8187838213394814,0.8174872093323373
std,0.018711952709732048,0.09944289260117531,0.15116049963532704,0.15245430039682528,0.14364699843797613,0.15484640154245807,0.10917139616097865,0.12152087106862641,0.02911330404661552,0.020355156395671935,0.023987507708838174,0.03441407267575523,0.01854916104443049,0.020725768071399638
min,0.788888888888889,0.35,0.25,0.25,0.3,0.307692307692308,0.315789473684211,0.315789473684211,0.782608695652174,0.774193548387097,0.769230769230769,0.782608695652174,0.786516853932584,0.791208791208791
25%,0.8069444444444448,0.41250000000000003,0.40625,0.397727272727273,0.41964285714285754,0.37987012987013025,0.38571428571428573,0.40526315789473677,0.802083333333333,0.8189935064935062,0.814488104784817,0.7899425287356322,0.8047872340425533,0.8044468887492146
50%,0.8194444444444444,0.5,0.5,0.5,0.4642857142857145,0.527777777777778,0.4523809523809525,0.457516339869281,0.8095153454200734,0.8251313903487816,0.819203268641471,0.8034305522352381,0.8232401893418845,0.811596638655462
75%,0.826388888888889,0.5875,0.6076388888888891,0.5763888888888888,0.5,0.660714285714286,0.5530303030303032,0.5763888888888888,0.83375999000999,0.8315155358275205,0.833272946859903,0.8327689752108355,0.8273630907726932,0.8269738081778782
max,0.855555555555556,0.6,0.75,0.75,0.777777777777778,0.7,0.636363636363636,0.692307692307692,0.880952380952381,0.845238095238095,0.855555555555556,0.888888888888889,0.850574712643678,0.860215053763441
