,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.75,0.45,0.3,0.6,0.428571428571429,0.461538461538462,0.352941176470588,0.521739130434783,0.744897959183674,0.75609756097561,0.78494623655914,0.71264367816092,0.764397905759162,0.733727810650888
1,0.766666666666667,0.35,0.25,0.5,0.428571428571429,0.307692307692308,0.315789473684211,0.380952380952381,0.752475247524752,0.784810126582278,0.817204301075269,0.71264367816092,0.783505154639175,0.746987951807229
2,0.772222222222222,0.55,0.5,0.625,0.666666666666667,0.454545454545455,0.571428571428572,0.526315789473684,0.740384615384615,0.815789473684211,0.846153846153846,0.696629213483146,0.78974358974359,0.751515151515151
3,0.75,0.35,0.416666666666667,0.25,0.454545454545455,0.222222222222222,0.434782608695652,0.235294117647059,0.739130434782609,0.761363636363636,0.764044943820225,0.736263736263736,0.751381215469613,0.748603351955307
4,0.822222222222222,0.45,0.333333333333333,0.625,0.571428571428571,0.384615384615385,0.421052631578947,0.476190476190476,0.827956989247312,0.816091954022989,0.827956989247312,0.816091954022989,0.827956989247312,0.816091954022989
5,0.766666666666667,0.4,0.571428571428571,0.307692307692308,0.307692307692308,0.571428571428571,0.4,0.4,0.747252747252747,0.786516853932584,0.781609195402299,0.752688172043011,0.764044943820225,0.769230769230769
6,0.772222222222222,0.45,0.555555555555556,0.363636363636364,0.416666666666667,0.5,0.476190476190476,0.421052631578947,0.758241758241758,0.786516853932584,0.784090909090909,0.760869565217391,0.770949720670391,0.773480662983426
7,0.783333333333333,0.5,0.454545454545455,0.555555555555556,0.555555555555556,0.454545454545455,0.5,0.5,0.76530612244898,0.804878048780488,0.824175824175824,0.741573033707865,0.793650793650794,0.771929824561404
8,0.772222222222222,0.55,0.833333333333333,0.428571428571429,0.384615384615385,0.857142857142857,0.526315789473684,0.571428571428571,0.755555555555556,0.788888888888889,0.781609195402299,0.763440860215054,0.768361581920904,0.775956284153005
9,0.788888888888889,0.7,0.875,0.583333333333333,0.583333333333333,0.875,0.7,0.7,0.8125,0.77,0.738636363636364,0.83695652173913,0.773809523809524,0.802083333333333
mean,0.7744444444444445,0.4750000000000001,0.5089862914862915,0.483878898878899,0.47976467976467996,0.5088730713730715,0.46985007275221297,0.47329730977059004,0.7643701429622002,0.7870953397163267,0.7950427804563487,0.7529800413014162,0.778780141873069,0.7689607094213501
std,0.020819954551933525,0.10606601717798213,0.21039787051585532,0.13818719021004064,0.10970997154574713,0.2122782818298467,0.11220867691645195,0.12480114622289412,0.030735264551775828,0.020829262270739193,0.032932437983855756,0.04477838783841824,0.02147677405371775,0.02547252939095278
min,0.75,0.35,0.25,0.25,0.307692307692308,0.222222222222222,0.315789473684211,0.235294117647059,0.739130434782609,0.75609756097561,0.738636363636364,0.696629213483146,0.751381215469613,0.733727810650888
25%,0.766666666666667,0.41250000000000003,0.3541666666666665,0.37987012987013025,0.41964285714285754,0.4020979020979025,0.40526315789473677,0.40526315789473677,0.7454866562009422,0.7737025316455695,0.781609195402299,0.718548692686624,0.7653888247995975,0.7493313018452681
50%,0.772222222222222,0.45,0.4772727272727275,0.527777777777778,0.441558441558442,0.45804195804195846,0.45548654244306397,0.488095238095238,0.754015401540154,0.786516853932584,0.7845185728250245,0.747130602875438,0.7723796222399575,0.7705802968960865
75%,0.7805555555555552,0.5375000000000001,0.5674603174603172,0.5958333333333332,0.5674603174603172,0.5535714285714282,0.5197368421052629,0.5251716247139587,0.7635400313971745,0.8008807588075882,0.8224329434006853,0.7627980364656383,0.7881839809674863,0.7753373788606103
max,0.822222222222222,0.7,0.875,0.625,0.666666666666667,0.875,0.7,0.7,0.827956989247312,0.816091954022989,0.846153846153846,0.83695652173913,0.827956989247312,0.816091954022989
