,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.855555555555556,0.5,0.636363636363636,0.333333333333333,0.538461538461538,0.428571428571429,0.583333333333333,0.375,0.850574712643678,0.860215053763441,0.850574712643678,0.860215053763441,0.850574712643678,0.860215053763441
1,0.916666666666667,0.4,0.571428571428571,0.307692307692308,0.307692307692308,0.571428571428571,0.4,0.4,0.918604651162791,0.914893617021277,0.908045977011494,0.924731182795699,0.913294797687861,0.919786096256685
2,0.833333333333333,0.35,0.5,0.2,0.384615384615385,0.285714285714286,0.434782608695652,0.235294117647059,0.835294117647059,0.831578947368421,0.816091954022989,0.849462365591398,0.825581395348837,0.840425531914894
3,0.816666666666667,0.65,0.6,0.7,0.666666666666667,0.636363636363636,0.631578947368421,0.666666666666667,0.837209302325581,0.797872340425532,0.791208791208791,0.842696629213483,0.813559322033898,0.819672131147541
4,0.866666666666667,0.5,0.285714285714286,0.615384615384615,0.285714285714286,0.615384615384615,0.285714285714286,0.615384615384615,0.863157894736842,0.870588235294118,0.881720430107527,0.850574712643678,0.872340425531915,0.86046511627907
5,0.855555555555556,0.4,0.333333333333333,0.6,0.714285714285714,0.230769230769231,0.454545454545454,0.333333333333333,0.876404494382023,0.835164835164835,0.838709677419355,0.873563218390805,0.857142857142857,0.853932584269663
6,0.85,0.65,0.777777777777778,0.545454545454545,0.583333333333333,0.75,0.666666666666667,0.631578947368421,0.886075949367089,0.821782178217822,0.795454545454545,0.902173913043478,0.838323353293413,0.860103626943005
7,0.872222222222222,0.4,0.3,0.5,0.375,0.416666666666667,0.333333333333333,0.454545454545455,0.879120879120879,0.865168539325843,0.869565217391304,0.875,0.87431693989071,0.870056497175141
8,0.877777777777778,0.45,0.307692307692308,0.714285714285714,0.666666666666667,0.357142857142857,0.421052631578947,0.476190476190476,0.891304347826087,0.863636363636364,0.872340425531915,0.883720930232558,0.881720430107527,0.873563218390805
9,0.855555555555556,0.6,0.75,0.5,0.5,0.75,0.6,0.6,0.86046511627907,0.851063829787234,0.840909090909091,0.869565217391304,0.850574712643678,0.860215053763441
mean,0.8600000000000001,0.48999999999999994,0.5062309912309912,0.5016150516150515,0.5022435897435897,0.5042041292041292,0.4811007261236093,0.47879936111360266,0.8698211465491099,0.8511963940004886,0.846462082170069,0.8731703223065844,0.8577428946324375,0.8618434909903687
std,0.02681031269756131,0.11005049346146119,0.18963348189307494,0.17192764463193633,0.1569453357324333,0.18639628261554678,0.13111134878356284,0.14530226227513282,0.025805705489750412,0.03199863380222382,0.03789467799573782,0.02537859673090434,0.029088977381126487,0.02554324579659542
min,0.816666666666667,0.35,0.285714285714286,0.2,0.285714285714286,0.230769230769231,0.285714285714286,0.235294117647059,0.835294117647059,0.797872340425532,0.791208791208791,0.842696629213483,0.813559322033898,0.819672131147541
25%,0.851388888888889,0.4,0.3141025641025642,0.3749999999999997,0.37740384615384626,0.3720238095238095,0.40526315789473677,0.38125,0.853047313552526,0.8324754193175244,0.8217463848720805,0.8529847979236187,0.8413861931309793,0.8554753449379985
50%,0.855555555555556,0.475,0.5357142857142855,0.5227272727272725,0.5192307692307689,0.5,0.444664031620553,0.4653679653679655,0.8697811945594325,0.8556394417753375,0.8457419017763845,0.8715642178910545,0.8538587848932675,0.860215053763441
75%,0.8708333333333332,0.575,0.627272727272727,0.6115384615384613,0.6458333333333335,0.6311188811188808,0.5958333333333332,0.6115384615384613,0.8843371818055366,0.8647854954034733,0.8716466234967623,0.8815406976744186,0.8738228113010112,0.8676586519511232
max,0.916666666666667,0.65,0.777777777777778,0.714285714285714,0.714285714285714,0.75,0.666666666666667,0.666666666666667,0.918604651162791,0.914893617021277,0.908045977011494,0.924731182795699,0.913294797687861,0.919786096256685
