,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.583333333333333,0.55,0.6,0.533333333333333,0.3,0.8,0.4,0.64,0.682926829268293,0.553956834532374,0.311111111111111,0.855555555555556,0.427480916030534,0.672489082969432
1,0.544444444444444,0.65,0.6,0.8,0.9,0.4,0.72,0.533333333333333,0.543478260869565,0.545454545454545,0.555555555555556,0.533333333333333,0.549450549450549,0.539325842696629
2,0.505555555555556,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.507246376811594,0.504504504504504,0.388888888888889,0.622222222222222,0.440251572327044,0.557213930348259
3,0.538888888888889,0.3,0.166666666666667,0.357142857142857,0.1,0.5,0.125,0.416666666666667,0.606060606060606,0.523809523809524,0.222222222222222,0.855555555555556,0.32520325203252,0.649789029535865
4,0.488888888888889,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.488372093023256,0.48936170212766,0.466666666666667,0.511111111111111,0.477272727272727,0.5
5,0.572222222222222,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.561904761904762,0.586666666666667,0.655555555555556,0.488888888888889,0.605128205128205,0.533333333333333
6,0.544444444444444,0.65,0.8,0.6,0.4,0.9,0.533333333333333,0.72,0.552631578947368,0.538461538461538,0.466666666666667,0.622222222222222,0.506024096385542,0.577319587628866
7,0.511111111111111,0.45,0.473684210526316,0.0,0.9,0.0,0.620689655172414,0.0,0.505681818181818,0.75,0.988888888888889,0.0333333333333333,0.669172932330827,0.0638297872340426
8,0.527777777777778,0.55,1.0,0.526315789473684,0.1,1.0,0.181818181818182,0.689655172413793,0.608695652173913,0.515923566878981,0.155555555555556,0.9,0.247787610619469,0.65587044534413
9,0.522222222222222,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.522727272727273,0.521739130434783,0.511111111111111,0.533333333333333,0.51685393258427,0.527472527472527
mean,0.5338888888888886,0.51,0.5594896331738438,0.4761236424394317,0.45,0.5700000000000001,0.44488445120114806,0.5013781397066331,0.5579725249968448,0.5529878012870576,0.47222222222222243,0.5955555555555556,0.47646257941616865,0.5276643566563084
std,0.029215860923348557,0.10488088481701517,0.2222742106657654,0.2037781042120965,0.2758824226207808,0.28693785622209794,0.18139675886409998,0.20438889516795686,0.059765148966373485,0.07439929288456062,0.2368199237160199,0.25202608352392036,0.1249032665808445,0.17376236847889853
min,0.488888888888889,0.3,0.166666666666667,0.0,0.1,0.0,0.125,0.0,0.488372093023256,0.48936170212766,0.155555555555556,0.0333333333333333,0.247787610619469,0.0638297872340426
25%,0.5138888888888887,0.45,0.45933014354067025,0.44696969696969674,0.325,0.42500000000000004,0.40526315789473677,0.43483709273182924,0.5111166007905138,0.5173774577679315,0.3305555555555555,0.5166666666666665,0.4306735801046615,0.5289377289377285
50%,0.5333333333333334,0.525,0.527777777777778,0.513157894736842,0.4,0.55,0.46031746031746,0.539393939393939,0.5480549199084666,0.531135531135531,0.466666666666667,0.5777777777777775,0.49164841182913455,0.548269886522444
75%,0.544444444444444,0.55,0.6,0.542424242424242,0.5,0.75,0.5315789473684207,0.6228571428571428,0.595021645021645,0.5518312622629167,0.5444444444444447,0.7972222222222225,0.5413013952339794,0.6316716690591153
max,0.583333333333333,0.65,1.0,0.8,0.9,1.0,0.72,0.72,0.682926829268293,0.75,0.988888888888889,0.9,0.669172932330827,0.672489082969432
