,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.827777777777778,0.55,0.636363636363636,0.444444444444444,0.583333333333333,0.5,0.608695652173913,0.470588235294118,0.835294117647059,0.821052631578947,0.806818181818182,0.847826086956522,0.820809248554913,0.834224598930481
1,0.794444444444444,0.5,0.6,0.4,0.5,0.5,0.545454545454545,0.444444444444444,0.786516853932584,0.802197802197802,0.795454545454545,0.793478260869565,0.790960451977401,0.797814207650273
2,0.816666666666667,0.5,0.6,0.4,0.5,0.5,0.545454545454545,0.444444444444444,0.795698924731183,0.839080459770115,0.840909090909091,0.793478260869565,0.81767955801105,0.815642458100559
3,0.822222222222222,0.4,0.333333333333333,0.5,0.5,0.333333333333333,0.4,0.4,0.840909090909091,0.804347826086957,0.804347826086957,0.840909090909091,0.822222222222222,0.822222222222222
4,0.772222222222222,0.6,0.545454545454545,0.666666666666667,0.666666666666667,0.545454545454545,0.6,0.6,0.777777777777778,0.766666666666667,0.769230769230769,0.775280898876405,0.773480662983426,0.770949720670391
5,0.811111111111111,0.65,0.538461538461538,0.857142857142857,0.875,0.5,0.666666666666667,0.631578947368421,0.822222222222222,0.8,0.804347826086957,0.818181818181818,0.813186813186813,0.808988764044944
6,0.8,0.5,0.571428571428571,0.333333333333333,0.666666666666667,0.25,0.615384615384615,0.285714285714286,0.825,0.78,0.75,0.847826086956522,0.785714285714286,0.8125
7,0.827777777777778,0.5,0.461538461538462,0.571428571428571,0.666666666666667,0.363636363636364,0.545454545454546,0.444444444444444,0.840909090909091,0.815217391304348,0.813186813186813,0.842696629213483,0.8268156424581,0.828729281767956
8,0.811111111111111,0.65,0.615384615384615,0.714285714285714,0.8,0.5,0.695652173913043,0.588235294117647,0.804347826086957,0.818181818181818,0.822222222222222,0.8,0.813186813186813,0.808988764044944
9,0.733333333333333,0.6,0.5,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.72,0.75,0.782608695652174,0.681818181818182,0.75,0.714285714285714
mean,0.8016666666666665,0.545,0.5401964701964699,0.5553968253968253,0.6258333333333334,0.46590909090909094,0.5722762744501874,0.49761167624944713,0.8048675904215965,0.7996744595786655,0.798912597064771,0.8041495314651155,0.8014055698295024,0.8014345731717484
std,0.029403068996149494,0.07975657409336932,0.0904652191025509,0.1680949133401143,0.1343968005571562,0.11883453096820652,0.085078822163852,0.11965779999756943,0.03739830685767914,0.027011167267516383,0.02621197233418959,0.05043440153377905,0.02533244637332613,0.035320924563008275
min,0.733333333333333,0.4,0.333333333333333,0.333333333333333,0.5,0.25,0.4,0.285714285714286,0.72,0.75,0.75,0.681818181818182,0.75,0.714285714285714
25%,0.795833333333333,0.5,0.5096153846153845,0.411111111111111,0.5,0.397727272727273,0.545454545454545,0.444444444444444,0.7888123716322337,0.785,0.7858201581027667,0.793478260869565,0.7870258272800648,0.8006078467489408
50%,0.811111111111111,0.525,0.558441558441558,0.5357142857142855,0.625,0.5,0.572727272727273,0.457516339869281,0.8132850241545895,0.8032728141423795,0.804347826086957,0.8090909090909091,0.813186813186813,0.810744382022472
75%,0.8208333333333332,0.6,0.6,0.666666666666667,0.666666666666667,0.5,0.6137123745819395,0.5970588235294118,0.8327205882352942,0.8174407114624505,0.8115946553446552,0.842249744637385,0.8200268259189473,0.8205772811918062
max,0.827777777777778,0.65,0.636363636363636,0.857142857142857,0.875,0.666666666666667,0.695652173913043,0.666666666666667,0.840909090909091,0.839080459770115,0.840909090909091,0.847826086956522,0.8268156424581,0.834224598930481
