,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.866666666666667,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667
1,0.844444444444444,0.5,0.454545454545455,0.555555555555556,0.555555555555556,0.454545454545455,0.5,0.5,0.838709677419355,0.850574712643678,0.857142857142857,0.831460674157303,0.847826086956522,0.840909090909091
2,0.827777777777778,0.2,0.25,0.125,0.3,0.1,0.272727272727273,0.111111111111111,0.831460674157303,0.824175824175824,0.822222222222222,0.833333333333333,0.8268156424581,0.828729281767956
3,0.844444444444444,0.55,0.333333333333333,0.642857142857143,0.285714285714286,0.692307692307692,0.307692307692308,0.666666666666667,0.835051546391753,0.855421686746988,0.870967741935484,0.816091954022989,0.852631578947368,0.835294117647059
4,0.861111111111111,0.5,0.714285714285714,0.384615384615385,0.384615384615385,0.714285714285714,0.5,0.5,0.878048780487805,0.846938775510204,0.827586206896552,0.89247311827957,0.85207100591716,0.869109947643979
5,0.844444444444444,0.35,0.625,0.166666666666667,0.333333333333333,0.4,0.434782608695652,0.235294117647059,0.860759493670886,0.831683168316832,0.8,0.884210526315789,0.829268292682927,0.857142857142857
6,0.877777777777778,0.4,0.428571428571429,0.384615384615385,0.272727272727273,0.555555555555556,0.333333333333333,0.454545454545455,0.876404494382023,0.879120879120879,0.876404494382023,0.879120879120879,0.876404494382023,0.879120879120879
7,0.838888888888889,0.5,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.852272727272727,0.826086956521739,0.824175824175824,0.853932584269663,0.837988826815642,0.839779005524862
8,0.866666666666667,0.4,0.454545454545455,0.333333333333333,0.454545454545455,0.333333333333333,0.454545454545455,0.333333333333333,0.873563218390805,0.860215053763441,0.853932584269663,0.879120879120879,0.863636363636364,0.869565217391304
9,0.866666666666667,0.55,0.3,0.8,0.6,0.533333333333333,0.4,0.64,0.873684210526316,0.858823529411765,0.873684210526316,0.858823529411765,0.873684210526316,0.858823529411765
mean,0.8538888888888889,0.445,0.45047258297258297,0.4438098013098014,0.3930935730935732,0.5028815628815628,0.40225254214384654,0.4569738562091502,0.858662148936564,0.8499707252878016,0.8472782808217607,0.8595234144698836,0.8526993168989089,0.8545140593226417
std,0.015940992012338947,0.1091634859587521,0.14126892664741375,0.20820087049029032,0.11671987416403615,0.19117331341777533,0.07880926854062587,0.17920302358663662,0.018083492413006157,0.01801641507260662,0.026685081813167602,0.025616315303688943,0.01756426549364281,0.017174654319280443
min,0.827777777777778,0.2,0.25,0.125,0.272727272727273,0.1,0.272727272727273,0.111111111111111,0.831460674157303,0.824175824175824,0.8,0.816091954022989,0.8268156424581,0.828729281767956
25%,0.844444444444444,0.4,0.357142857142857,0.346153846153846,0.3,0.41363636363636375,0.3437499999999997,0.3636363636363635,0.842100439882698,0.8354970701151749,0.8250284198560061,0.8384831460674156,0.840448141850862,0.8400615268709193
50%,0.8527777777777775,0.5,0.4494949494949495,0.4423076923076925,0.35897435897435903,0.539393939393939,0.417391304347826,0.5,0.8637130801687765,0.8529981996953331,0.85553772070626,0.862745098039216,0.852351292432264,0.857983193277311
75%,0.866666666666667,0.5,0.48863636363636376,0.5530303030303032,0.4520202020202022,0.658119658119658,0.4520202020202022,0.573863636363636,0.8736539624924382,0.859867172675522,0.8698924731182798,0.879120879120879,0.8659090909090913,0.868499127399651
max,0.877777777777778,0.55,0.714285714285714,0.8,0.6,0.714285714285714,0.5,0.666666666666667,0.878048780487805,0.879120879120879,0.876404494382023,0.89247311827957,0.876404494382023,0.879120879120879
