,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.772222222222222,0.55,0.461538461538462,0.714285714285714,0.75,0.416666666666667,0.571428571428571,0.526315789473684,0.762886597938144,0.783132530120482,0.804347826086957,0.738636363636364,0.783068783068783,0.760233918128655
1,0.761111111111111,0.35,0.222222222222222,0.454545454545455,0.25,0.416666666666667,0.235294117647059,0.434782608695652,0.775280898876405,0.747252747252747,0.75,0.772727272727273,0.762430939226519,0.759776536312849
2,0.738888888888889,0.4,0.461538461538462,0.285714285714286,0.545454545454545,0.222222222222222,0.5,0.25,0.71875,0.761904761904762,0.775280898876405,0.703296703296703,0.745945945945946,0.731428571428571
3,0.766666666666667,0.45,0.5,0.416666666666667,0.363636363636364,0.555555555555556,0.421052631578947,0.476190476190476,0.747368421052632,0.788235294117647,0.797752808988764,0.736263736263736,0.771739130434783,0.761363636363636
4,0.75,0.35,0.454545454545455,0.222222222222222,0.416666666666667,0.25,0.434782608695652,0.235294117647059,0.759036144578313,0.742268041237113,0.715909090909091,0.782608695652174,0.736842105263158,0.761904761904762
5,0.755555555555556,0.4,0.444444444444444,0.363636363636364,0.363636363636364,0.444444444444444,0.4,0.4,0.758620689655172,0.752688172043011,0.741573033707865,0.769230769230769,0.75,0.760869565217391
6,0.761111111111111,0.5,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.744897959183674,0.780487804878049,0.802197802197802,0.719101123595506,0.772486772486773,0.748538011695907
7,0.777777777777778,0.5,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.8,0.757894736842105,0.747252747252747,0.808988764044944,0.772727272727273,0.782608695652174
8,0.766666666666667,0.5,0.625,0.416666666666667,0.416666666666667,0.625,0.5,0.5,0.761363636363636,0.771739130434783,0.761363636363636,0.771739130434783,0.761363636363636,0.771739130434783
9,0.772222222222222,0.55,0.5,0.625,0.666666666666667,0.454545454545455,0.571428571428572,0.526315789473684,0.777777777777778,0.766666666666667,0.769230769230769,0.775280898876405,0.773480662983426,0.770949720670391
mean,0.7622222222222224,0.45499999999999996,0.45581779331779326,0.45896464646464646,0.46616161616161617,0.4476010101010101,0.4522875389667688,0.4439807872389645,0.7605982125425753,0.7652269885497367,0.7664908613614035,0.7577873457758656,0.7630085248500297,0.7609412547809119
std,0.011653431646334991,0.07619419633774976,0.09862880737473531,0.151461584217093,0.14931150968212914,0.13084725102420242,0.0967053549142118,0.11620152833063258,0.021726049547177204,0.0156331960205273,0.029093665294408766,0.03229790925998712,0.01460847715937061,0.013800359115739451
min,0.738888888888889,0.35,0.222222222222222,0.222222222222222,0.25,0.222222222222222,0.235294117647059,0.235294117647059,0.71875,0.742268041237113,0.715909090909091,0.703296703296703,0.736842105263158,0.731428571428571
25%,0.7569444444444448,0.4,0.444444444444444,0.3768939393939397,0.3768939393939397,0.416666666666667,0.42448512585812326,0.408695652173913,0.750181488203267,0.7539898132427845,0.7479395604395602,0.736856893106893,0.752840909090909,0.7598908817668005
50%,0.7638888888888891,0.475,0.45804195804195846,0.435606060606061,0.43055555555555547,0.4494949494949495,0.444444444444444,0.488095238095238,0.7601998904709746,0.7642857142857145,0.7652972027972025,0.770484949832776,0.767085034830651,0.7611166007905135
75%,0.7708333333333333,0.5,0.49038461538461553,0.545454545454545,0.5202020202020197,0.545454545454545,0.5,0.526315789473684,0.7721823236418397,0.7783006362672326,0.7921348314606742,0.774642492339122,0.7726671476671481,0.7686884809789838
max,0.777777777777778,0.55,0.625,0.714285714285714,0.75,0.625,0.571428571428572,0.545454545454545,0.8,0.788235294117647,0.804347826086957,0.808988764044944,0.783068783068783,0.782608695652174
