,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.944444444444444,0.75,0.5,0.857142857142857,0.6,0.8,0.545454545454545,0.827586206896552,0.929292929292929,0.962962962962963,0.968421052631579,0.917647058823529,0.948453608247423,0.939759036144578
1,0.916666666666667,0.75,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158,0.912087912087912,0.921348314606742,0.922222222222222,0.911111111111111,0.917127071823204,0.916201117318436
2,0.961111111111111,0.75,1.0,0.666666666666667,0.5,1.0,0.666666666666667,0.8,0.956043956043956,0.966292134831461,0.966666666666667,0.955555555555556,0.961325966850829,0.960893854748603
3,0.938888888888889,0.8,0.769230769230769,0.857142857142857,0.909090909090909,0.666666666666667,0.833333333333333,0.75,0.923913043478261,0.954545454545455,0.955056179775281,0.923076923076923,0.939226519337017,0.93854748603352
4,0.95,0.75,0.692307692307692,0.857142857142857,0.9,0.6,0.782608695652174,0.705882352941176,0.935483870967742,0.96551724137931,0.966666666666667,0.933333333333333,0.950819672131148,0.949152542372881
5,0.938888888888889,0.55,0.583333333333333,0.5,0.636363636363636,0.444444444444444,0.608695652173913,0.470588235294118,0.933333333333333,0.944444444444444,0.943820224719101,0.934065934065934,0.93854748603352,0.939226519337017
6,0.938888888888889,0.7,0.8,0.6,0.666666666666667,0.75,0.727272727272727,0.666666666666667,0.932584269662921,0.945054945054945,0.943181818181818,0.934782608695652,0.937853107344633,0.939890710382514
7,0.933333333333333,0.8,0.785714285714286,0.833333333333333,0.916666666666667,0.625,0.846153846153846,0.714285714285714,0.931818181818182,0.934782608695652,0.931818181818182,0.934782608695652,0.931818181818182,0.934782608695652
8,0.933333333333333,0.6,0.615384615384615,0.571428571428571,0.727272727272727,0.444444444444444,0.666666666666667,0.5,0.896907216494845,0.975903614457831,0.97752808988764,0.89010989010989,0.935483870967742,0.931034482758621
9,0.933333333333333,0.7,0.625,0.75,0.625,0.75,0.625,0.75,0.925531914893617,0.941860465116279,0.945652173913043,0.920454545454545,0.935483870967742,0.931034482758621
mean,0.9388888888888889,0.715,0.7098243423243422,0.727063492063492,0.7281060606060605,0.6780555555555555,0.7063756895278633,0.6921851281347384,0.9276996628073697,0.9512712186095083,0.95210332764822,0.9254919568922126,0.939613935552144,0.9380522840550443
std,0.011712139482105052,0.08181958472422385,0.14078096021755138,0.13363557014681982,0.14692910074887408,0.16584390540571434,0.10011128908777504,0.11832366687894812,0.015456139764679636,0.016745855691915904,0.01776318233067169,0.017521105871747565,0.011925957935975055,0.01173566874865849
min,0.916666666666667,0.55,0.5,0.5,0.5,0.444444444444444,0.545454545454545,0.470588235294118,0.896907216494845,0.921348314606742,0.922222222222222,0.89010989010989,0.917127071823204,0.916201117318436
25%,0.933333333333333,0.7,0.6177884615384612,0.6166666666666667,0.627840909090909,0.60625,0.6354166666666667,0.6764705882352942,0.9243177613321,0.9425064599483202,0.9433414198161387,0.9183489304812831,0.935483870967742,0.9319715142428787
50%,0.938888888888889,0.75,0.7097902097902095,0.7638888888888891,0.696969696969697,0.6833333333333335,0.696969696969697,0.725563909774436,0.9305555555555555,0.9498001998002,0.950354176844162,0.928205128205128,0.9382002966890766,0.9388870026852685
75%,0.9430555555555552,0.75,0.7815934065934068,0.851190476190476,0.875,0.75,0.777432712215321,0.75,0.93314606741573,0.9648786717752234,0.966666666666667,0.9346034400382225,0.9461468360198215,0.93985779182303
max,0.961111111111111,0.8,1.0,0.857142857142857,0.916666666666667,1.0,0.846153846153846,0.827586206896552,0.956043956043956,0.975903614457831,0.97752808988764,0.955555555555556,0.961325966850829,0.960893854748603
