,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.755555555555556,0.6,0.5,0.7,0.625,0.583333333333333,0.555555555555556,0.636363636363636,0.722222222222222,0.805555555555556,0.847826086956522,0.659090909090909,0.78,0.725
1,0.711111111111111,0.45,0.625,0.333333333333333,0.384615384615385,0.571428571428571,0.476190476190476,0.421052631578947,0.716049382716049,0.707070707070707,0.666666666666667,0.752688172043011,0.69047619047619,0.729166666666667
2,0.738888888888889,0.4,0.5,0.3,0.416666666666667,0.375,0.454545454545455,0.333333333333333,0.730337078651685,0.747252747252747,0.738636363636364,0.739130434782609,0.734463276836158,0.743169398907104
3,0.733333333333333,0.45,0.5,0.375,0.545454545454545,0.333333333333333,0.521739130434783,0.352941176470588,0.711340206185567,0.759036144578313,0.775280898876405,0.692307692307692,0.741935483870968,0.724137931034483
4,0.722222222222222,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.717391304347826,0.727272727272727,0.733333333333333,0.711111111111111,0.725274725274725,0.719101123595506
5,0.733333333333333,0.5,0.454545454545455,0.555555555555556,0.555555555555556,0.454545454545455,0.5,0.5,0.717171717171717,0.753086419753086,0.78021978021978,0.685393258426966,0.747368421052632,0.71764705882353
6,0.744444444444444,0.3,0.153846153846154,0.571428571428571,0.4,0.266666666666667,0.222222222222222,0.363636363636364,0.728971962616822,0.767123287671233,0.821052631578947,0.658823529411765,0.772277227722772,0.708860759493671
7,0.733333333333333,0.4,0.357142857142857,0.5,0.625,0.25,0.454545454545455,0.333333333333333,0.7,0.785714285714286,0.83695652173913,0.625,0.762376237623762,0.69620253164557
8,0.738888888888889,0.5,0.636363636363636,0.333333333333333,0.538461538461538,0.428571428571429,0.583333333333333,0.375,0.722222222222222,0.755555555555556,0.747126436781609,0.731182795698925,0.734463276836158,0.743169398907104
9,0.722222222222222,0.45,0.5,0.375,0.545454545454545,0.333333333333333,0.521739130434783,0.352941176470588,0.701030927835051,0.746987951807229,0.764044943820225,0.681318681318681,0.731182795698925,0.71264367816092
mean,0.7333333333333332,0.4600000000000001,0.4798326673326673,0.4582112332112331,0.5036208236208235,0.42962121212121207,0.47604589925561813,0.4277297303360702,0.7166737023969162,0.7554655382231441,0.7711143663608981,0.6936046584191669,0.741981763539229,0.7219098547234555
std,0.012559870339120987,0.08432740427115679,0.14045625386352614,0.13292031688552589,0.09432502400025738,0.14825200165285474,0.09886170189613457,0.1142320962704361,0.010283832378004521,0.027597364808615917,0.05460049142931612,0.04029010026142147,0.02575477608994883,0.014583776575810526
min,0.711111111111111,0.3,0.153846153846154,0.3,0.384615384615385,0.25,0.222222222222222,0.333333333333333,0.7,0.707070707070707,0.666666666666667,0.625,0.69047619047619,0.69620253164557
25%,0.7249999999999998,0.41250000000000003,0.4659090909090912,0.3437499999999997,0.4041666666666668,0.333333333333333,0.4585561497326207,0.352941176470588,0.7125175003181875,0.7470541506686085,0.7407588819226752,0.6646478521478519,0.7320029159832332,0.7138945233265725
50%,0.733333333333333,0.45,0.5,0.4375,0.5419580419580414,0.4017857142857145,0.488095238095238,0.369318181818182,0.7172815107597715,0.754320987654321,0.769662921348315,0.688850475367329,0.7381993803535629,0.7216195273149946
75%,0.738888888888889,0.5,0.5535714285714282,0.5512820512820515,0.5530303030303032,0.5422077922077919,0.521739130434783,0.4802631578947367,0.722222222222222,0.765101501898003,0.8108444187391552,0.7261648745519715,0.7586242834809795,0.7281250000000002
max,0.755555555555556,0.6,0.636363636363636,0.7,0.625,0.7,0.583333333333333,0.636363636363636,0.730337078651685,0.805555555555556,0.847826086956522,0.752688172043011,0.78,0.743169398907104
