,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.738888888888889,0.5,0.555555555555556,0.454545454545455,0.454545454545455,0.555555555555556,0.5,0.5,0.776315789473684,0.711538461538462,0.662921348314607,0.813186813186813,0.715151515151515,0.758974358974359
1,0.811111111111111,0.45,0.4,0.466666666666667,0.2,0.7,0.266666666666667,0.56,0.797872340425532,0.825581395348837,0.833333333333333,0.788888888888889,0.815217391304348,0.806818181818182
2,0.755555555555556,0.7,0.75,0.6875,0.375,0.916666666666667,0.5,0.785714285714286,0.772727272727273,0.739130434782609,0.739130434782609,0.772727272727273,0.755555555555556,0.755555555555556
3,0.777777777777778,0.45,0.357142857142857,0.666666666666667,0.714285714285714,0.307692307692308,0.476190476190476,0.421052631578947,0.778947368421053,0.776470588235294,0.795698924731183,0.758620689655172,0.787234042553191,0.767441860465116
4,0.755555555555556,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.761363636363636,0.75,0.744444444444444,0.766666666666667,0.752808988764045,0.758241758241758
5,0.788888888888889,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.776595744680851,0.802325581395349,0.811111111111111,0.766666666666667,0.793478260869565,0.784090909090909
6,0.794444444444444,0.5,0.454545454545455,0.555555555555556,0.555555555555556,0.454545454545455,0.5,0.5,0.8,0.788888888888889,0.791208791208791,0.797752808988764,0.795580110497237,0.793296089385475
7,0.738888888888889,0.45,0.428571428571429,0.461538461538462,0.3,0.6,0.352941176470588,0.521739130434783,0.752941176470588,0.726315789473684,0.711111111111111,0.766666666666667,0.731428571428571,0.745945945945946
8,0.733333333333333,0.6,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.5,0.717391304347826,0.75,0.75,0.717391304347826,0.733333333333333,0.733333333333333
9,0.805555555555556,0.65,0.8,0.5,0.615384615384615,0.714285714285714,0.695652173913043,0.588235294117647,0.795454545454545,0.815217391304348,0.804597701149425,0.806451612903226,0.8,0.810810810810811
mean,0.7700000000000002,0.53,0.5387481962481965,0.5309139471639474,0.47814380064380063,0.5848745698745699,0.4891450493240773,0.5431286796391117,0.7729609178364988,0.7685468530967472,0.7643557200186615,0.7755019390697964,0.767978776945736,0.7714508803621445
std,0.029186501192363757,0.10055402085998902,0.1603992553979977,0.09313352865475473,0.1773290587031035,0.16654239911285623,0.14114400235890828,0.10175607139421992,0.02481326360997129,0.038923545087336,0.05231279792674414,0.02780098124454249,0.03456245673260417,0.026118024376927906
min,0.733333333333333,0.4,0.357142857142857,0.416666666666667,0.2,0.307692307692308,0.266666666666667,0.421052631578947,0.717391304347826,0.711538461538462,0.662921348314607,0.717391304347826,0.715151515151515,0.733333333333333
25%,0.7430555555555558,0.45,0.40714285714285725,0.4628205128205133,0.31875,0.5,0.38375350140055997,0.5,0.7642045454545453,0.7418478260869568,0.7404589371980678,0.766666666666667,0.738202247191011,0.7562271062271064
50%,0.766666666666667,0.5,0.5050505050505055,0.5,0.5050505050505055,0.577777777777778,0.5,0.5108695652173916,0.7764557670772675,0.763235294117647,0.7706043956043955,0.76969696969697,0.7713947990543735,0.7632081097197375
75%,0.7930555555555552,0.6,0.6500000000000002,0.588888888888889,0.6115384615384613,0.6749999999999999,0.575,0.5811764705882352,0.791327751196172,0.798966408268734,0.8023730070448645,0.7955368289637952,0.795054648090319,0.7909947943118335
max,0.811111111111111,0.7,0.8,0.6875,0.714285714285714,0.916666666666667,0.695652173913043,0.785714285714286,0.8,0.825581395348837,0.833333333333333,0.813186813186813,0.815217391304348,0.810810810810811
