,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.772222222222222,0.55,0.5,0.625,0.666666666666667,0.454545454545455,0.571428571428572,0.526315789473684,0.755102040816326,0.792682926829268,0.813186813186813,0.730337078651685,0.783068783068783,0.760233918128655
1,0.755555555555556,0.45,0.375,0.5,0.333333333333333,0.545454545454545,0.352941176470588,0.521739130434783,0.752688172043011,0.758620689655172,0.769230769230769,0.741573033707865,0.760869565217391,0.75
2,0.755555555555556,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.73,0.7875,0.811111111111111,0.7,0.768421052631579,0.741176470588235
3,0.733333333333333,0.55,0.5,0.625,0.666666666666667,0.454545454545455,0.571428571428572,0.526315789473684,0.717171717171717,0.753086419753086,0.78021978021978,0.685393258426966,0.747368421052632,0.71764705882353
4,0.772222222222222,0.55,0.5,0.666666666666667,0.777777777777778,0.363636363636364,0.608695652173913,0.470588235294118,0.755102040816326,0.792682926829268,0.813186813186813,0.730337078651685,0.783068783068783,0.760233918128655
5,0.755555555555556,0.35,0.333333333333333,0.375,0.444444444444444,0.272727272727273,0.380952380952381,0.315789473684211,0.723809523809524,0.8,0.835164835164835,0.674157303370786,0.775510204081633,0.731707317073171
6,0.761111111111111,0.55,0.6,0.5,0.545454545454545,0.555555555555556,0.571428571428571,0.526315789473684,0.75,0.772727272727273,0.775280898876405,0.747252747252747,0.762430939226519,0.759776536312849
7,0.783333333333333,0.6,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.5,0.747474747474748,0.827160493827161,0.840909090909091,0.728260869565217,0.79144385026738,0.774566473988439
8,0.761111111111111,0.5,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.75,0.773809523809524,0.791208791208791,0.730337078651685,0.770053475935829,0.751445086705202
9,0.744444444444444,0.45,0.583333333333333,0.25,0.538461538461538,0.285714285714286,0.56,0.266666666666667,0.720430107526882,0.770114942528736,0.770114942528736,0.720430107526882,0.744444444444444,0.744444444444444
mean,0.7594444444444445,0.52,0.5139141414141413,0.5253787878787879,0.5783916083916083,0.4577633477633478,0.5394652701660375,0.48307643673237977,0.7401778349658534,0.7828385195959489,0.7999613845623144,0.7188078555805518,0.7686679518994973,0.749123122419318
std,0.01435633143949206,0.08563488385776753,0.1094787791524881,0.13356473358391094,0.1400545161418383,0.11531494837696588,0.11034612224224921,0.10970071995527866,0.015416193823600278,0.02183739946909385,0.026459159184892167,0.024225945396452436,0.015356757339550291,0.016306138993712496
min,0.733333333333333,0.35,0.333333333333333,0.25,0.333333333333333,0.272727272727273,0.352941176470588,0.266666666666667,0.717171717171717,0.753086419753086,0.769230769230769,0.674157303370786,0.744444444444444,0.71764705882353
25%,0.755555555555556,0.4625,0.458333333333333,0.5,0.4679487179487175,0.38636363636363674,0.473333333333333,0.4779411764705885,0.725357142857143,0.7707680250783703,0.7765156192122487,0.7051075268817204,0.761259908719673,0.7419934640522873
50%,0.7583333333333335,0.55,0.5,0.5227272727272725,0.606060606060606,0.4772727272727275,0.5714285714285714,0.5240274599542335,0.7487373737373739,0.7806547619047619,0.801159951159951,0.729298974108451,0.769237264283704,0.750722543352601
75%,0.7694444444444443,0.55,0.5958333333333332,0.625,0.666666666666667,0.545454545454545,0.5993788819875777,0.526315789473684,0.7520161290322582,0.792682926829268,0.813186813186813,0.730337078651685,0.7811791383219955,0.7601195726747035
max,0.783333333333333,0.65,0.666666666666667,0.666666666666667,0.777777777777778,0.6,0.666666666666667,0.631578947368421,0.755102040816326,0.827160493827161,0.840909090909091,0.747252747252747,0.79144385026738,0.774566473988439
