,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.916666666666667,0.85,0.909090909090909,0.777777777777778,0.833333333333333,0.875,0.869565217391304,0.823529411764706,0.919540229885057,0.913978494623656,0.909090909090909,0.923913043478261,0.914285714285714,0.918918918918919
1,0.916666666666667,0.8,0.571428571428571,0.923076923076923,0.8,0.8,0.666666666666667,0.857142857142857,0.934782608695652,0.897727272727273,0.905263157894737,0.929411764705882,0.919786096256685,0.913294797687861
2,0.933333333333333,0.8,0.846153846153846,0.714285714285714,0.846153846153846,0.714285714285714,0.846153846153846,0.714285714285714,0.931034482758621,0.935483870967742,0.931034482758621,0.935483870967742,0.931034482758621,0.935483870967742
3,0.933333333333333,0.7,0.875,0.583333333333333,0.583333333333333,0.875,0.7,0.7,0.963414634146341,0.908163265306122,0.897727272727273,0.967391304347826,0.929411764705882,0.936842105263158
4,0.916666666666667,0.75,0.666666666666667,0.875,0.888888888888889,0.636363636363636,0.761904761904762,0.736842105263158,0.91304347826087,0.920454545454545,0.923076923076923,0.910112359550562,0.918032786885246,0.915254237288136
5,0.927777777777778,0.85,0.875,0.833333333333333,0.777777777777778,0.909090909090909,0.823529411764706,0.869565217391304,0.933333333333333,0.922222222222222,0.923076923076923,0.932584269662921,0.928176795580111,0.927374301675978
6,0.938888888888889,0.8,0.818181818181818,0.777777777777778,0.818181818181818,0.777777777777778,0.818181818181818,0.777777777777778,0.923913043478261,0.954545454545455,0.955056179775281,0.923076923076923,0.939226519337017,0.93854748603352
7,0.922222222222222,0.9,0.8,1.0,1.0,0.833333333333333,0.888888888888889,0.909090909090909,0.943181818181818,0.902173913043478,0.902173913043478,0.943181818181818,0.922222222222222,0.922222222222222
8,0.927777777777778,0.85,1.0,0.75,0.727272727272727,1.0,0.842105263157895,0.857142857142857,0.952380952380952,0.90625,0.898876404494382,0.956043956043956,0.92485549132948,0.93048128342246
9,0.927777777777778,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.923076923076923,0.932584269662921,0.933333333333333,0.922222222222222,0.928176795580111,0.927374301675978
mean,0.9261111111111113,0.8,0.806152181152181,0.7934584859584859,0.7974941724941724,0.812085137085137,0.7916995874109887,0.7945376849859282,0.9337701504197827,0.9193583308553416,0.9178709499271861,0.9343421532238114,0.9255208668941087,0.9265793525155974
std,0.0078785360689564,0.06666666666666668,0.12704144769026263,0.11983097521397153,0.11261430627223852,0.1092494889964469,0.07892883779513127,0.07842597934807057,0.015513541966313129,0.017549305445792068,0.018554162516541173,0.017126016876440126,0.0072572051619935775,0.008986064365517788
min,0.916666666666667,0.7,0.571428571428571,0.583333333333333,0.583333333333333,0.636363636363636,0.666666666666667,0.7,0.91304347826087,0.897727272727273,0.897727272727273,0.910112359550562,0.914285714285714,0.913294797687861
25%,0.9180555555555557,0.7625,0.725,0.7232142857142855,0.7398989898989897,0.73015873015873,0.7154761904761905,0.719924812030075,0.9232859531772575,0.9067283163265305,0.9029462242562928,0.9232859531772575,0.9203951277480692,0.9197447447447448
50%,0.927777777777778,0.8,0.8321678321678321,0.777777777777778,0.8090909090909091,0.8166666666666665,0.820855614973262,0.800653594771242,0.9321839080459771,0.9172165200391005,0.916083916083916,0.9309980171844014,0.9265161434547955,0.927374301675978
75%,0.9319444444444442,0.85,0.875,0.8645833333333333,0.8429487179487178,0.875,0.8451417004048583,0.857142857142857,0.9410820158102765,0.9299937578027462,0.9290450928381965,0.941257331378299,0.9291030224244393,0.9342332240814215
max,0.938888888888889,0.9,1.0,1.0,1.0,1.0,0.888888888888889,0.909090909090909,0.963414634146341,0.954545454545455,0.955056179775281,0.967391304347826,0.939226519337017,0.93854748603352
