,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.527777777777778,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.517985611510791,0.560975609756098,0.8,0.255555555555556,0.62882096069869,0.351145038167939
1,0.522222222222222,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.521739130434783,0.522727272727273,0.533333333333333,0.511111111111111,0.527472527472527,0.51685393258427
2,0.516666666666667,0.5,0.5,0.0,1.0,0.0,0.666666666666667,0.0,0.508474576271186,1.0,1.0,0.0333333333333333,0.674157303370786,0.0645161290322581
3,0.555555555555556,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.545454545454545,0.571428571428571,0.666666666666667,0.444444444444444,0.6,0.5
4,0.538888888888889,0.45,0.473684210526316,0.0,0.9,0.0,0.620689655172414,0.0,0.520710059171598,0.818181818181818,0.977777777777778,0.1,0.679536679536679,0.178217821782178
5,0.533333333333333,0.5,0.5,0.5,0.1,0.9,0.166666666666667,0.642857142857143,0.615384615384615,0.519480519480519,0.177777777777778,0.888888888888889,0.275862068965517,0.655737704918033
6,0.522222222222222,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.51219512195122,0.625,0.933333333333333,0.111111111111111,0.661417322834646,0.188679245283019
7,0.533333333333333,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.528846153846154,0.539473684210526,0.611111111111111,0.455555555555556,0.567010309278351,0.493975903614458
8,0.538888888888889,0.4,0.428571428571429,0.333333333333333,0.6,0.2,0.5,0.25,0.541176470588235,0.536842105263158,0.511111111111111,0.566666666666667,0.525714285714286,0.551351351351351
9,0.511111111111111,0.4,0.4375,0.25,0.7,0.1,0.538461538461538,0.142857142857143,0.505952380952381,0.583333333333333,0.944444444444444,0.0777777777777778,0.65891472868217,0.137254901960784
mean,0.53,0.5000000000000001,0.5116786451422674,0.3965384615384615,0.6899999999999998,0.31,0.554822564859076,0.3169217497478367,0.5317918665565509,0.6277442914381296,0.7155555555555554,0.34444444444444455,0.5798906186553652,0.36377320286942905
std,0.012883353430315717,0.07453559924999299,0.07904389387445403,0.24365874716148198,0.2601281735350223,0.31073389830457115,0.14735520410589803,0.23794246160157823,0.03211273292984421,0.15749944329612833,0.2654395634896374,0.2760688170901367,0.12146673850947352,0.2069585375699245
min,0.511111111111111,0.4,0.428571428571429,0.0,0.1,0.0,0.166666666666667,0.0,0.505952380952381,0.519480519480519,0.177777777777778,0.0333333333333333,0.275862068965517,0.0645161290322581
25%,0.522222222222222,0.4625,0.480263157894737,0.27083333333333326,0.6,0.125,0.5402097902097898,0.16964285714285723,0.5136427443411127,0.5375,0.5527777777777775,0.10277777777777775,0.5373569729239831,0.18083317765738824
50%,0.5305555555555554,0.5,0.5,0.5,0.75,0.2,0.601809954751131,0.296703296703297,0.5212245948031905,0.5662020905923344,0.7333333333333335,0.35,0.614410480349345,0.4225604708911985
75%,0.5375,0.5375000000000001,0.5220588235294115,0.575,0.875,0.375,0.6351724137931035,0.433333333333333,0.5380938914027148,0.6145833333333333,0.9416666666666662,0.49722222222222223,0.6607916742965271,0.5126404494382025
max,0.555555555555556,0.65,0.714285714285714,0.666666666666667,1.0,0.9,0.666666666666667,0.695652173913043,0.615384615384615,1.0,1.0,0.888888888888889,0.679536679536679,0.655737704918033
