,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.761111111111111,0.3,0.363636363636364,0.222222222222222,0.363636363636364,0.222222222222222,0.363636363636364,0.222222222222222,0.721153846153846,0.815789473684211,0.842696629213483,0.681318681318681,0.77720207253886,0.74251497005988
1,0.722222222222222,0.55,0.454545454545455,0.666666666666667,0.625,0.5,0.526315789473684,0.571428571428572,0.71,0.7375,0.771739130434783,0.670454545454545,0.739583333333333,0.702380952380952
2,0.772222222222222,0.6,0.727272727272727,0.444444444444444,0.615384615384615,0.571428571428571,0.666666666666667,0.5,0.780487804878049,0.76530612244898,0.735632183908046,0.806451612903226,0.757396449704142,0.785340314136126
3,0.766666666666667,0.45,0.416666666666667,0.5,0.555555555555556,0.363636363636364,0.476190476190476,0.421052631578947,0.763440860215054,0.770114942528736,0.78021978021978,0.752808988764045,0.771739130434782,0.761363636363636
4,0.794444444444444,0.55,0.7,0.4,0.538461538461538,0.571428571428571,0.608695652173913,0.470588235294118,0.784090909090909,0.804347826086957,0.793103448275862,0.795698924731183,0.788571428571428,0.8
5,0.755555555555556,0.5,0.333333333333333,0.75,0.666666666666667,0.428571428571429,0.444444444444444,0.545454545454545,0.760416666666667,0.75,0.776595744680851,0.732558139534884,0.768421052631579,0.741176470588235
6,0.772222222222222,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.775280898876405,0.769230769230769,0.766666666666667,0.777777777777778,0.770949720670391,0.773480662983426
7,0.766666666666667,0.55,0.5,0.625,0.666666666666667,0.454545454545455,0.571428571428572,0.526315789473684,0.752577319587629,0.783132530120482,0.802197802197802,0.730337078651685,0.776595744680851,0.755813953488372
8,0.744444444444444,0.45,0.555555555555556,0.363636363636364,0.416666666666667,0.5,0.476190476190476,0.421052631578947,0.728260869565217,0.761363636363636,0.761363636363636,0.728260869565217,0.744444444444444,0.744444444444444
9,0.761111111111111,0.65,0.583333333333333,0.75,0.777777777777778,0.545454545454545,0.666666666666667,0.631578947368421,0.785714285714286,0.739583333333333,0.725274725274725,0.797752808988764,0.754285714285714,0.767567567567567
mean,0.7616666666666665,0.5050000000000001,0.5078787878787879,0.5176515151515152,0.5625815850815851,0.46572871572871566,0.522128773845021,0.47858840505899325,0.7561423460748061,0.7696368633797104,0.7755489747235635,0.7473419427690008,0.7649189091295524,0.7574082972012637
std,0.018966796487510162,0.09846036991827954,0.13313852551018132,0.17518088699378914,0.13441036104143833,0.10721146277198615,0.10398502591680076,0.11137870623406304,0.027547016083171838,0.025660695246249778,0.03327582319415247,0.04769392157886453,0.015536926325671298,0.027193386896512
min,0.722222222222222,0.3,0.333333333333333,0.222222222222222,0.363636363636364,0.222222222222222,0.363636363636364,0.222222222222222,0.71,0.7375,0.725274725274725,0.670454545454545,0.739583333333333,0.702380952380952
25%,0.7569444444444448,0.45,0.42361111111111127,0.411111111111111,0.44711538461538475,0.4350649350649355,0.452380952380952,0.4334365325077397,0.73433998207082,0.752840909090909,0.7626893939393937,0.7287799218368339,0.755063398140321,0.742997338656021
50%,0.7638888888888891,0.525,0.4772727272727275,0.4772727272727275,0.5854700854700855,0.5,0.50125313283208,0.488095238095238,0.7619287634408605,0.7672684458398745,0.774167437557817,0.7426835641494645,0.769685386650985,0.758588794926004
75%,0.7708333333333333,0.55,0.5763888888888888,0.6562500000000002,0.6562500000000002,0.5340909090909087,0.5993788819875777,0.5406698564593297,0.779186078377638,0.7798781332225455,0.7898825312618415,0.7912186379928318,0.7753815911193338,0.7720023891294613
max,0.794444444444444,0.65,0.727272727272727,0.75,0.777777777777778,0.571428571428571,0.666666666666667,0.631578947368421,0.785714285714286,0.815789473684211,0.842696629213483,0.806451612903226,0.788571428571428,0.8
