,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.527777777777778,0.458333333333333,0.470588235294118,0.428571428571429,0.666666666666667,0.25,0.551724137931034,0.315789473684211,0.516483516483517,0.588235294117647,0.87037037037037,0.185185185185185,0.648275862068966,0.28169014084507
1,0.5,0.458333333333333,0.428571428571429,0.470588235294118,0.25,0.666666666666667,0.315789473684211,0.551724137931034,0.5,0.5,0.342592592592593,0.657407407407407,0.406593406593407,0.568
2,0.574074074074074,0.541666666666667,0.533333333333333,0.555555555555556,0.666666666666667,0.416666666666667,0.592592592592593,0.476190476190476,0.549382716049383,0.648148148148148,0.824074074074074,0.324074074074074,0.659259259259259,0.432098765432099
3,0.518518518518518,0.458333333333333,0.0,0.478260869565217,0.0,0.916666666666667,0.0,0.628571428571429,1.0,0.509433962264151,0.037037037037037,1.0,0.0714285714285714,0.675
4,0.597222222222222,0.458333333333333,0.461538461538462,0.454545454545455,0.5,0.416666666666667,0.48,0.434782608695652,0.566037735849057,0.684210526315789,0.833333333333333,0.361111111111111,0.674157303370786,0.472727272727273
5,0.537037037037037,0.458333333333333,0.476190476190476,0.333333333333333,0.833333333333333,0.0833333333333333,0.606060606060606,0.133333333333333,0.521505376344086,0.633333333333333,0.898148148148148,0.175925925925926,0.659863945578231,0.27536231884058
6,0.50462962962963,0.5,0.0,0.5,0.0,1.0,0.0,0.666666666666667,0.666666666666667,0.502347417840376,0.0185185185185185,0.990740740740741,0.036036036036036,0.666666666666667
7,0.532407407407407,0.541666666666667,0.545454545454545,0.538461538461538,0.5,0.583333333333333,0.521739130434783,0.56,0.528455284552846,0.537634408602151,0.601851851851852,0.462962962962963,0.562770562770563,0.497512437810945
8,0.615740740740741,0.5,0.5,0.5,0.416666666666667,0.583333333333333,0.454545454545455,0.538461538461538,0.621359223300971,0.610619469026549,0.592592592592593,0.638888888888889,0.606635071090047,0.624434389140271
9,0.615740740740741,0.541666666666667,0.529411764705882,0.571428571428571,0.75,0.333333333333333,0.620689655172414,0.421052631578947,0.614678899082569,0.616822429906542,0.62037037037037,0.611111111111111,0.617511520737327,0.613953488372093
mean,0.5523148148148149,0.4916666666666666,0.3945088245088245,0.4830744986755217,0.45833333333333337,0.525,0.4143141050421096,0.47265722951132866,0.6084569418329095,0.5830784989554687,0.5638888888888889,0.5407407407407407,0.49425315389331936,0.5107445479834999
std,0.044622521333413,0.038289024311362024,0.21102176658026692,0.06919104032487834,0.29462782549439476,0.2861245951515132,0.23582364343439152,0.1577683415684832,0.14771275893967767,0.06651589000337517,0.32920540741966614,0.29559459090179724,0.24487801687171917,0.14675129719368768
min,0.5,0.458333333333333,0.0,0.333333333333333,0.0,0.0833333333333333,0.0,0.133333333333333,0.5,0.5,0.0185185185185185,0.175925925925926,0.036036036036036,0.27536231884058
25%,0.520833333333333,0.458333333333333,0.43681318681318726,0.4585561497326207,0.29166666666666674,0.3541666666666665,0.350478468899522,0.42448512585812326,0.523242853396276,0.516484073848651,0.405092592592593,0.33333333333333326,0.445637695637696,0.4422558922558925
50%,0.534722222222222,0.4791666666666665,0.473389355742297,0.48913043478260854,0.5,0.5,0.5008695652173916,0.507326007326007,0.55771022594922,0.599427381572098,0.6111111111111109,0.537037037037037,0.612073295913687,0.5327562189054724
75%,0.591435185185185,0.5312500000000002,0.5220588235294115,0.5288461538461535,0.666666666666667,0.6458333333333335,0.5823754789272033,0.5579310344827586,0.6196891422463705,0.6292056074766352,0.8310185185185183,0.6527777777777775,0.6565134099616857,0.6218141639482265
max,0.615740740740741,0.541666666666667,0.545454545454545,0.571428571428571,0.833333333333333,1.0,0.620689655172414,0.666666666666667,1.0,0.684210526315789,0.898148148148148,1.0,0.674157303370786,0.675
