,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.85,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.89873417721519,0.811881188118812,0.788888888888889,0.911111111111111,0.840236686390533,0.858638743455497
1,0.844444444444444,0.65,0.818181818181818,0.444444444444444,0.642857142857143,0.666666666666667,0.72,0.533333333333333,0.853658536585366,0.836734693877551,0.813953488372093,0.872340425531915,0.833333333333333,0.854166666666667
2,0.85,0.7,0.777777777777778,0.636363636363636,0.636363636363636,0.777777777777778,0.7,0.7,0.878048780487805,0.826530612244898,0.808988764044944,0.89010989010989,0.842105263157895,0.857142857142857
3,0.855555555555556,0.75,0.555555555555556,0.909090909090909,0.833333333333333,0.714285714285714,0.666666666666667,0.8,0.861702127659574,0.848837209302326,0.861702127659574,0.848837209302326,0.861702127659574,0.848837209302326
4,0.872222222222222,0.6,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.5,0.857142857142857,0.887640449438202,0.886363636363636,0.858695652173913,0.871508379888268,0.87292817679558
5,0.866666666666667,0.6,0.363636363636364,0.888888888888889,0.8,0.533333333333333,0.5,0.666666666666667,0.89010989010989,0.842696629213483,0.852631578947368,0.882352941176471,0.870967741935484,0.862068965517241
6,0.85,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.862068965517241,0.838709677419355,0.833333333333333,0.866666666666667,0.847457627118644,0.852459016393443
7,0.855555555555556,0.5,0.454545454545455,0.555555555555556,0.555555555555556,0.454545454545455,0.5,0.5,0.891566265060241,0.824742268041237,0.813186813186813,0.898876404494382,0.850574712643678,0.860215053763441
8,0.866666666666667,0.5,0.6,0.4,0.5,0.5,0.545454545454545,0.444444444444444,0.890243902439024,0.846938775510204,0.829545454545455,0.902173913043478,0.858823529411765,0.873684210526316
9,0.8,0.75,0.8,0.7,0.727272727272727,0.777777777777778,0.761904761904762,0.736842105263158,0.811764705882353,0.789473684210526,0.775280898876405,0.824175824175824,0.793103448275862,0.806451612903226
mean,0.8511111111111113,0.61,0.6080808080808081,0.6088888888888889,0.6362049062049062,0.6024386724386724,0.6081745272271587,0.5957477025898077,0.869504020809954,0.8354185187376595,0.8263874984218511,0.8755340037785979,0.8469812849815037,0.8546592512466594
std,0.020082135869223704,0.10488088481701516,0.15853402256767307,0.1785298092440523,0.1321252104166119,0.12304359818222146,0.11246292185962713,0.12336042917638347,0.026082684618430798,0.02574091752741083,0.03373234208235669,0.026878280190935022,0.022865216570911683,0.01875702659449745
min,0.8,0.45,0.363636363636364,0.4,0.4,0.454545454545455,0.421052631578947,0.444444444444444,0.811764705882353,0.789473684210526,0.775280898876405,0.824175824175824,0.793103448275862,0.806451612903226
25%,0.85,0.525,0.4797979797979802,0.4659090909090912,0.566666666666667,0.5,0.5113636363636362,0.5,0.8582826747720362,0.8251893540921522,0.8100382763304113,0.8606884057971015,0.8407038305823735,0.852885928961749
50%,0.852777777777778,0.6,0.6,0.577777777777778,0.6396103896103895,0.5666666666666664,0.6333333333333335,0.5666666666666664,0.8700588730025229,0.8377221856484529,0.8217494714587741,0.877346683354193,0.849016169881161,0.857890800299177
75%,0.8638888888888893,0.6875,0.7500000000000002,0.684090909090909,0.7121212121212119,0.7023809523809522,0.6916666666666667,0.6916666666666667,0.8902103993567405,0.8458782389360238,0.8478070175438592,0.896684775898259,0.8609824780976217,0.861605487578791
max,0.872222222222222,0.75,0.818181818181818,0.909090909090909,0.833333333333333,0.777777777777778,0.761904761904762,0.8,0.89873417721519,0.887640449438202,0.886363636363636,0.911111111111111,0.871508379888268,0.873684210526316
