,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.761111111111111,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.79746835443038,0.732673267326733,0.7,0.822222222222222,0.745562130177515,0.774869109947644
1,0.75,0.55,0.363636363636364,0.777777777777778,0.666666666666667,0.5,0.470588235294118,0.608695652173913,0.757894736842105,0.741176470588235,0.765957446808511,0.732558139534884,0.761904761904762,0.736842105263158
2,0.766666666666667,0.55,0.666666666666667,0.454545454545455,0.5,0.625,0.571428571428572,0.526315789473684,0.7875,0.75,0.715909090909091,0.815217391304348,0.75,0.78125
3,0.772222222222222,0.55,0.636363636363636,0.444444444444444,0.583333333333333,0.5,0.608695652173913,0.470588235294118,0.764044943820225,0.78021978021978,0.772727272727273,0.771739130434783,0.768361581920904,0.775956284153005
4,0.727777777777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.746987951807229,0.711340206185567,0.688888888888889,0.766666666666667,0.716763005780347,0.737967914438503
5,0.8,0.3,0.166666666666667,0.5,0.333333333333333,0.285714285714286,0.222222222222222,0.363636363636364,0.815217391304348,0.784090909090909,0.797872340425532,0.802325581395349,0.806451612903226,0.793103448275862
6,0.755555555555556,0.65,0.7,0.6,0.636363636363636,0.666666666666667,0.666666666666667,0.631578947368421,0.777777777777778,0.737373737373737,0.707865168539326,0.802197802197802,0.741176470588235,0.768421052631579
7,0.766666666666667,0.4,0.444444444444444,0.363636363636364,0.363636363636364,0.444444444444444,0.4,0.4,0.770114942528736,0.763440860215054,0.752808988764045,0.78021978021978,0.761363636363636,0.771739130434782
8,0.772222222222222,0.6,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.792682926829268,0.755102040816326,0.730337078651685,0.813186813186813,0.760233918128655,0.783068783068783
9,0.783333333333333,0.55,0.583333333333333,0.5,0.636363636363636,0.444444444444444,0.608695652173913,0.470588235294118,0.784090909090909,0.782608695652174,0.775280898876405,0.791208791208791,0.779661016949153,0.786885245901639
mean,0.7655555555555557,0.53,0.5364141414141413,0.5332323232323233,0.5456060606060605,0.5221825396825397,0.5316239583691462,0.5193625445462842,0.7793779934430978,0.7538025967468516,0.7407647174590757,0.789754231837144,0.7591478134716433,0.7710103074114956
std,0.01938704048637383,0.10852547064066471,0.16971307743818306,0.11621132981974626,0.11835963916490534,0.12186502265316211,0.1376154736175989,0.09846632042032077,0.020306090331731155,0.024112962989105927,0.037142028191945495,0.027460080239298423,0.02390889912338263,0.0191376096338815
min,0.727777777777778,0.3,0.166666666666667,0.363636363636364,0.333333333333333,0.285714285714286,0.222222222222222,0.363636363636364,0.746987951807229,0.711340206185567,0.688888888888889,0.732558139534884,0.716763005780347,0.736842105263158
25%,0.7569444444444448,0.5125,0.458333333333333,0.4659090909090912,0.5,0.458333333333333,0.4779411764705885,0.470588235294118,0.7655624434973528,0.7383244206773615,0.7098761491317673,0.7738592928810323,0.7466715976331363,0.7692505720823798
50%,0.766666666666667,0.55,0.6098484848484845,0.5,0.5916666666666666,0.5,0.5900621118012425,0.513157894736842,0.7809343434343434,0.752551020408163,0.741573033707865,0.7967032967032965,0.7607987772461455,0.7754126970503246
75%,0.772222222222222,0.5875,0.6590909090909092,0.588888888888889,0.636363636363636,0.6076388888888891,0.625858123569794,0.5954106280193238,0.791387195121951,0.7760250502185985,0.7710348162475825,0.810471505238947,0.7667473769168685,0.7826140873015872
max,0.8,0.65,0.7,0.777777777777778,0.666666666666667,0.7,0.666666666666667,0.666666666666667,0.815217391304348,0.784090909090909,0.797872340425532,0.822222222222222,0.806451612903226,0.793103448275862
