,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.977777777777778,0.95,0.909090909090909,1.0,1.0,0.9,0.952380952380952,0.947368421052632,0.957446808510638,1.0,1.0,0.955555555555556,0.978260869565217,0.977272727272727
1,0.972222222222222,0.9,0.909090909090909,0.888888888888889,0.909090909090909,0.888888888888889,0.909090909090909,0.888888888888889,0.966666666666667,0.977777777777778,0.97752808988764,0.967032967032967,0.972067039106145,0.972375690607735
2,0.972222222222222,0.85,1.0,0.75,0.727272727272727,1.0,0.842105263157895,0.857142857142857,0.956521739130435,0.988636363636364,0.98876404494382,0.956043956043956,0.972375690607735,0.972067039106145
3,0.983333333333333,0.9,0.923076923076923,0.857142857142857,0.923076923076923,0.857142857142857,0.923076923076923,0.857142857142857,0.966666666666667,1.0,1.0,0.967741935483871,0.983050847457627,0.983606557377049
4,0.977777777777778,0.9,0.8,1.0,1.0,0.833333333333333,0.888888888888889,0.909090909090909,0.978260869565217,0.977272727272727,0.978260869565217,0.977272727272727,0.978260869565217,0.977272727272727
5,0.983333333333333,0.9,0.818181818181818,1.0,1.0,0.818181818181818,0.9,0.9,0.978260869565217,0.988636363636364,0.989010989010989,0.97752808988764,0.983606557377049,0.983050847457627
6,0.961111111111111,0.9,0.888888888888889,0.909090909090909,0.888888888888889,0.909090909090909,0.888888888888889,0.909090909090909,0.946808510638298,0.976744186046512,0.978021978021978,0.943820224719101,0.962162162162162,0.96
7,0.972222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956989247311828,0.988505747126437,0.988888888888889,0.955555555555556,0.972677595628415,0.971751412429379
8,0.983333333333333,0.9,0.875,0.916666666666667,0.875,0.916666666666667,0.875,0.916666666666667,0.978494623655914,0.988505747126437,0.989130434782609,0.977272727272727,0.983783783783784,0.982857142857143
9,0.966666666666667,0.9,1.0,0.818181818181818,0.818181818181818,1.0,0.9,0.9,0.956043956043956,0.97752808988764,0.97752808988764,0.956043956043956,0.966666666666667,0.966666666666667
mean,0.9749999999999999,0.9100000000000001,0.9123329448329448,0.9139971139971139,0.9141511266511266,0.9123304473304472,0.9079431825484457,0.9085391509075722,0.9642159957754837,0.9863607002510258,0.9867133384988781,0.9633867694868057,0.9752912081920018,0.9746920811047198
std,0.007522257782070212,0.03944053188733077,0.0719718232045851,0.0879113421853258,0.09182714895195057,0.06826327619890037,0.043399597826371525,0.041839095941278104,0.01124208312250124,0.008934147335302125,0.008748665158809179,0.01169623934474017,0.007390682550150893,0.007677478837043846
min,0.961111111111111,0.85,0.8,0.75,0.727272727272727,0.818181818181818,0.842105263157895,0.857142857142857,0.946808510638298,0.976744186046512,0.97752808988764,0.943820224719101,0.962162162162162,0.96
25%,0.972222222222222,0.9,0.8784722222222222,0.865079365079365,0.8784722222222222,0.865079365079365,0.888888888888889,0.8916666666666667,0.9566386161757833,0.9775905118601744,0.9780817009077878,0.9556776556776561,0.9721442019815425,0.9718303190985705
50%,0.975,0.9,0.909090909090909,0.912878787878788,0.916083916083916,0.9045454545454545,0.9,0.9045454545454545,0.9620567375886525,0.988505747126437,0.9888264669163545,0.9615384615384615,0.975469232596816,0.974824208940231
75%,0.9819444444444442,0.9,0.9807692307692307,1.0,1.0,0.9791666666666667,0.9195804195804195,0.9147727272727275,0.9753623188405794,0.988636363636364,0.989100573339704,0.9748900293255129,0.9818533529845246,0.981461038961039
max,0.983333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978494623655914,1.0,1.0,0.97752808988764,0.983783783783784,0.983606557377049
