,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.833333333333333,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.840909090909091,0.826086956521739,0.822222222222222,0.844444444444444,0.831460674157303,0.835164835164835
1,0.827777777777778,0.45,0.555555555555556,0.363636363636364,0.416666666666667,0.5,0.476190476190476,0.421052631578947,0.835294117647059,0.821052631578947,0.806818181818182,0.847826086956522,0.820809248554913,0.834224598930481
2,0.777777777777778,0.55,0.6,0.5,0.545454545454545,0.555555555555556,0.571428571428571,0.526315789473684,0.795180722891566,0.762886597938144,0.741573033707865,0.813186813186813,0.767441860465116,0.787234042553191
3,0.816666666666667,0.45,0.384615384615385,0.571428571428571,0.625,0.333333333333333,0.476190476190476,0.421052631578947,0.824175824175824,0.808988764044944,0.815217391304348,0.818181818181818,0.819672131147541,0.813559322033898
4,0.822222222222222,0.6,0.7,0.5,0.583333333333333,0.625,0.636363636363636,0.555555555555556,0.818181818181818,0.826086956521739,0.818181818181818,0.826086956521739,0.818181818181818,0.826086956521739
5,0.794444444444444,0.55,0.6,0.5,0.545454545454545,0.555555555555556,0.571428571428571,0.526315789473684,0.802325581395349,0.787234042553192,0.775280898876405,0.813186813186813,0.788571428571429,0.8
6,0.811111111111111,0.7,0.75,0.625,0.75,0.625,0.75,0.625,0.806818181818182,0.815217391304348,0.806818181818182,0.815217391304348,0.806818181818182,0.815217391304348
7,0.783333333333333,0.55,0.454545454545455,0.666666666666667,0.625,0.5,0.526315789473684,0.571428571428572,0.791208791208791,0.775280898876405,0.782608695652174,0.784090909090909,0.786885245901639,0.779661016949153
8,0.783333333333333,0.5,0.428571428571429,0.538461538461538,0.333333333333333,0.636363636363636,0.375,0.583333333333333,0.80952380952381,0.760416666666667,0.747252747252747,0.820224719101124,0.777142857142857,0.789189189189189
9,0.794444444444444,0.45,0.3,0.6,0.428571428571429,0.461538461538462,0.352941176470588,0.521739130434783,0.78,0.8125,0.838709677419355,0.747126436781609,0.808290155440415,0.778443113772455
mean,0.8044444444444443,0.53,0.5273287823287824,0.5365193140193141,0.5152813852813851,0.5492346542346542,0.5110858697546001,0.533512676619084,0.810361793775149,0.7995750906006125,0.7954682848253298,0.812957238875614,0.8025273601381213,0.805878046641929
std,0.020252182391840533,0.07888106377466154,0.14087013811135415,0.08514206878495235,0.14232815428780943,0.10595304870608885,0.12683005386665078,0.06732537892047917,0.019447134630179934,0.025796924482918277,0.03257725701064911,0.029120355350308953,0.021283272872564894,0.021900139189973515
min,0.777777777777778,0.45,0.3,0.363636363636364,0.3,0.333333333333333,0.352941176470588,0.421052631578947,0.78,0.760416666666667,0.741573033707865,0.747126436781609,0.767441860465116,0.778443113772455
25%,0.7861111111111108,0.4625,0.4350649350649355,0.5,0.41964285714285754,0.5,0.400297619047619,0.5228832951945083,0.7969669375175118,0.7782691847956017,0.7771128480703472,0.813186813186813,0.7873067915690866,0.7877228292121905
50%,0.8027777777777775,0.525,0.527777777777778,0.5192307692307689,0.545454545454545,0.555555555555556,0.50125313283208,0.5409356725146199,0.8081709956709959,0.810744382022472,0.806818181818182,0.816699604743083,0.8075541686292985,0.8067796610169491
75%,0.8208333333333332,0.55,0.6,0.5928571428571427,0.6145833333333333,0.625,0.571428571428571,0.5803571428571428,0.8226773226773225,0.8195938215102972,0.8174407114624505,0.8246213971665852,0.8192995529061102,0.8233695652173912
max,0.833333333333333,0.7,0.75,0.666666666666667,0.75,0.7,0.75,0.625,0.840909090909091,0.826086956521739,0.838709677419355,0.847826086956522,0.831460674157303,0.835164835164835
