,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.544444444444444,0.3,0.357142857142857,0.166666666666667,0.5,0.1,0.416666666666667,0.125,0.527397260273973,0.617647058823529,0.855555555555556,0.233333333333333,0.652542372881356,0.338709677419355
1,0.538888888888889,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.522875816993464,0.62962962962963,0.888888888888889,0.188888888888889,0.65843621399177,0.290598290598291
2,0.583333333333333,0.4,0.25,0.4375,0.1,0.7,0.142857142857143,0.538461538461538,0.636363636363636,0.56,0.388888888888889,0.777777777777778,0.482758620689655,0.651162790697674
3,0.538888888888889,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.529411764705882,0.557377049180328,0.7,0.377777777777778,0.602870813397129,0.450331125827815
4,0.516666666666667,0.55,0.526315789473684,1.0,1.0,0.1,0.689655172413793,0.181818181818182,0.50887573964497,0.636363636363636,0.955555555555556,0.0777777777777778,0.664092664092664,0.138613861386139
5,0.516666666666667,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.509554140127389,0.565217391304348,0.888888888888889,0.144444444444444,0.647773279352227,0.230088495575221
6,0.505555555555556,0.5,0.5,0.0,1.0,0.0,0.666666666666667,0.0,0.502793296089385,1.0,1.0,0.0111111111111111,0.669144981412639,0.021978021978022
7,0.55,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118
8,0.544444444444444,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.529850746268657,0.58695652173913,0.788888888888889,0.3,0.633928571428571,0.397058823529412
9,0.505555555555556,0.55,0.526315789473684,1.0,1.0,0.1,0.689655172413793,0.181818181818182,0.502824858757062,0.666666666666667,0.988888888888889,0.0222222222222222,0.666666666666667,0.043010752688172
mean,0.5344444444444445,0.47000000000000003,0.45141862007961076,0.5162500000000001,0.6900000000000001,0.25,0.5315430890948132,0.2808383283383284,0.5308408797685956,0.639128652513584,0.8155555555555557,0.2533333333333333,0.6286909836086592,0.3032140074994219
std,0.023974151603973433,0.08881941729649487,0.09731809671012448,0.32019507219702686,0.32128215360057305,0.21213203435596426,0.18702258553627324,0.16227882550869235,0.039127437263866416,0.1321861407745652,0.18423459727009944,0.229378596356313,0.05631256054577901,0.20005328310150394
min,0.505555555555556,0.3,0.25,0.0,0.1,0.0,0.142857142857143,0.0,0.502793296089385,0.557377049180328,0.388888888888889,0.0111111111111111,0.482758620689655,0.021978021978022
25%,0.516666666666667,0.4,0.38541666666666674,0.38541666666666674,0.5,0.1,0.426136363636364,0.181818181818182,0.5090453397655748,0.5667701863354038,0.7222222222222222,0.09444444444444436,0.6150038819875775,0.1614825199334095
50%,0.538888888888889,0.5,0.5,0.46875,0.8,0.2,0.6276923076923075,0.296703296703297,0.5251365386337186,0.6023017902813295,0.8722222222222225,0.211111111111111,0.6501578261167915,0.314653984008823
75%,0.544444444444444,0.55,0.526315789473684,0.6500000000000002,0.975,0.3,0.666666666666667,0.38333333333333325,0.5297410008779633,0.6346801346801345,0.9388888888888893,0.3583333333333335,0.6626785515674405,0.43701305025321424
max,0.583333333333333,0.55,0.533333333333333,1.0,1.0,0.7,0.689655172413793,0.538461538461538,0.636363636363636,1.0,1.0,0.777777777777778,0.669144981412639,0.651162790697674
