,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.642105263157895,0.658823529411765,0.677777777777778,0.622222222222222,0.659459459459459,0.64
1,0.677777777777778,0.3,0.4,0.2,0.333333333333333,0.25,0.363636363636364,0.222222222222222,0.682926829268293,0.673469387755102,0.636363636363636,0.717391304347826,0.658823529411765,0.694736842105263
2,0.65,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.68,0.628571428571429,0.566666666666667,0.733333333333333,0.618181818181818,0.676923076923077
3,0.622222222222222,0.65,1.0,0.5,0.461538461538462,1.0,0.631578947368421,0.666666666666667,0.650793650793651,0.606837606837607,0.471264367816092,0.763440860215054,0.546666666666667,0.676190476190476
4,0.65,0.25,0.222222222222222,0.272727272727273,0.2,0.3,0.210526315789474,0.285714285714286,0.662650602409639,0.639175257731959,0.611111111111111,0.688888888888889,0.635838150289017,0.663101604278075
5,0.65,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.670886075949367,0.633663366336634,0.588888888888889,0.711111111111111,0.627218934911243,0.670157068062827
6,0.633333333333333,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.646341463414634,0.622448979591837,0.588888888888889,0.677777777777778,0.616279069767442,0.648936170212766
7,0.65,0.35,0.384615384615385,0.285714285714286,0.5,0.2,0.434782608695652,0.235294117647059,0.658823529411765,0.642105263157895,0.622222222222222,0.677777777777778,0.64,0.659459459459459
8,0.677777777777778,0.55,0.5,0.583333333333333,0.444444444444444,0.636363636363636,0.470588235294118,0.608695652173913,0.666666666666667,0.691358024691358,0.725274725274725,0.629213483146067,0.694736842105263,0.658823529411765
9,0.688888888888889,0.5,0.3,0.7,0.5,0.5,0.375,0.583333333333333,0.693877551020408,0.682926829268293,0.723404255319149,0.651162790697674,0.708333333333333,0.666666666666667
mean,0.655,0.495,0.5184615384615385,0.4869047619047618,0.4639316239316239,0.5386363636363636,0.4770322997099818,0.5011450087281288,0.665507163209232,0.6479379673353879,0.6211862540329158,0.6872319549517731,0.6405537804126007,0.6654994893310374
std,0.02069604973473869,0.14424131015612537,0.2188394735251538,0.1717647371885061,0.11987688589622765,0.23948262645681762,0.13493592840500132,0.17877788245959744,0.016776089007594662,0.027705658136013042,0.07626974194372454,0.04532332754450164,0.04512451752958085,0.015398562141027356
min,0.622222222222222,0.25,0.222222222222222,0.2,0.2,0.2,0.210526315789474,0.222222222222222,0.642105263157895,0.606837606837607,0.471264367816092,0.622222222222222,0.546666666666667,0.64
25%,0.65,0.38749999999999996,0.38846153846153875,0.33928571428571447,0.44871794871794846,0.35,0.38994565217391297,0.3571428571428572,0.6528011204481795,0.6298444130127303,0.588888888888889,0.6578165374677001,0.6204410973641743,0.6589825119236885
50%,0.65,0.55,0.527777777777778,0.545454545454545,0.5,0.6,0.49845201238390097,0.577380952380952,0.664658634538153,0.6406402604449271,0.6166666666666665,0.6833333333333336,0.6379190751445085,0.6648841354723709
75%,0.6708333333333335,0.5875,0.588888888888889,0.5958333333333332,0.5,0.627272727272727,0.581578947368421,0.6065217391304347,0.6777215189873418,0.6698079231692677,0.6674242424242425,0.7158212560386473,0.6593004769475356,0.6746821241585638
max,0.688888888888889,0.65,1.0,0.7,0.6,1.0,0.631578947368421,0.666666666666667,0.693877551020408,0.691358024691358,0.725274725274725,0.763440860215054,0.708333333333333,0.694736842105263
