,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.561111111111111,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.55045871559633,0.577464788732394,0.666666666666667,0.455555555555556,0.603015075376884,0.509316770186335
1,0.594444444444444,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.630769230769231,0.573913043478261,0.455555555555556,0.733333333333333,0.529032258064516,0.64390243902439
2,0.594444444444444,0.35,0.285714285714286,0.384615384615385,0.2,0.5,0.235294117647059,0.434782608695652,0.58252427184466,0.61038961038961,0.666666666666667,0.522222222222222,0.621761658031088,0.562874251497006
3,0.588888888888889,0.7,0.75,0.666666666666667,0.6,0.8,0.666666666666667,0.727272727272727,0.653846153846154,0.5625,0.377777777777778,0.8,0.47887323943662,0.660550458715596
4,0.566666666666667,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.561224489795918,0.573170731707317,0.611111111111111,0.522222222222222,0.585106382978724,0.546511627906977
5,0.594444444444444,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.576576576576577,0.623188405797101,0.711111111111111,0.477777777777778,0.63681592039801,0.540880503144654
6,0.605555555555556,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.594059405940594,0.620253164556962,0.666666666666667,0.544444444444444,0.628272251308901,0.579881656804734
7,0.533333333333333,0.6,0.75,0.5625,0.3,0.9,0.428571428571428,0.692307692307692,0.578947368421053,0.52112676056338,0.244444444444444,0.822222222222222,0.34375,0.637931034482759
8,0.622222222222222,0.35,0.4,0.2,0.6,0.1,0.48,0.133333333333333,0.612244897959184,0.634146341463415,0.666666666666667,0.577777777777778,0.638297872340425,0.604651162790698
9,0.616666666666667,0.35,0.333333333333333,0.363636363636364,0.3,0.4,0.315789473684211,0.380952380952381,0.591304347826087,0.661538461538462,0.755555555555556,0.477777777777778,0.663414634146341,0.554838709677419
mean,0.5877777777777777,0.49999999999999983,0.5175613275613277,0.48238830613830624,0.4999999999999999,0.5,0.49170485036119693,0.4787821674892611,0.5931955458575787,0.5957691308226902,0.5822222222222223,0.5933333333333334,0.5728339292081509,0.5841338614230568
std,0.02706492726880764,0.11785113019775793,0.1541467908182927,0.13237556509954385,0.17638342073763935,0.24037008503093266,0.13206497430055403,0.1761154506126049,0.031445085506700346,0.04131881703389172,0.16598213333701212,0.13869863512471742,0.09794532278755952,0.05048543845861673
min,0.533333333333333,0.35,0.285714285714286,0.2,0.2,0.1,0.235294117647059,0.133333333333333,0.55045871559633,0.52112676056338,0.244444444444444,0.455555555555556,0.34375,0.509316770186335
25%,0.5722222222222225,0.38749999999999996,0.42500000000000004,0.41346153846153877,0.35,0.325,0.441428571428571,0.37648809523809523,0.577169274537696,0.573356309650053,0.49444444444444474,0.48888888888888904,0.543050789293068,0.5485933983495875
50%,0.594444444444444,0.525,0.5227272727272725,0.5227272727272725,0.55,0.5,0.526315789473684,0.480549199084668,0.5869143098353735,0.593927199561002,0.666666666666667,0.533333333333333,0.612388366703986,0.57137795415087
75%,0.602777777777778,0.55,0.555555555555556,0.5530303030303032,0.6,0.6,0.5803571428571426,0.571428571428571,0.6076985249545366,0.6224545954870663,0.666666666666667,0.6944444444444442,0.6346800031257328,0.6296110665597437
max,0.622222222222222,0.7,0.75,0.666666666666667,0.7,0.9,0.666666666666667,0.727272727272727,0.653846153846154,0.661538461538462,0.755555555555556,0.822222222222222,0.663414634146341,0.660550458715596
