,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.811111111111111,0.4,0.272727272727273,0.555555555555556,0.428571428571429,0.384615384615385,0.333333333333333,0.454545454545455,0.817204301075269,0.804597701149425,0.817204301075269,0.804597701149425,0.817204301075269,0.804597701149425
1,0.783333333333333,0.4,0.363636363636364,0.444444444444444,0.444444444444444,0.363636363636364,0.4,0.4,0.76,0.8125,0.835164835164835,0.730337078651685,0.795811518324607,0.769230769230769
2,0.816666666666667,0.4,0.533333333333333,0.0,0.615384615384615,0.0,0.571428571428572,0.0,0.829268292682927,0.806122448979592,0.781609195402299,0.849462365591398,0.804733727810651,0.827225130890052
3,0.783333333333333,0.45,0.5,0.416666666666667,0.363636363636364,0.555555555555556,0.421052631578947,0.476190476190476,0.760416666666667,0.80952380952381,0.820224719101124,0.747252747252747,0.789189189189189,0.777142857142857
4,0.827777777777778,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.810526315789474,0.847058823529412,0.855555555555556,0.8,0.832432432432432,0.822857142857143
5,0.85,0.65,0.545454545454545,0.777777777777778,0.75,0.583333333333333,0.631578947368421,0.666666666666667,0.849462365591398,0.850574712643678,0.858695652173913,0.840909090909091,0.854054054054054,0.845714285714286
6,0.794444444444444,0.55,0.714285714285714,0.461538461538462,0.416666666666667,0.75,0.526315789473684,0.571428571428571,0.768421052631579,0.823529411764706,0.829545454545455,0.760869565217391,0.797814207650273,0.790960451977401
7,0.794444444444444,0.15,0.0909090909090909,0.222222222222222,0.125,0.166666666666667,0.105263157894737,0.19047619047619,0.808988764044944,0.78021978021978,0.782608695652174,0.806818181818182,0.795580110497238,0.793296089385475
8,0.777777777777778,0.4,0.461538461538462,0.285714285714286,0.545454545454545,0.222222222222222,0.5,0.25,0.781609195402299,0.774193548387097,0.764044943820225,0.791208791208791,0.772727272727273,0.782608695652174
9,0.827777777777778,0.5,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.545454545454545,0.444444444444444,0.815217391304348,0.840909090909091,0.842696629213483,0.813186813186813,0.828729281767956,0.8268156424581
mean,0.8066666666666666,0.43,0.4444005994005994,0.39833638583638586,0.47346126096126084,0.37704739704739715,0.4488972431077694,0.37870851370851355,0.8001114345188907,0.8149229327106591,0.8187349981704333,0.7944642334985522,0.8088276095528943,0.8040448766457683
std,0.02383067843280816,0.12952906151816967,0.17200640057964203,0.2055324911318322,0.16574938931039584,0.21975342594989758,0.1494257653081172,0.19366803425955395,0.0307760448962974,0.026109573352213526,0.032647225335862846,0.03844017326235631,0.02413097614591705,0.025447915806529893
min,0.777777777777778,0.15,0.0909090909090909,0.0,0.125,0.0,0.105263157894737,0.0,0.76,0.774193548387097,0.764044943820225,0.730337078651685,0.772727272727273,0.769230769230769
25%,0.7861111111111108,0.4,0.3768939393939397,0.30803571428571447,0.41964285714285754,0.24166666666666647,0.40526315789473677,0.27083333333333326,0.771718088324259,0.8049788881069667,0.7912575970079477,0.768454371715241,0.7956379624540802,0.7846966347334807
50%,0.8027777777777775,0.4,0.480769230769231,0.43055555555555547,0.472222222222222,0.3741258741258745,0.4772727272727275,0.422222222222222,0.809757539917209,0.811011904761905,0.8248850868232895,0.8022988505747125,0.801273967730462,0.79894689526745
75%,0.8250000000000002,0.4875,0.542424242424242,0.45726495726495753,0.545454545454545,0.527777777777778,0.5406698564593297,0.47077922077922074,0.8167075736325388,0.8365641711229947,0.840813680701321,0.8115946553446552,0.8258480365947842,0.8258260175578608
max,0.85,0.65,0.714285714285714,0.777777777777778,0.75,0.75,0.631578947368421,0.666666666666667,0.849462365591398,0.850574712643678,0.858695652173913,0.849462365591398,0.854054054054054,0.845714285714286
