,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.866666666666667,0.5,0.333333333333333,0.636363636363636,0.428571428571429,0.538461538461538,0.375,0.583333333333333,0.863157894736842,0.870588235294118,0.881720430107527,0.850574712643678,0.872340425531915,0.86046511627907
1,0.872222222222222,0.4,0.428571428571429,0.384615384615385,0.272727272727273,0.555555555555556,0.333333333333333,0.454545454545455,0.892857142857143,0.854166666666667,0.842696629213483,0.901098901098901,0.867052023121387,0.877005347593583
2,0.866666666666667,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.892857142857143,0.84375,0.833333333333333,0.9,0.862068965517241,0.870967741935484
3,0.827777777777778,0.55,0.583333333333333,0.5,0.636363636363636,0.444444444444444,0.608695652173913,0.470588235294118,0.829545454545455,0.826086956521739,0.820224719101124,0.835164835164835,0.824858757062147,0.830601092896175
4,0.861111111111111,0.5,0.555555555555556,0.454545454545455,0.454545454545455,0.555555555555556,0.5,0.5,0.880952380952381,0.84375,0.831460674157303,0.89010989010989,0.855491329479769,0.866310160427808
5,0.855555555555556,0.55,0.636363636363636,0.444444444444444,0.583333333333333,0.5,0.608695652173913,0.470588235294118,0.878048780487805,0.836734693877551,0.818181818181818,0.891304347826087,0.847058823529412,0.863157894736842
6,0.85,0.6,0.777777777777778,0.454545454545455,0.538461538461538,0.714285714285714,0.636363636363636,0.555555555555556,0.884615384615385,0.823529411764706,0.793103448275862,0.903225806451613,0.836363636363636,0.861538461538462
7,0.833333333333333,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.826086956521739,0.840909090909091,0.844444444444444,0.822222222222222,0.835164835164835,0.831460674157303
8,0.822222222222222,0.6,0.533333333333333,0.8,0.888888888888889,0.363636363636364,0.666666666666667,0.5,0.824175824175824,0.820224719101124,0.824175824175824,0.820224719101124,0.824175824175824,0.820224719101124
9,0.85,0.65,0.454545454545455,0.888888888888889,0.833333333333333,0.571428571428571,0.588235294117647,0.695652173913043,0.876404494382023,0.824175824175824,0.829787234042553,0.872093023255814,0.852459016393443,0.847457627118644
mean,0.8505555555555556,0.535,0.5312914862914864,0.5553302253302254,0.5636224886224885,0.5243367743367744,0.5319496500493269,0.522274419094314,0.864870145613174,0.8383915598310819,0.8319128555033272,0.8686018457874164,0.8477033636339609,0.8529188835784496
std,0.01746051787603443,0.0747217059048663,0.12347037839406536,0.16829209625386451,0.184904567942954,0.10243220675943895,0.11167520685045984,0.08060885476600543,0.027754286076107772,0.015833848364345062,0.022735315500571666,0.033607764166909235,0.017103070908904332,0.01937523528050086
min,0.822222222222222,0.4,0.333333333333333,0.384615384615385,0.272727272727273,0.363636363636364,0.333333333333333,0.421052631578947,0.824175824175824,0.820224719101124,0.793103448275862,0.820224719101124,0.824175824175824,0.820224719101124
25%,0.8374999999999998,0.5,0.454545454545455,0.44696969696969674,0.4659090909090912,0.458333333333333,0.482142857142857,0.470588235294118,0.8379485645933018,0.8246536072623027,0.821212495369799,0.8390173045345457,0.8354645354645353,0.8354599123976383
50%,0.852777777777778,0.55,0.5444444444444445,0.4772727272727275,0.5192307692307689,0.5470085470085471,0.5572755417956654,0.5,0.877226637434914,0.8388218923933211,0.830623954099928,0.8811014566828519,0.8497589199614275,0.861001788908766
75%,0.865277777777778,0.5875,0.5763888888888888,0.6136363636363633,0.6231060606060603,0.5674603174603172,0.608695652173913,0.5674603174603172,0.883699633699634,0.84375,0.8403558052434454,0.8978260869565218,0.860424556507873,0.8655220940050665
max,0.872222222222222,0.65,0.777777777777778,0.888888888888889,0.888888888888889,0.714285714285714,0.666666666666667,0.695652173913043,0.892857142857143,0.870588235294118,0.881720430107527,0.903225806451613,0.872340425531915,0.877005347593583
