,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.916666666666667,0.8,0.777777777777778,0.818181818181818,0.777777777777778,0.818181818181818,0.777777777777778,0.818181818181818,0.922222222222222,0.911111111111111,0.912087912087912,0.921348314606742,0.917127071823204,0.916201117318436
1,0.9,0.95,1.0,0.9,0.909090909090909,1.0,0.952380952380952,0.947368421052632,0.927710843373494,0.876288659793814,0.865168539325843,0.934065934065934,0.895348837209302,0.904255319148936
2,0.944444444444444,0.75,0.777777777777778,0.727272727272727,0.7,0.8,0.736842105263158,0.761904761904762,0.934782608695652,0.954545454545455,0.955555555555556,0.933333333333333,0.945054945054945,0.943820224719101
3,0.933333333333333,0.7,0.636363636363636,0.777777777777778,0.777777777777778,0.636363636363636,0.7,0.7,0.934065934065934,0.932584269662921,0.934065934065934,0.932584269662921,0.934065934065934,0.932584269662921
4,0.933333333333333,0.6,0.571428571428571,0.666666666666667,0.8,0.4,0.666666666666667,0.5,0.943181818181818,0.923913043478261,0.922222222222222,0.944444444444444,0.932584269662922,0.934065934065934
5,0.938888888888889,0.7,0.6875,0.75,0.916666666666667,0.375,0.785714285714286,0.5,0.942528735632184,0.935483870967742,0.931818181818182,0.945652173913043,0.937142857142857,0.94054054054054
6,0.9,0.85,0.777777777777778,0.909090909090909,0.875,0.833333333333333,0.823529411764706,0.869565217391304,0.893617021276596,0.906976744186046,0.91304347826087,0.886363636363636,0.903225806451613,0.896551724137931
7,0.883333333333333,0.9,0.857142857142857,0.923076923076923,0.857142857142857,0.923076923076923,0.857142857142857,0.923076923076923,0.86734693877551,0.902439024390244,0.913978494623656,0.850574712643678,0.890052356020942,0.875739644970414
8,0.916666666666667,0.85,0.909090909090909,0.777777777777778,0.833333333333333,0.875,0.869565217391304,0.823529411764706,0.910112359550562,0.923076923076923,0.920454545454545,0.91304347826087,0.915254237288136,0.918032786885246
9,0.933333333333333,0.7,0.75,0.625,0.75,0.625,0.75,0.625,0.931818181818182,0.934782608695652,0.931818181818182,0.934782608695652,0.931818181818182,0.934782608695652
mean,0.9199999999999999,0.78,0.7744859307359306,0.78748445998446,0.8196789321789322,0.728595571095571,0.7919619274101707,0.7468626553372145,0.9207386663592153,0.9201201709908169,0.9200213045232901,0.9196192905990254,0.9201674496538036,0.9196574170145112
std,0.020150326679607998,0.10852547064066471,0.12662979472524113,0.10164897924342221,0.07081149105972191,0.21324361484515164,0.08576240667525625,0.1620800162149459,0.024097249772543787,0.021864099624654777,0.023333974171745722,0.02982936615350121,0.018955860865881947,0.021954195308286108
min,0.883333333333333,0.6,0.571428571428571,0.625,0.7,0.375,0.666666666666667,0.5,0.86734693877551,0.876288659793814,0.865168539325843,0.850574712643678,0.890052356020942,0.875739644970414
25%,0.9041666666666668,0.7,0.703125,0.7329545454545452,0.777777777777778,0.627840909090909,0.7401315789473685,0.64375,0.913139825218477,0.9080103359173123,0.9132772323515664,0.915119687347338,0.9062329141607437,0.907241768691311
50%,0.925,0.775,0.777777777777778,0.777777777777778,0.8166666666666665,0.8090909090909091,0.7817460317460321,0.79004329004329,0.929764512595838,0.923494983277592,0.9213383838383835,0.9329588014981269,0.924472626820693,0.9253085282740835
75%,0.933333333333333,0.85,0.8373015873015872,0.8795454545454545,0.8705357142857142,0.8645833333333333,0.8487394957983192,0.8580562659846545,0.9346034400382225,0.9342330239374692,0.931818181818182,0.9346034400382225,0.9336955179651809,0.9346034400382225
max,0.944444444444444,0.95,1.0,0.923076923076923,0.916666666666667,1.0,0.952380952380952,0.947368421052632,0.943181818181818,0.954545454545455,0.955555555555556,0.945652173913043,0.945054945054945,0.943820224719101
