,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.855555555555556,0.5,0.666666666666667,0.363636363636364,0.461538461538462,0.571428571428571,0.545454545454546,0.444444444444444,0.867469879518072,0.845360824742268,0.827586206896552,0.881720430107527,0.847058823529412,0.863157894736842
1,0.85,0.6,0.4,0.8,0.666666666666667,0.571428571428571,0.5,0.666666666666667,0.845360824742268,0.855421686746988,0.872340425531915,0.825581395348837,0.858638743455497,0.840236686390533
2,0.827777777777778,0.5,0.555555555555556,0.454545454545455,0.454545454545455,0.555555555555556,0.5,0.5,0.808510638297872,0.848837209302326,0.853932584269663,0.802197802197802,0.830601092896175,0.824858757062147
3,0.883333333333333,0.65,0.583333333333333,0.75,0.777777777777778,0.545454545454545,0.666666666666667,0.631578947368421,0.880434782608696,0.886363636363636,0.89010989010989,0.876404494382023,0.885245901639344,0.88135593220339
4,0.833333333333333,0.65,0.6,0.8,0.9,0.4,0.72,0.533333333333333,0.8125,0.857142857142857,0.866666666666667,0.8,0.838709677419355,0.827586206896552
5,0.85,0.6,0.454545454545455,0.777777777777778,0.714285714285714,0.538461538461538,0.555555555555556,0.636363636363636,0.866666666666667,0.833333333333333,0.838709677419355,0.862068965517241,0.852459016393443,0.847457627118644
6,0.844444444444444,0.55,0.636363636363636,0.444444444444444,0.583333333333333,0.5,0.608695652173913,0.470588235294118,0.857142857142857,0.833333333333333,0.818181818181818,0.869565217391304,0.837209302325581,0.851063829787234
7,0.872222222222222,0.55,0.615384615384615,0.428571428571429,0.666666666666667,0.375,0.64,0.4,0.865168539325843,0.879120879120879,0.875,0.869565217391304,0.870056497175141,0.87431693989071
8,0.866666666666667,0.5,0.571428571428571,0.333333333333333,0.666666666666667,0.25,0.615384615384615,0.285714285714286,0.880952380952381,0.854166666666667,0.840909090909091,0.891304347826087,0.86046511627907,0.872340425531915
9,0.894444444444444,0.7,0.625,0.75,0.625,0.75,0.625,0.75,0.89247311827957,0.896551724137931,0.902173913043478,0.886363636363636,0.897297297297297,0.891428571428571
mean,0.8577777777777778,0.58,0.5708277833277833,0.5902308802308803,0.6516480741480744,0.505732878232878,0.5976757035235296,0.5318689549184905,0.8576679687534228,0.8589632150890217,0.8585610273028429,0.856477150652576,0.8577741468410316,0.8573802871046539
std,0.021308370168359212,0.07149203529842404,0.08322973585377992,0.1992685992230225,0.1343939733548704,0.13627270375599274,0.07170792371693725,0.14024204700325002,0.02811392053480151,0.021628726305910628,0.027366315546736,0.03432651253050916,0.02145649903500207,0.022744354400966924
min,0.827777777777778,0.5,0.4,0.333333333333333,0.454545454545455,0.25,0.5,0.285714285714286,0.808510638297872,0.833333333333333,0.818181818181818,0.8,0.830601092896175,0.824858757062147
25%,0.845833333333333,0.5125,0.5595238095238098,0.4325396825396827,0.5937499999999998,0.42500000000000004,0.5479797979797985,0.4509803921568625,0.8483063328424153,0.8462299208822825,0.8392595307917889,0.834703287890938,0.8407969639468692,0.8420419215725607
50%,0.852777777777778,0.575,0.5916666666666666,0.6022727272727275,0.666666666666667,0.5419580419580414,0.612040133779264,0.5166666666666665,0.865917602996255,0.8547941767068274,0.860299625468165,0.869565217391304,0.8555488799244699,0.857110862262038
75%,0.8708333333333332,0.6375,0.6225961538461537,0.7708333333333335,0.7023809523809522,0.5674603174603172,0.63625,0.6351674641148323,0.8771935568360401,0.8736263736263735,0.8743351063829787,0.880391446176151,0.8676586519511232,0.8738228113010112
max,0.894444444444444,0.7,0.666666666666667,0.8,0.9,0.75,0.72,0.75,0.89247311827957,0.896551724137931,0.902173913043478,0.891304347826087,0.897297297297297,0.891428571428571
