,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.768518518518518,0.375,0.357142857142857,0.4,0.454545454545455,0.307692307692308,0.4,0.347826086956522,0.775700934579439,0.761467889908257,0.761467889908257,0.775700934579439,0.768518518518518,0.768518518518518
1,0.731481481481482,0.5,0.384615384615385,0.636363636363636,0.555555555555556,0.466666666666667,0.454545454545455,0.538461538461539,0.752380952380952,0.711711711711712,0.711711711711712,0.752380952380952,0.731481481481482,0.731481481481482
2,0.726851851851852,0.666666666666667,0.6,0.777777777777778,0.818181818181818,0.538461538461538,0.692307692307692,0.636363636363636,0.708333333333333,0.75,0.779816513761468,0.672897196261682,0.74235807860262,0.70935960591133
3,0.731481481481482,0.291666666666667,0.2,0.444444444444444,0.375,0.25,0.260869565217391,0.32,0.741071428571429,0.721153846153846,0.741071428571429,0.721153846153846,0.741071428571429,0.721153846153846
4,0.703703703703704,0.25,0.4,0.142857142857143,0.25,0.25,0.307692307692308,0.181818181818182,0.712765957446808,0.69672131147541,0.644230769230769,0.758928571428571,0.676767676767677,0.726495726495726
5,0.685185185185185,0.458333333333333,0.571428571428571,0.411764705882353,0.285714285714286,0.7,0.380952380952381,0.518518518518518,0.686274509803922,0.684210526315789,0.660377358490566,0.709090909090909,0.673076923076923,0.696428571428572
6,0.717592592592593,0.5,0.625,0.4375,0.357142857142857,0.7,0.454545454545455,0.538461538461538,0.727272727272727,0.709401709401709,0.679245283018868,0.754545454545455,0.702439024390244,0.731277533039648
7,0.74537037037037,0.416666666666667,0.4,0.444444444444444,0.545454545454545,0.307692307692308,0.461538461538462,0.363636363636364,0.759615384615385,0.732142857142857,0.724770642201835,0.766355140186916,0.741784037558685,0.748858447488584
8,0.708333333333333,0.5,0.533333333333333,0.444444444444444,0.615384615384615,0.363636363636364,0.571428571428572,0.4,0.734042553191489,0.688524590163934,0.644859813084112,0.770642201834862,0.686567164179104,0.727272727272727
9,0.75,0.458333333333333,0.5,0.4,0.538461538461538,0.363636363636364,0.518518518518519,0.380952380952381,0.791208791208791,0.72,0.672897196261682,0.825688073394495,0.727272727272727,0.769230769230769
mean,0.726851851851852,0.4416666666666667,0.4571520146520146,0.4539596596214242,0.47954406704406705,0.42477855477855486,0.4502398406746235,0.422603824516868,0.7388666572404274,0.7175334442273513,0.7020448606240699,0.7507383279857127,0.7191337060419408,0.7330077227021202
std,0.02440029058771888,0.11817804103434802,0.13216169649183007,0.16433718809649794,0.1711134447179171,0.17067263092636947,0.12543965375652516,0.13398126863011126,0.032061790023125834,0.02517059999485215,0.04879742165506251,0.0416785429094065,0.032397948039606904,0.023434951476021728
min,0.685185185185185,0.25,0.2,0.142857142857143,0.25,0.25,0.260869565217391,0.181818181818182,0.686274509803922,0.684210526315789,0.644230769230769,0.672897196261682,0.673076923076923,0.696428571428572
25%,0.710648148148148,0.38541666666666674,0.38846153846153875,0.40294117647058825,0.36160714285714274,0.307692307692308,0.38571428571428573,0.3517786561264825,0.7163926499032878,0.6998914109569848,0.663507317933345,0.7289606227106226,0.690535129231889,0.722489316239316
50%,0.729166666666667,0.458333333333333,0.45,0.440972222222222,0.49650349650349646,0.363636363636364,0.454545454545455,0.39047619047619053,0.737556990881459,0.715855855855856,0.69547849736529,0.756737012987013,0.7293771043771045,0.7292751301561875
75%,0.741898148148148,0.5,0.5619047619047615,0.444444444444444,0.5530303030303032,0.5205128205128202,0.5042735042735048,0.5334757834757831,0.7578067765567768,0.7293956043956042,0.7369962319790305,0.7695704364228755,0.741605885311871,0.7445142059868085
max,0.768518518518518,0.666666666666667,0.625,0.777777777777778,0.818181818181818,0.7,0.692307692307692,0.636363636363636,0.791208791208791,0.761467889908257,0.779816513761468,0.825688073394495,0.768518518518518,0.769230769230769
