,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.516666666666667,0.5,0.0,0.5,0.0,1.0,0.0,0.666666666666667,1.0,0.508474576271186,0.0333333333333333,1.0,0.0645161290322581,0.674157303370786
1,0.522222222222222,0.55,0.526315789473684,1.0,1.0,0.1,0.689655172413793,0.181818181818182,0.511494252873563,0.833333333333333,0.988888888888889,0.0555555555555556,0.674242424242424,0.104166666666667
2,0.55,0.45,0.473684210526316,0.0,0.9,0.0,0.620689655172414,0.0,0.527950310559006,0.736842105263158,0.944444444444444,0.155555555555556,0.677290836653387,0.256880733944954
3,0.527777777777778,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,0.515723270440252,0.619047619047619,0.911111111111111,0.144444444444444,0.65863453815261,0.234234234234234
4,0.483333333333333,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.484536082474227,0.481927710843373,0.522222222222222,0.444444444444444,0.502673796791444,0.46242774566474
5,0.505555555555556,0.55,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118,0.50561797752809,0.505494505494505,0.5,0.511111111111111,0.502793296089385,0.508287292817679
6,0.538888888888889,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.523809523809524,0.606060606060606,0.855555555555556,0.222222222222222,0.649789029535865,0.32520325203252
7,0.55,0.55,0.666666666666667,0.529411764705882,0.2,0.9,0.307692307692308,0.666666666666667,0.591836734693878,0.534351145038168,0.322222222222222,0.777777777777778,0.41726618705036,0.633484162895928
8,0.588888888888889,0.55,0.6,0.533333333333333,0.3,0.8,0.4,0.64,0.637931034482759,0.565573770491803,0.411111111111111,0.766666666666667,0.5,0.650943396226415
9,0.527777777777778,0.45,0.0,0.473684210526316,0.0,0.9,0.0,0.620689655172414,0.777777777777778,0.514619883040936,0.0777777777777778,0.977777777777778,0.141414141414141,0.674329501915709
mean,0.5311111111111111,0.505,0.4249572649572649,0.5062403334539558,0.51,0.5,0.42739758952218515,0.4264286548475191,0.6076676964639076,0.5905725254884688,0.5566666666666666,0.5055555555555555,0.4788620378961874,0.45241142897696324
std,0.028592976393509342,0.04377975178854568,0.23271690197796543,0.23791861883437013,0.3784471194529326,0.3771236166328254,0.2560829434273271,0.23921209696406007,0.1635353404228737,0.11387855868467672,0.3552641552808766,0.3573354370062763,0.21858531366763828,0.21006175161389515
min,0.483333333333333,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.484536082474227,0.481927710843373,0.0333333333333333,0.0555555555555556,0.0645161290322581,0.104166666666667
25%,0.5180555555555558,0.4625,0.45175438596491196,0.480263157894737,0.225,0.15,0.330769230769231,0.2301136363636365,0.5125515072652352,0.5100109029636235,0.3444444444444443,0.1722222222222225,0.43794964028777,0.27396136346684546
50%,0.527777777777778,0.5,0.5,0.5,0.55,0.45,0.50219298245614,0.473389355742297,0.525879917184265,0.5499624577649855,0.5111111111111111,0.47777777777777747,0.5027335464404145,0.4853575192412095
75%,0.5472222222222223,0.55,0.5354251012145745,0.5323529411764703,0.85,0.875,0.6176911544227888,0.6351724137931035,0.6264074595355388,0.6158008658008657,0.8972222222222223,0.7750000000000002,0.6564231609984237,0.6465785878937932
max,0.588888888888889,0.55,0.666666666666667,1.0,1.0,1.0,0.689655172413793,0.666666666666667,1.0,0.833333333333333,0.988888888888889,1.0,0.677290836653387,0.674329501915709
