,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.555555555555556,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.551020408163265,0.560975609756098,0.6,0.511111111111111,0.574468085106383,0.534883720930233
1,0.55,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.540540540540541,0.565217391304348,0.666666666666667,0.433333333333333,0.597014925373134,0.490566037735849
2,0.527777777777778,0.6,0.5625,0.75,0.9,0.3,0.692307692307692,0.428571428571428,0.51937984496124,0.549019607843137,0.744444444444444,0.311111111111111,0.611872146118722,0.397163120567376
3,0.522222222222222,0.55,0.526315789473684,1.0,1.0,0.1,0.689655172413793,0.181818181818182,0.511494252873563,0.833333333333333,0.988888888888889,0.0555555555555556,0.674242424242424,0.104166666666667
4,0.516666666666667,0.45,0.473684210526316,0.0,0.9,0.0,0.620689655172414,0.0,0.508670520231214,0.714285714285714,0.977777777777778,0.0555555555555556,0.669201520912548,0.103092783505155
5,0.533333333333333,0.45,0.461538461538462,0.428571428571429,0.6,0.3,0.521739130434783,0.352941176470588,0.528846153846154,0.539473684210526,0.611111111111111,0.455555555555556,0.567010309278351,0.493975903614458
6,0.477777777777778,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,0.487341772151899,0.409090909090909,0.855555555555556,0.1,0.620967741935484,0.160714285714286
7,0.511111111111111,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.506756756756757,0.53125,0.833333333333333,0.188888888888889,0.630252100840336,0.278688524590164
8,0.522222222222222,0.6,0.571428571428571,0.666666666666667,0.8,0.4,0.666666666666667,0.5,0.513157894736842,0.571428571428571,0.866666666666667,0.177777777777778,0.644628099173554,0.271186440677966
9,0.533333333333333,0.3,0.333333333333333,0.25,0.4,0.2,0.363636363636364,0.222222222222222,0.521739130434783,0.571428571428571,0.8,0.266666666666667,0.631578947368421,0.363636363636364
mean,0.5250000000000001,0.51,0.514308608058608,0.5210622710622711,0.75,0.27,0.5985787117606504,0.32145385163287965,0.518894727469626,0.5845503392681207,0.7944444444444445,0.25555555555555565,0.6221236300349358,0.31980738476385173
std,0.021635780454718367,0.10219806477837261,0.09760670913278648,0.27623605755435454,0.1957890020745122,0.22135943621178658,0.09920726954280233,0.1972523931379814,0.01808341612171778,0.11397826961945001,0.13830742481361372,0.16826395098667474,0.03596298691506924,0.16209990708204117
min,0.477777777777778,0.3,0.333333333333333,0.0,0.4,0.0,0.363636363636364,0.0,0.487341772151899,0.409090909090909,0.6,0.0555555555555556,0.567010309278351,0.103092783505155
25%,0.5180555555555558,0.45,0.46842105263157924,0.40714285714285725,0.625,0.125,0.5670588235294118,0.191919191919192,0.5093764533918013,0.5418601651186787,0.6861111111111112,0.1194444444444445,0.6007292305595311,0.188332324455206
50%,0.525,0.525,0.513157894736842,0.55,0.8,0.25,0.630344827586207,0.30980392156862746,0.516268869849041,0.563096500530223,0.8166666666666665,0.227777777777778,0.62560992138791,0.321162444113264
75%,0.533333333333333,0.5875,0.5552083333333333,0.653846153846154,0.9,0.3,0.660714285714286,0.421428571428571,0.5270693979933112,0.571428571428571,0.8638888888888893,0.4027777777777775,0.6413658112222708,0.46721530844373077
max,0.555555555555556,0.65,0.714285714285714,1.0,1.0,0.8,0.692307692307692,0.695652173913043,0.551020408163265,0.833333333333333,0.988888888888889,0.511111111111111,0.674242424242424,0.534883720930233
