train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.56,0.525,0.666666666666667,0.513513513513513,0.1,0.95,0.173913043478261,0.666666666666667,0.54,0.62,0.81,0.31,0.648,0.413333333333333
0.475,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.472527472527473,0.477064220183486,0.43,0.52,0.450261780104712,0.497607655502392
0.565,0.5,0.5,0.5,0.15,0.85,0.230769230769231,0.62962962962963,0.54421768707483,0.622641509433962,0.8,0.33,0.647773279352227,0.431372549019608
0.525,0.55,0.75,0.527777777777778,0.15,0.95,0.25,0.678571428571428,0.619047619047619,0.513966480446927,0.13,0.92,0.214876033057851,0.659498207885305
0.89,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.836206896551724,0.964285714285714,0.97,0.81,0.898148148148148,0.880434782608696
0.695,0.45,0.472222222222222,0.25,0.85,0.05,0.607142857142857,0.0833333333333333,0.629139072847682,0.897959183673469,0.95,0.44,0.756972111553785,0.590604026845638
0.525,0.45,0.473684210526316,0,0.9,0,0.620689655172414,0,0.714285714285714,0.513274336283186,0.0833333333333333,0.966666666666667,0.149253731343284,0.670520231213873
0.55,0.55,0.526315789473684,1,1,0.1,0.689655172413793,0.181818181818182,0.527173913043478,0.8125,0.97,0.13,0.683098591549296,0.224137931034483
0.525,0.525,0.666666666666667,0.513513513513513,0.1,0.95,0.173913043478261,0.666666666666667,0.75,0.513157894736842,0.075,0.975,0.136363636363636,0.672413793103448
0.53,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,1,0.515463917525773,0.06,1,0.113207547169811,0.680272108843537
0.535,0.575,0.542857142857143,0.8,0.95,0.2,0.690909090909091,0.32,0.519553072625698,0.666666666666667,0.93,0.14,0.666666666666667,0.231404958677686
0.545,0.525,0.6,0.514285714285714,0.15,0.9,0.24,0.654545454545455,0.846153846153846,0.524064171122995,0.11,0.98,0.194690265486726,0.682926829268293
0.49,0.425,0.444444444444444,0.384615384615385,0.6,0.25,0.51063829787234,0.303030303030303,0.492307692307692,0.485714285714286,0.64,0.34,0.556521739130435,0.4
0.57,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.594594594594595,0.555555555555556,0.44,0.7,0.505747126436782,0.619469026548673
0.575,0.5,0,0.5,0,1,0,0.666666666666667,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485
0.515,0.425,0,0.459459459459459,0,0.85,0,0.596491228070175,0.588235294117647,0.508196721311475,0.1,0.93,0.170940170940171,0.657243816254417
0.585,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.585858585858586,0.584158415841584,0.58,0.59,0.582914572864322,0.587064676616915
0.525,0.525,0.515151515151515,0.571428571428571,0.85,0.2,0.641509433962264,0.296296296296296,0.512953367875648,0.857142857142857,0.99,0.06,0.675767918088737,0.11214953271028
0.515,0.5,0.5,0,1,0,0.666666666666667,0,0.50761421319797,1,1,0.03,0.673400673400673,0.058252427184466
0.545,0.475,0.483870967741935,0.444444444444444,0.75,0.2,0.588235294117647,0.275862068965517,0.525714285714286,0.68,0.92,0.17,0.669090909090909,0.272
0.625,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.601626016260163,0.662337662337662,0.74,0.51,0.663677130044843,0.576271186440678
0.545,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.539823008849557,0.551724137931034,0.61,0.48,0.572769953051643,0.513368983957219
0.51,0.55,0.526315789473684,1,1,0.1,0.689655172413793,0.181818181818182,0.505050505050505,1,1,0.02,0.671140939597315,0.0392156862745098
0.535,0.45,0.46875,0.375,0.75,0.15,0.576923076923077,0.214285714285714,0.518324607329843,0.888888888888889,0.99,0.08,0.680412371134021,0.146788990825688
0.615,0.45,0,0.473684210526316,0,0.9,0,0.620689655172414,0.589147286821705,0.661971830985915,0.76,0.47,0.663755458515284,0.549707602339181
0.62,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.607142857142857,0.636363636363636,0.68,0.56,0.641509433962264,0.595744680851064
0.505,0.55,0.527777777777778,0.75,0.95,0.15,0.678571428571428,0.25,0.502673796791444,0.538461538461538,0.94,0.07,0.655052264808362,0.123893805309735
0.54,0.525,0.517241379310345,0.545454545454545,0.75,0.3,0.612244897959184,0.387096774193548,0.523809523809524,0.625,0.88,0.2,0.656716417910448,0.303030303030303
0.51,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.509433962264151,0.51063829787234,0.54,0.48,0.524271844660194,0.494845360824742
0.545,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.531034482758621,0.581818181818182,0.77,0.32,0.628571428571429,0.412903225806452
0.62,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.666666666666667,0.59375,0.48,0.76,0.558139534883721,0.666666666666667
0.52,0.525,0.516129032258065,0.555555555555556,0.8,0.25,0.627450980392157,0.344827586206897,0.51063829787234,0.666666666666667,0.96,0.08,0.666666666666667,0.142857142857143
0.625,0.475,0.483870967741935,0.444444444444444,0.75,0.2,0.588235294117647,0.275862068965517,0.650602409638554,0.606837606837607,0.54,0.71,0.590163934426229,0.654377880184332
0.58,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.625,0.558823529411765,0.4,0.76,0.487804878048781,0.64406779661017
0.565,0.45,0.375,0.46875,0.15,0.75,0.214285714285714,0.576923076923077,0.565656565656566,0.564356435643564,0.56,0.57,0.562814070351759,0.567164179104478
0.505,0.375,0.307692307692308,0.407407407407407,0.2,0.55,0.242424242424242,0.468085106382979,0.545454545454545,0.502645502645503,0.06,0.95,0.108108108108108,0.657439446366782
0.52,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.526315789473684,0.516129032258065,0.4,0.64,0.454545454545455,0.571428571428571
