,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.80625,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.7875,0.825,0.818181818181818,0.795180722891566,0.802547770700637,0.809815950920245
1,0.8375,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.849315068493151,0.827586206896552,0.805194805194805,0.867469879518072,0.826666666666667,0.847058823529412
2,0.90625,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.930555555555556,0.886363636363636,0.87012987012987,0.939759036144578,0.899328859060403,0.912280701754386
3,0.84375,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.848101265822785,0.839506172839506,0.8375,0.85,0.842767295597484,0.84472049689441
4,1.0,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,1.0,1.0,1.0,1.0,1.0,1.0
5,0.975,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.963855421686747,0.987012987012987,0.987654320987654,0.962025316455696,0.975609756097561,0.974358974358974
6,0.869791666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.848484848484849,0.89247311827957,0.893617021276596,0.846938775510204,0.870466321243523,0.869109947643979
7,0.825,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.815789473684211,0.833333333333333,0.815789473684211,0.833333333333333,0.81578947368421,0.833333333333333
8,0.729166666666667,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.715789473684211,0.742268041237113,0.731182795698925,0.727272727272727,0.723404255319149,0.73469387755102
9,0.8875,0.6,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556,0.890243902439024,0.884615384615385,0.890243902439024,0.884615384615385,0.890243902439024,0.884615384615385
10,0.875,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.875,0.875,0.875,0.875,0.875,0.875
11,0.8875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.897435897435897,0.878048780487805,0.875,0.9,0.886075949367089,0.888888888888889
12,0.78125,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.782051282051282,0.780487804878049,0.772151898734177,0.790123456790123,0.777070063694267,0.785276073619632
13,0.8625,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.860759493670886,0.864197530864197,0.860759493670886,0.864197530864197,0.860759493670886,0.864197530864197
14,0.81875,0.575,0.542857142857143,0.8,0.95,0.2,0.690909090909091,0.32,0.804878048780488,0.833333333333333,0.835443037974684,0.802469135802469,0.819875776397516,0.817610062893082
15,0.88125,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.858823529411765,0.906666666666667,0.9125,0.85,0.884848484848485,0.87741935483871
16,0.875,0.375,0.391304347826087,0.352941176470588,0.45,0.3,0.418604651162791,0.324324324324324,0.896103896103896,0.855421686746988,0.851851851851852,0.89873417721519,0.873417721518987,0.876543209876543
17,0.875,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.847058823529412,0.906666666666667,0.911392405063291,0.839506172839506,0.878048780487805,0.871794871794872
18,0.85625,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.841463414634146,0.871794871794872,0.873417721518987,0.839506172839506,0.857142857142857,0.855345911949686
19,0.88125,0.5,0.5,0.5,0.25,0.75,0.333333333333333,0.6,0.870588235294118,0.893333333333333,0.902439024390244,0.858974358974359,0.88622754491018,0.875816993464052
20,0.9125,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.917647058823529,0.906666666666667,0.917647058823529,0.906666666666667,0.917647058823529,0.906666666666667
21,0.86875,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.852272727272727,0.888888888888889,0.903614457831325,0.831168831168831,0.87719298245614,0.859060402684564
22,0.9125,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.901234567901235,0.924050632911392,0.924050632911392,0.901234567901235,0.9125,0.9125
23,0.89375,0.425,0.4,0.44,0.3,0.55,0.342857142857143,0.488888888888889,0.87012987012987,0.91566265060241,0.905405405405405,0.883720930232558,0.887417218543046,0.899408284023669
24,0.81875,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.847222222222222,0.795454545454545,0.772151898734177,0.864197530864197,0.80794701986755,0.828402366863905
25,0.98125,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.975,0.9875,0.987341772151899,0.975308641975309,0.981132075471698,0.981366459627329
26,0.80625,0.375,0.391304347826087,0.352941176470588,0.45,0.3,0.418604651162791,0.324324324324324,0.831168831168831,0.783132530120482,0.780487804878049,0.833333333333333,0.805031446540881,0.807453416149068
27,0.88125,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.911392405063291,0.851851851851852,0.857142857142857,0.907894736842105,0.883435582822086,0.878980891719745
28,0.86875,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.884615384615385,0.853658536585366,0.851851851851852,0.886075949367089,0.867924528301887,0.869565217391304
29,0.89375,0.55,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118,0.86046511627907,0.932432432432432,0.936708860759494,0.851851851851852,0.896969696969697,0.890322580645161
30,0.88125,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.869047619047619,0.894736842105263,0.901234567901235,0.860759493670886,0.884848484848485,0.87741935483871
31,0.8875,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.896103896103896,0.879518072289157,0.873417721518987,0.901234567901235,0.884615384615385,0.890243902439024
32,0.7625,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.75,0.777777777777778,0.804878048780488,0.717948717948718,0.776470588235294,0.746666666666667
33,0.8875,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.871794871794872,0.902439024390244,0.894736842105263,0.880952380952381,0.883116883116883,0.891566265060241
34,0.94375,0.4,0.4375,0.25,0.7,0.1,0.538461538461538,0.142857142857143,0.950617283950617,0.936708860759494,0.939024390243902,0.948717948717949,0.94478527607362,0.942675159235669
