,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.9875,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.988095238095238,0.986842105263158,0.988095238095238,0.986842105263158,0.988095238095238,0.986842105263158
1,0.98,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,1.0,0.961538461538462,0.96,1.0,0.979591836734694,0.980392156862745
2,0.9875,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.987179487179487,0.98780487804878,0.987179487179487,0.98780487804878,0.987179487179487,0.98780487804878
3,0.98125,0.7,0.681818181818182,0.722222222222222,0.75,0.65,0.714285714285714,0.684210526315789,0.988095238095238,0.973684210526316,0.976470588235294,0.986666666666667,0.982248520710059,0.980132450331126
4,0.9625,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.986666666666667,0.941176470588235,0.936708860759494,0.987654320987654,0.961038961038961,0.963855421686747
5,0.9875,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,1.0,0.975903614457831,0.974683544303797,1.0,0.987179487179487,0.98780487804878
6,0.975,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.975903614457831,0.974025974025974,0.975903614457831,0.974025974025974,0.975903614457831,0.974025974025974
7,0.975,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.963855421686747,0.987012987012987,0.987654320987654,0.962025316455696,0.975609756097561,0.974358974358974
8,0.9875,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.988372093023256,0.986486486486487,0.988372093023256,0.986486486486487,0.988372093023256,0.986486486486487
9,0.96875,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.975,0.9625,0.962962962962963,0.974683544303797,0.968944099378882,0.968553459119497
mean,0.9792500000000001,0.5525,0.559270843890409,0.5506903347197465,0.51,0.595,0.5291570431472512,0.5687824095578169,0.9853167759204465,0.973697518794823,0.9738030710005017,0.9846189292238213,0.9794163093895456,0.9790256784232267
std,0.008842762263254887,0.06503204338375557,0.07221672499078408,0.06794482175532406,0.11005049346146119,0.10124228365658294,0.07833314073999716,0.06926180164984316,0.011139987549227875,0.015086703940274431,0.016611991612251787,0.011673978524115195,0.009179318191431656,0.008567252395621625
min,0.9625,0.475,0.473684210526316,0.476190476190476,0.4,0.45,0.444444444444444,0.486486486486486,0.963855421686747,0.941176470588235,0.936708860759494,0.962025316455696,0.961038961038961,0.963855421686747
25%,0.975,0.525,0.5228832951945083,0.5209523809523811,0.45,0.5125,0.4711538461538465,0.5288831835686775,0.9785943775100401,0.965296052631579,0.9658931082981715,0.9776342798494695,0.9756832206876285,0.974109224109224
50%,0.980625,0.5375000000000001,0.539393939393939,0.5355392156862745,0.475,0.6,0.5195681511470984,0.558441558441558,0.9876373626373625,0.9749647942419025,0.9761871013465625,0.9867543859649125,0.9809201787223765,0.9802623035969354
75%,0.9875,0.55,0.5607638888888891,0.5530303030303032,0.575,0.65,0.5549682875264272,0.5876262626262627,0.9883028792912515,0.9867532005689902,0.9875356125356123,0.9877672387834986,0.987179487179487,0.9867532005689902
max,0.9875,0.7,0.692307692307692,0.722222222222222,0.75,0.8,0.714285714285714,0.684210526315789,1.0,0.98780487804878,0.988372093023256,1.0,0.988372093023256,0.98780487804878
