,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.85,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.858974358974359,0.841463414634146,0.8375,0.8625,0.848101265822785,0.851851851851852
1,0.775,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.789473684210526,0.761904761904762,0.75,0.8,0.769230769230769,0.780487804878049
2,0.8625,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.881578947368421,0.845238095238095,0.8375,0.8875,0.858974358974359,0.865853658536585
3,0.8375,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.818181818181818,0.855421686746988,0.84,0.835294117647059,0.828947368421053,0.845238095238095
4,0.86875,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.860759493670886,0.876543209876543,0.871794871794872,0.865853658536585,0.866242038216561,0.871165644171779
5,0.85625,0.375,0.380952380952381,0.368421052631579,0.4,0.35,0.390243902439024,0.358974358974359,0.881578947368421,0.833333333333333,0.827160493827161,0.886075949367089,0.853503184713376,0.858895705521472
6,0.90625,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.923076923076923,0.890243902439024,0.888888888888889,0.924050632911392,0.905660377358491,0.906832298136646
7,0.85,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.891891891891892,0.813953488372093,0.804878048780488,0.897435897435897,0.846153846153846,0.853658536585366
8,0.825,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.804878048780488,0.846153846153846,0.846153846153846,0.804878048780488,0.825,0.825
9,0.85,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.861111111111111,0.840909090909091,0.815789473684211,0.880952380952381,0.837837837837838,0.86046511627907
mean,0.8481249999999999,0.49750000000000005,0.49725586611456185,0.4980444225537104,0.475,0.52,0.48272070743294676,0.5061981824910887,0.8571505224634846,0.8405164829607921,0.8319665623129466,0.864454068563089,0.8439651046729079,0.8519448711198914
std,0.033469772847219095,0.05583955189250318,0.05536536094578099,0.05835476944419078,0.0978945010372561,0.09486832980505139,0.07049588824655975,0.06573389124039494,0.04164654461290947,0.03493648795310588,0.03784559258314657,0.04009720906864155,0.03471901725753296,0.03261985650435815
min,0.775,0.375,0.380952380952381,0.368421052631579,0.35,0.35,0.388888888888889,0.358974358974359,0.789473684210526,0.761904761904762,0.75,0.8,0.769230769230769,0.780487804878049
25%,0.840625,0.48124999999999996,0.482142857142857,0.480263157894737,0.4,0.4625,0.423109243697479,0.480263157894737,0.8283799533799533,0.8352272727272725,0.8186322287199485,0.8420955882352943,0.8311699857752493,0.8468915343915342
50%,0.85,0.5,0.5,0.5,0.5,0.5,0.49390243902439,0.5064102564102565,0.8609353023909985,0.8433507549361206,0.8375,0.8734030197444831,0.8471275559883156,0.856277121053419
75%,0.8609375,0.525,0.5309523809523807,0.524736842105263,0.5375000000000001,0.5875,0.525689223057644,0.5590481786133961,0.881578947368421,0.8531047265987025,0.8446153846153845,0.8871439873417722,0.8576065654091133,0.8645065229722062
max,0.90625,0.575,0.565217391304348,0.588235294117647,0.65,0.65,0.604651162790698,0.577777777777778,0.923076923076923,0.890243902439024,0.888888888888889,0.924050632911392,0.905660377358491,0.906832298136646
