train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.77,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.759615384615385,0.78125,0.79,0.75,0.774509803921569,0.76530612244898
0.775,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.777777777777778,0.772277227722772,0.77,0.78,0.773869346733668,0.776119402985075
0.905,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.926315789473684,0.885714285714286,0.88,0.93,0.902564102564102,0.907317073170732
0.805,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.796116504854369,0.814432989690722,0.82,0.79,0.807881773399015,0.802030456852792
1,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,1,1,1,1,1,1
0.975,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.97979797979798,0.97029702970297,0.97,0.98,0.974874371859296,0.975124378109453
0.7625,0.4,0.441176470588235,0.166666666666667,0.75,0.05,0.555555555555556,0.0769230769230769,0.733333333333333,0.8,0.825,0.7,0.776470588235294,0.746666666666667
0.765,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.762376237623762,0.767676767676768,0.77,0.76,0.766169154228856,0.763819095477387
0.695833333333333,0.375,0.333333333333333,0.4,0.25,0.5,0.285714285714286,0.444444444444444,0.704347826086957,0.688,0.675,0.716666666666667,0.68936170212766,0.702040816326531
0.885,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.913978494623656,0.85981308411215,0.85,0.92,0.880829015544041,0.888888888888889
0.835,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.801801801801802,0.876404494382023,0.89,0.78,0.843601895734597,0.825396825396825
0.89,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.882352941176471,0.897959183673469,0.9,0.88,0.891089108910891,0.888888888888889
0.87,0.475,0.485714285714286,0.4,0.85,0.1,0.618181818181818,0.16,0.862745098039216,0.877551020408163,0.88,0.86,0.871287128712871,0.868686868686869
0.875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.912087912087912,0.844036697247706,0.83,0.92,0.869109947643979,0.880382775119617
0.78,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.764150943396226,0.797872340425532,0.81,0.75,0.786407766990291,0.77319587628866
0.78,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.774509803921569,0.785714285714286,0.79,0.77,0.782178217821782,0.777777777777778
0.825,0.375,0.368421052631579,0.380952380952381,0.35,0.4,0.358974358974359,0.390243902439024,0.803738317757009,0.849462365591398,0.86,0.79,0.830917874396135,0.818652849740933
0.815,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.788990825688073,0.846153846153846,0.86,0.77,0.822966507177034,0.806282722513089
0.81,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.798076923076923,0.822916666666667,0.83,0.79,0.813725490196079,0.806122448979592
0.86,0.325,0.315789473684211,0.333333333333333,0.3,0.35,0.307692307692308,0.341463414634146,0.86734693877551,0.852941176470588,0.85,0.87,0.858585858585858,0.861386138613861
0.865,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.861386138613861,0.868686868686869,0.87,0.86,0.865671641791045,0.864321608040201
0.87,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.885416666666667,0.855769230769231,0.85,0.89,0.86734693877551,0.872549019607843
0.89,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,0.89,0.89,0.89,0.89,0.89,0.89
0.85,0.4,0.388888888888889,0.409090909090909,0.35,0.45,0.368421052631579,0.428571428571429,0.830188679245283,0.872340425531915,0.88,0.82,0.854368932038835,0.845360824742268
0.755,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.768421052631579,0.742857142857143,0.73,0.78,0.748717948717949,0.760975609756098
0.98,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.970588235294118,0.989795918367347,0.99,0.97,0.98019801980198,0.97979797979798
0.83,0.375,0.368421052631579,0.380952380952381,0.35,0.4,0.358974358974359,0.390243902439024,0.817307692307692,0.84375,0.85,0.81,0.833333333333333,0.826530612244898
0.85,0.425,0.451612903225806,0.333333333333333,0.7,0.15,0.549019607843137,0.206896551724138,0.85,0.85,0.85,0.85,0.85,0.85
0.835,0.475,0.483870967741935,0.444444444444444,0.75,0.2,0.588235294117647,0.275862068965517,0.819047619047619,0.852631578947368,0.86,0.81,0.839024390243902,0.830769230769231
0.925,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.956989247311828,0.897196261682243,0.89,0.96,0.922279792746114,0.927536231884058
0.815,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,0.824742268041237,0.805825242718447,0.8,0.83,0.812182741116751,0.817733990147783
0.835,0.425,0.411764705882353,0.434782608695652,0.35,0.5,0.378378378378378,0.465116279069767,0.831683168316832,0.838383838383838,0.84,0.83,0.835820895522388,0.834170854271357
0.72,0.45,0.416666666666667,0.464285714285714,0.25,0.65,0.3125,0.541666666666667,0.707547169811321,0.734042553191489,0.75,0.69,0.728155339805825,0.711340206185567
0.83,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.811320754716981,0.851063829787234,0.86,0.8,0.83495145631068,0.824742268041237
0.92,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.92,0.92,0.92,0.92,0.92,0.92
0.785,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.835294117647059,0.747826086956522,0.71,0.86,0.767567567567567,0.8
0.815,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.811881188118812,0.818181818181818,0.82,0.81,0.81592039800995,0.814070351758794
0.865,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.861386138613861,0.868686868686869,0.87,0.86,0.865671641791045,0.864321608040201
0.79,0.5,0.5,0.5,0.85,0.15,0.62962962962963,0.230769230769231,0.822222222222222,0.763636363636364,0.74,0.84,0.778947368421053,0.8
0.845,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.83495145631068,0.855670103092783,0.86,0.83,0.847290640394089,0.842639593908629
0.88,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.895833333333333,0.865384615384615,0.86,0.9,0.877551020408163,0.882352941176471
0.885,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.866666666666667,0.905263157894737,0.91,0.86,0.88780487804878,0.882051282051282
0.995,0.625,0.6,0.666666666666667,0.75,0.5,0.666666666666667,0.571428571428572,1,0.99009900990099,0.99,1,0.994974874371859,0.995024875621891
0.98,0.8,0.75,0.875,0.9,0.7,0.818181818181818,0.777777777777778,0.98,0.98,0.98,0.98,0.98,0.98
0.895,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.891089108910891,0.898989898989899,0.9,0.89,0.895522388059702,0.894472361809045
0.808333333333333,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.784615384615385,0.836363636363636,0.85,0.766666666666667,0.816,0.8
0.93,0.675,0.62962962962963,0.769230769230769,0.85,0.5,0.723404255319149,0.606060606060606,0.913461538461538,0.947916666666667,0.95,0.91,0.931372549019608,0.928571428571428
0.88,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.904255319148936,0.858490566037736,0.85,0.91,0.876288659793814,0.883495145631068
0.995,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.99009900990099,1,1,0.99,0.995024875621891,0.994974874371859
1,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,1,1,1,1,1,1
0.795,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.810526315789474,0.780952380952381,0.77,0.82,0.78974358974359,0.8
0.88,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.865384615384615,0.895833333333333,0.9,0.86,0.882352941176471,0.877551020408163
