,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.8125,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.8,0.826666666666667,0.839506172839506,0.784810126582278,0.819277108433735,0.805194805194805
1,0.81,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.798076923076923,0.822916666666667,0.83,0.79,0.813725490196079,0.806122448979592
2,0.85,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.847058823529412,0.853333333333333,0.867469879518072,0.831168831168831,0.857142857142857,0.842105263157895
3,0.88125,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.880952380952381,0.881578947368421,0.891566265060241,0.87012987012987,0.88622754491018,0.875816993464052
4,0.8125,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.78494623655914,0.850746268656716,0.879518072289157,0.74025974025974,0.829545454545454,0.791666666666667
5,0.83125,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.825581395348837,0.837837837837838,0.855421686746988,0.805194805194805,0.840236686390533,0.821192052980133
6,0.825,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.8,0.85,0.842105263157895,0.80952380952381,0.82051282051282,0.829268292682927
7,0.8375,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.844155844155844,0.831325301204819,0.822784810126582,0.851851851851852,0.833333333333333,0.841463414634146
8,0.86875,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.876712328767123,0.862068965517241,0.842105263157895,0.892857142857143,0.859060402684564,0.87719298245614
9,0.88125,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.862068965517241,0.904109589041096,0.914634146341463,0.846153846153846,0.887573964497041,0.874172185430464
mean,0.841,0.4800000000000001,0.48237441429661104,0.4738684947663276,0.53,0.43000000000000005,0.5024832768906865,0.4471081534143151,0.8319552897906901,0.8520583576292797,0.8585111559237799,0.8221950023722175,0.8446635662646595,0.836419510564682
std,0.027968235951204026,0.04533823502911816,0.04322887243410998,0.05265467554082677,0.08881941729649485,0.10593499054713804,0.05391413046797329,0.08213495488718409,0.03516344952537392,0.025417953171609997,0.0293679307142217,0.045242647395062036,0.02686032235903196,0.03140487836129981
min,0.81,0.425,0.421052631578947,0.416666666666667,0.4,0.25,0.41025641025641,0.3125,0.78494623655914,0.822916666666667,0.822784810126582,0.74025974025974,0.813725490196079,0.791666666666667
25%,0.815625,0.45,0.4535714285714285,0.4229323308270675,0.45,0.41250000000000003,0.455921052631579,0.41744840525328303,0.8,0.8329534353630738,0.8401559454191032,0.7937987012987013,0.8227709790209785,0.8098898499797272
50%,0.8343750000000001,0.475,0.482142857142857,0.475,0.55,0.45,0.5301974448315909,0.461842105263158,0.8348686197523405,0.850373134328358,0.8487634749524415,0.8203463203463205,0.8367850098619329,0.8353658536585364
75%,0.8640625,0.51875,0.5163043478260873,0.5197368421052629,0.5875,0.4875,0.541666666666667,0.5062370062370063,0.8583164300202837,0.859885057471264,0.8765060240963858,0.8504273504273505,0.8585810162991372,0.8661554548623218
max,0.88125,0.55,0.55,0.55,0.65,0.55,0.558139534883721,0.55,0.880952380952381,0.904109589041096,0.914634146341463,0.892857142857143,0.887573964497041,0.87719298245614
