train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.735,0.5,0.5,0,1,0,0.666666666666667,0,0.723809523809524,0.747368421052632,0.76,0.71,0.741463414634146,0.728205128205128
0.695,0.5,0.5,0,1,0,0.666666666666667,0,0.678899082568807,0.714285714285714,0.74,0.65,0.708133971291866,0.680628272251309
0.845,0.5,0.5,0,1,0,0.666666666666667,0,0.887640449438202,0.810810810810811,0.79,0.9,0.835978835978836,0.853080568720379
0.73,0.5,0.5,0,1,0,0.666666666666667,0,0.721153846153846,0.739583333333333,0.75,0.71,0.735294117647059,0.724489795918367
0.985,0.45,0.375,0.46875,0.15,0.75,0.214285714285714,0.576923076923077,0.98019801980198,0.98989898989899,0.99,0.98,0.985074626865672,0.984924623115578
0.91,0.525,1,0.512820512820513,0.05,1,0.0952380952380952,0.677966101694915,0.91,0.91,0.91,0.91,0.91,0.91
0.641666666666667,0.525,0.666666666666667,0.513513513513513,0.1,0.95,0.173913043478261,0.666666666666667,0.637096774193548,0.646551724137931,0.658333333333333,0.625,0.647540983606557,0.635593220338983
0.745,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,0.747474747474748,0.742574257425743,0.74,0.75,0.743718592964824,0.746268656716418
0.6875,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,0.68,0.695652173913043,0.708333333333333,0.666666666666667,0.693877551020408,0.680851063829787
0.725,0.5,0,0.5,0,1,0,0.666666666666667,0.727272727272727,0.722772277227723,0.72,0.73,0.723618090452261,0.72636815920398
0.77,0.375,0.222222222222222,0.419354838709677,0.1,0.65,0.137931034482759,0.509803921568627,0.745454545454545,0.8,0.82,0.72,0.780952380952381,0.757894736842105
0.76,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.740740740740741,0.782608695652174,0.8,0.72,0.769230769230769,0.75
0.875,0.5,0,0.5,0,1,0,0.666666666666667,0.864077669902913,0.88659793814433,0.89,0.86,0.876847290640394,0.873096446700508
0.85,0.5,0.5,0,1,0,0.666666666666667,0,0.843137254901961,0.857142857142857,0.86,0.84,0.851485148514851,0.848484848484849
0.735,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.719626168224299,0.752688172043011,0.77,0.7,0.743961352657005,0.725388601036269
0.715,0.5,0.5,0,1,0,0.666666666666667,0,0.731182795698925,0.700934579439252,0.68,0.75,0.704663212435233,0.72463768115942
0.735,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,0.719626168224299,0.752688172043011,0.77,0.7,0.743961352657005,0.725388601036269
0.71,0.5,0,0.5,0,1,0,0.666666666666667,0.690909090909091,0.733333333333333,0.76,0.66,0.723809523809524,0.694736842105263
0.69,0.5,0.5,0,1,0,0.666666666666667,0,0.69,0.69,0.69,0.69,0.69,0.69
0.76,0.425,0.444444444444444,0.384615384615385,0.6,0.25,0.51063829787234,0.303030303030303,0.740740740740741,0.782608695652174,0.8,0.72,0.769230769230769,0.75
0.7,0.5,0,0.5,0,1,0,0.666666666666667,0.7,0.7,0.7,0.7,0.7,0.7
0.68,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.666666666666667,0.695652173913043,0.72,0.64,0.692307692307692,0.666666666666667
0.775,0.325,0.333333333333333,0.315789473684211,0.35,0.3,0.341463414634146,0.307692307692308,0.761904761904762,0.789473684210526,0.8,0.75,0.780487804878049,0.769230769230769
0.78,0.5,0.5,0.5,0.85,0.15,0.62962962962963,0.230769230769231,0.791666666666667,0.769230769230769,0.76,0.8,0.775510204081633,0.784313725490196
0.69,0.5,0,0.5,0,1,0,0.666666666666667,0.697916666666667,0.682692307692308,0.67,0.71,0.683673469387755,0.696078431372549
0.965,0.575,0.540540540540541,1,1,0.15,0.701754385964912,0.260869565217391,0.96039603960396,0.96969696969697,0.97,0.96,0.965174129353234,0.964824120603015
0.78,0.4,0.409090909090909,0.388888888888889,0.45,0.35,0.428571428571429,0.368421052631579,0.797872340425532,0.764150943396226,0.75,0.81,0.77319587628866,0.786407766990291
0.77,0.55,0.6,0.533333333333333,0.3,0.8,0.4,0.64,0.77,0.77,0.77,0.77,0.77,0.77
0.705,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.702970297029703,0.707070707070707,0.71,0.7,0.706467661691542,0.703517587939699
0.74,0.5,0,0.5,0,1,0,0.666666666666667,0.726415094339623,0.75531914893617,0.77,0.71,0.747572815533981,0.731958762886598
0.745,0.4,0.166666666666667,0.441176470588235,0.05,0.75,0.0769230769230769,0.555555555555556,0.752577319587629,0.737864077669903,0.73,0.76,0.741116751269036,0.748768472906404
0.7,0.5,0,0.5,0,1,0,0.666666666666667,0.692307692307692,0.708333333333333,0.72,0.68,0.705882352941177,0.693877551020408
0.765,0.5,0.5,0,1,0,0.666666666666667,0,0.77319587628866,0.757281553398058,0.75,0.78,0.761421319796954,0.768472906403941
