train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.6625,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.666666666666667,0.657534246575342,0.698795180722892,0.623376623376623,0.682352941176471,0.64
0.725,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.721518987341772,0.728395061728395,0.721518987341772,0.728395061728395,0.721518987341772,0.728395061728395
0.76875,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.741176470588235,0.8,0.807692307692308,0.731707317073171,0.773006134969325,0.764331210191083
0.76875,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.747252747252747,0.797101449275362,0.829268292682927,0.705128205128205,0.786127167630058,0.748299319727891
0.99375,0.35,0.392857142857143,0.25,0.55,0.15,0.458333333333333,0.1875,1,0.987341772151899,0.98780487804878,1,0.993865030674847,0.993630573248408
0.9125,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.9,0.928571428571429,0.941860465116279,0.878378378378378,0.920454545454546,0.902777777777778
0.682291666666667,0.55,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375,0.666666666666667,0.7,0.715789473684211,0.649484536082474,0.690355329949239,0.67379679144385
0.775,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.784810126582278,0.765432098765432,0.765432098765432,0.784810126582278,0.775,0.775
0.744791666666667,0.425,0.363636363636364,0.448275862068966,0.2,0.65,0.258064516129032,0.530612244897959,0.75531914893617,0.73469387755102,0.731958762886598,0.757894736842105,0.743455497382199,0.746113989637306
0.775,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.759493670886076,0.790123456790123,0.779220779220779,0.771084337349398,0.769230769230769,0.780487804878049
0.74375,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.743589743589744,0.74390243902439,0.734177215189873,0.753086419753086,0.738853503184713,0.748466257668712
0.75625,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.756756756756757,0.755813953488372,0.727272727272727,0.783132530120482,0.741721854304636,0.769230769230769
0.83125,0.45,0.470588235294118,0.333333333333333,0.8,0.1,0.592592592592593,0.153846153846154,0.853333333333333,0.811764705882353,0.8,0.8625,0.825806451612903,0.836363636363636
0.79375,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.790697674418605,0.797297297297297,0.819277108433735,0.766233766233766,0.804733727810651,0.781456953642384
0.70625,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.71830985915493,0.696629213483146,0.653846153846154,0.75609756097561,0.684563758389262,0.725146198830409
0.68125,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.681159420289855,0.681318681318681,0.618421052631579,0.738095238095238,0.648275862068965,0.708571428571429
0.64375,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.646341463414634,0.641025641025641,0.654320987654321,0.632911392405063,0.650306748466258,0.636942675159236
0.725,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.757142857142857,0.7,0.6625,0.7875,0.706666666666667,0.741176470588235
0.64375,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.614457831325301,0.675324675324675,0.671052631578947,0.619047619047619,0.641509433962264,0.645962732919255
0.76875,0.475,0.333333333333333,0.486486486486487,0.05,0.9,0.0869565217391304,0.631578947368421,0.792207792207792,0.746987951807229,0.74390243902439,0.794871794871795,0.767295597484277,0.770186335403727
0.75625,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.74025974025974,0.771084337349398,0.75,0.761904761904762,0.745098039215686,0.766467065868263
0.7,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.666666666666667,0.763636363636364,0.843373493975904,0.545454545454545,0.74468085106383,0.636363636363636
0.80625,0.625,0.666666666666667,0.6,0.5,0.75,0.571428571428572,0.666666666666667,0.8125,0.8,0.802469135802469,0.810126582278481,0.807453416149068,0.80503144654088
0.7375,0.325,0.266666666666667,0.36,0.2,0.45,0.228571428571429,0.4,0.714285714285714,0.768115942028985,0.802469135802469,0.670886075949367,0.755813953488372,0.716216216216216
0.6875,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.704225352112676,0.674157303370786,0.632911392405063,0.740740740740741,0.666666666666667,0.705882352941176
0.975,0.6,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556,0.962025316455696,0.987654320987654,0.987012987012987,0.963855421686747,0.974358974358974,0.975609756097561
0.71875,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,0.736842105263158,0.702380952380952,0.691358024691358,0.746835443037975,0.713375796178344,0.723926380368098
0.775,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.777777777777778,0.772151898734177,0.777777777777778,0.772151898734177,0.777777777777778,0.772151898734177
0.70625,0.575,0.714285714285714,0.545454545454545,0.25,0.9,0.37037037037037,0.679245283018868,0.698630136986301,0.71264367816092,0.671052631578947,0.738095238095238,0.684563758389262,0.725146198830409
0.74375,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.746478873239437,0.741573033707865,0.697368421052632,0.785714285714286,0.72108843537415,0.763005780346821
0.725,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.708860759493671,0.740740740740741,0.727272727272727,0.72289156626506,0.717948717948718,0.731707317073171
0.7875,0.6,0.642857142857143,0.576923076923077,0.45,0.75,0.529411764705882,0.652173913043478,0.791666666666667,0.784090909090909,0.75,0.821428571428571,0.77027027027027,0.802325581395349
0.66875,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.658823529411765,0.68,0.7,0.6375,0.678787878787879,0.658064516129032
0.81875,0.7,0.722222222222222,0.681818181818182,0.65,0.75,0.684210526315789,0.714285714285714,0.830985915492958,0.808988764044944,0.776315789473684,0.857142857142857,0.802721088435374,0.832369942196532
0.8375,0.65,0.615384615384615,0.714285714285714,0.8,0.5,0.695652173913043,0.588235294117647,0.825581395348837,0.851351351351351,0.865853658536585,0.807692307692308,0.845238095238095,0.828947368421053
0.70625,0.35,0.285714285714286,0.384615384615385,0.2,0.5,0.235294117647059,0.434782608695652,0.73134328358209,0.688172043010753,0.628205128205128,0.780487804878049,0.675862068965517,0.731428571428572
0.80625,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.857142857142857,0.77319587628866,0.710526315789474,0.892857142857143,0.776978417266187,0.828729281767956
0.71875,0.625,0.6,0.666666666666667,0.75,0.5,0.666666666666667,0.571428571428572,0.714285714285714,0.72463768115942,0.773809523809524,0.657894736842105,0.742857142857143,0.689655172413793
0.75625,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.736842105263158,0.784615384615385,0.833333333333333,0.671052631578947,0.782122905027933,0.723404255319149
0.76875,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.761363636363636,0.777777777777778,0.807228915662651,0.727272727272727,0.783625730994152,0.751677852348993
0.7875,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.781609195402299,0.794520547945205,0.819277108433735,0.753246753246753,0.8,0.773333333333333
0.75625,0.425,0.411764705882353,0.434782608695652,0.35,0.5,0.378378378378378,0.465116279069767,0.724137931034483,0.794520547945205,0.807692307692308,0.707317073170732,0.763636363636364,0.748387096774193
1,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,1,1,1,1,1,1
0.9625,0.775,0.761904761904762,0.789473684210526,0.8,0.75,0.780487804878049,0.769230769230769,0.96,0.964705882352941,0.96,0.964705882352941,0.96,0.964705882352941
0.7,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.710526315789474,0.69047619047619,0.675,0.725,0.692307692307692,0.707317073170732
0.770833333333333,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.775280898876405,0.766990291262136,0.741935483870968,0.797979797979798,0.758241758241758,0.782178217821782
0.85,0.7,0.722222222222222,0.681818181818182,0.65,0.75,0.684210526315789,0.714285714285714,0.892307692307692,0.821052631578947,0.773333333333333,0.917647058823529,0.828571428571429,0.866666666666667
0.7375,0.4,0.423076923076923,0.357142857142857,0.55,0.25,0.478260869565217,0.294117647058823,0.72463768115942,0.747252747252747,0.684931506849315,0.781609195402299,0.704225352112676,0.764044943820225
0.95625,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.972602739726027,0.942528735632184,0.934210526315789,0.976190476190476,0.953020134228188,0.95906432748538
1,0.525,0.513513513513513,0.666666666666667,0.95,0.1,0.666666666666667,0.173913043478261,1,1,1,1,1,1
0.75625,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.75,0.763157894736842,0.777777777777778,0.734177215189873,0.763636363636364,0.748387096774194
0.7375,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.735632183908046,0.73972602739726,0.771084337349398,0.701298701298701,0.752941176470588,0.72
